date,iv_atm
2025-01-09,0.2652
2025-01-10,0.2708
2025-01-13,0.2552
2025-01-14,0.2674
2025-01-15,0.2846
2025-01-16,0.2794
2025-01-17,0.2869
2025-01-20,0.3353
2025-01-21,0.3334
2025-01-22,0.3302
2025-01-23,0.3281
2025-01-24,0.3296
2025-01-27,0.3316
2025-01-28,0.3328
2025-01-29,0.3359
2025-01-30,0.338
2025-01-31,0.349
2025-02-03,0.3553
2025-02-04,0.3314
2025-02-05,0.3445
2025-02-06,0.3354
2025-02-07,0.3308
2025-02-10,0.3206
2025-02-11,0.3318
2025-02-12,0.3276
2025-02-13,0.3313
2025-02-14,0.3134
2025-02-17,0.296
2025-02-18,0.3145
2025-02-19,0.2793
2025-02-20,0.2865
2025-02-21,0.2712
2025-02-24,0.2677
2025-02-25,0.2348
2025-02-26,0.2338
2025-02-27,0.2365
2025-02-28,0.2224
2025-03-03,0.1997
2025-03-04,0.2122
2025-03-05,0.2075
2025-03-06,0.1899
2025-03-07,0.1813
2025-03-10,0.1633
2025-03-11,0.1915
2025-03-12,0.1764
2025-03-13,0.1765
2025-03-14,0.1668
2025-03-17,0.1584
2025-03-18,0.1853
2025-03-19,0.1541
2025-03-20,0.1451
2025-03-21,0.1716
2025-03-24,0.1524
2025-03-25,0.1835
2025-03-26,0.1714
2025-03-27,0.1745
2025-03-28,0.1749
2025-03-31,0.192
2025-04-01,0.2058
2025-04-02,0.2008
2025-04-03,0.2143
2025-04-04,0.2069
2025-04-07,0.215
2025-04-08,0.2213
2025-04-09,0.2044
2025-04-10,0.228
2025-04-11,0.245
2025-04-14,0.2428
2025-04-15,0.2304
2025-04-16,0.2573
2025-04-17,0.2864
2025-04-18,0.2697
2025-04-21,0.2955
2025-04-22,0.2826
2025-04-23,0.3096
2025-04-24,0.293
2025-04-25,0.3149
2025-04-28,0.3207
2025-04-29,0.3164
2025-04-30,0.3372
2025-05-01,0.3117
2025-05-02,0.3343
2025-05-05,0.3511
2025-05-06,0.3267
2025-05-07,0.3255
2025-05-08,0.3226
2025-05-09,0.3442
2025-05-12,0.3523
2025-05-13,0.3137
2025-05-14,0.3144
2025-05-15,0.3101
2025-05-16,0.3269
2025-05-19,0.3189
2025-05-20,0.2964
2025-05-21,0.29
2025-05-22,0.2946
2025-05-23,0.296
2025-05-26,0.2882
2025-05-27,0.2833
2025-05-28,0.2837
2025-05-29,0.253
2025-05-30,0.2665
2025-06-02,0.2612
2025-06-03,0.2386
2025-06-04,0.2346
2025-06-05,0.245
2025-06-06,0.2072
2025-06-09,0.1965
2025-06-10,0.1858
2025-06-11,0.193
2025-06-12,0.1653
2025-06-13,0.1957
2025-06-16,0.1715
2025-06-17,0.162
2025-06-18,0.1787
2025-06-19,0.1576
2025-06-20,0.1613
2025-06-23,0.1585
2025-06-24,0.1519
2025-06-25,0.165
2025-06-26,0.1709
2025-06-27,0.1668
2025-06-30,0.1531
2025-07-01,0.1603
2025-07-02,0.1658
2025-07-03,0.1785
2025-07-04,0.1915
2025-07-07,0.1906
2025-07-08,0.192
2025-07-09,0.192
2025-07-10,0.2161
2025-07-11,0.2161
2025-07-14,0.234
2025-07-15,0.2249
2025-07-16,0.2463
2025-07-17,0.2601
2025-07-18,0.2809
2025-07-21,0.2431
2025-07-22,0.2697
2025-07-23,0.2748
2025-07-24,0.3018
2025-07-25,0.2792
2025-07-28,0.3164
2025-07-29,0.2953
2025-07-30,0.3043
2025-07-31,0.3082
2025-08-01,0.3338
2025-08-04,0.3371
2025-08-05,0.3411
2025-08-06,0.3429
2025-08-07,0.3447
2025-08-08,0.3467
2025-08-11,0.314
2025-08-12,0.3578
2025-08-13,0.3299
2025-08-14,0.3222
2025-08-15,0.3587
2025-08-18,0.331
2025-08-19,0.3354
2025-08-20,0.3166
2025-08-21,0.3296
2025-08-22,0.3295
2025-08-25,0.3001
2025-08-26,0.3141
2025-08-27,0.2836
2025-08-28,0.2733
2025-08-29,0.2959
2025-09-01,0.2906
2025-09-02,0.2903
2025-09-03,0.2348
2025-09-04,0.2543
2025-09-05,0.2493
2025-09-08,0.2412
2025-09-09,0.2396
2025-09-10,0.2136
2025-09-11,0.1903
2025-09-12,0.2078
2025-09-15,0.1967
2025-09-16,0.1772
2025-09-17,0.1798
2025-09-18,0.2053
2025-09-19,0.1534
2025-09-22,0.1666
2025-09-23,0.1894
2025-09-24,0.163
2025-09-25,0.1701
2025-09-26,0.1299
2025-09-29,0.1686
2025-09-30,0.1567
2025-10-01,0.1664
2025-10-02,0.1826
2025-10-03,0.1763
2025-10-06,0.1658
2025-10-07,0.1896
2025-10-08,0.1741
2025-10-09,0.1905
2025-10-10,0.1732
2025-10-13,0.1997
2025-10-14,0.2004
2025-10-15,0.1848
2025-10-16,0.2392
2025-10-17,0.2246
2025-10-20,0.2299
2025-10-21,0.2447
2025-10-22,0.2423
2025-10-23,0.2505
2025-10-24,0.267
2025-10-27,0.2691
2025-10-28,0.2572
2025-10-29,0.2797
2025-10-30,0.2992
2025-10-31,0.2982
2025-11-03,0.2937
2025-11-04,0.3395
2025-11-05,0.3163
2025-11-06,0.2886
2025-11-07,0.3314
2025-11-10,0.3318
2025-11-11,0.3178
2025-11-12,0.3412
2025-11-13,0.3385
2025-11-14,0.3204
2025-11-17,0.3437
2025-11-18,0.3492
2025-11-19,0.3233
2025-11-20,0.3204
2025-11-21,0.3314
2025-11-24,0.3228
2025-11-25,0.3345
2025-11-26,0.2979
2025-11-27,0.3134
2025-11-28,0.2857
2025-12-01,0.3247
2025-12-02,0.2969
2025-12-03,0.3095
2025-12-04,0.2938
2025-12-05,0.2752
2025-12-08,0.271
2025-12-09,0.2712
2025-12-10,0.2501
2025-12-11,0.2636
2025-12-12,0.2371
2025-12-15,0.2262
2025-12-16,0.1882
2025-12-17,0.2004
2025-12-18,0.1989
2025-12-19,0.1854
2025-12-22,0.1772
2025-12-23,0.2124
2025-12-24,0.1683
2025-12-25,0.1875
2025-12-26,0.1705
2025-12-29,0.1739
2025-12-30,0.1796
2025-12-31,0.1587
2026-01-01,0.1914
2026-01-02,0.1579
2026-01-05,0.1597
2026-01-06,0.1539
2026-01-07,0.1619
2026-01-08,0.1729
2026-01-09,0.1781
2026-01-12,0.1785
2026-01-13,0.1662
2026-01-14,0.1873
2026-01-15,0.1971
2026-01-16,0.1992
2026-01-19,0.1986
2026-01-20,0.2289
2026-01-21,0.2266
2026-01-22,0.2301
2026-01-23,0.2392
2026-01-26,0.2563
2026-01-27,0.2451
2026-01-28,0.256
2026-01-29,0.2776
2026-01-30,0.2723
2026-02-02,0.2654
2026-02-03,0.3005
2026-02-04,0.2922
2026-02-05,0.3212
2026-02-06,0.3159
2026-02-09,0.3287
2026-02-10,0.3284
2026-02-11,0.33
2026-02-12,0.3436
2026-02-13,0.3609
2026-02-16,0.3343
2026-02-17,0.36
2026-02-18,0.3479
2026-02-19,0.3369
2026-02-20,0.3664
2026-02-23,0.3219
2026-02-24,0.3453
2026-02-25,0.3434
2026-02-26,0.3274
2026-02-27,0.3262
2026-03-02,0.3316
2026-03-03,0.3044
2026-03-04,0.3203
2026-03-05,0.3051
2026-03-06,0.2834
2026-03-09,0.2786
2026-03-10,0.2761
2026-03-11,0.2736
2026-03-12,0.2708
2026-03-13,0.2814
2026-03-16,0.2423
2026-03-17,0.2266
2026-03-18,0.2226
2026-03-19,0.2167
2026-03-20,0.2266
2026-03-23,0.2156
2026-03-24,0.2074
2026-03-25,0.2012
2026-03-26,0.2011
2026-03-27,0.1855
2026-03-30,0.1639
2026-03-31,0.1835
2026-04-01,0.1807
2026-04-02,0.1533
2026-04-03,0.1574
2026-04-06,0.1668
2026-04-07,0.1612
2026-04-08,0.1837
2026-04-09,0.1835
2026-04-10,0.1599
2026-04-13,0.151
2026-04-14,0.1852
2026-04-15,0.1836
2026-04-16,0.1836
2026-04-17,0.1745
2026-04-20,0.1735
2026-04-21,0.1598
2026-04-22,0.2145
2026-04-23,0.2057
2026-04-24,0.2178
2026-04-27,0.2344
2026-04-28,0.2268
2026-04-29,0.2451
2026-04-30,0.2295
2026-05-01,0.263
2026-05-04,0.2642
2026-05-05,0.2926
2026-05-06,0.2832
2026-05-07,0.2716
2026-05-08,0.2752
2026-05-11,0.3018
2026-05-12,0.2992
2026-05-13,0.3082
2026-05-14,0.3015
2026-05-15,0.3125
2026-05-18,0.3462
2026-05-19,0.3319
2026-05-20,0.3298
2026-05-21,0.3179
2026-05-22,0.3396
2026-05-25,0.3438
2026-05-26,0.3287
2026-05-27,0.3439
2026-05-28,0.3526
2026-05-29,0.3445
2026-06-01,0.3257
2026-06-02,0.3269
2026-06-03,0.296
2026-06-04,0.314
2026-06-05,0.3039
2026-06-08,0.3027
2026-06-09,0.3132
2026-06-10,0.2792
2026-06-11,0.294
2026-06-12,0.2855
2026-06-15,0.2596
2026-06-16,0.251
2026-06-17,0.2639
2026-06-18,0.2549
2026-06-19,0.2566
2026-06-22,0.233
2026-06-23,0.2277
2026-06-24,0.2238
2026-06-25,0.2245
2026-06-26,0.2205
2026-06-29,0.1992
2026-06-30,0.1788
2026-07-01,0.1864
2026-07-02,0.1788
2026-07-03,0.1988
2026-07-06,0.152
2026-07-07,0.1697
2026-07-08,0.158
2026-07-09,0.1732
2026-07-10,0.169
2026-07-13,0.1539
2026-07-14,0.155
2026-07-15,0.1442
2026-07-16,0.1768
2026-07-17,0.1665
2026-07-20,0.1707
2026-07-21,0.1705
2026-07-22,0.1768
