date,iv_atm
2025-01-09,0.1916
2025-01-10,0.1989
2025-01-13,0.2049
2025-01-14,0.1997
2025-01-15,0.1969
2025-01-16,0.2241
2025-01-17,0.2046
2025-01-20,0.2121
2025-01-21,0.2245
2025-01-22,0.2138
2025-01-23,0.229
2025-01-24,0.2621
2025-01-27,0.2077
2025-01-28,0.2518
2025-01-29,0.2408
2025-01-30,0.2781
2025-01-31,0.2443
2025-02-03,0.2693
2025-02-04,0.2721
2025-02-05,0.2939
2025-02-06,0.2914
2025-02-07,0.2932
2025-02-10,0.2924
2025-02-11,0.314
2025-02-12,0.3191
2025-02-13,0.3212
2025-02-14,0.3306
2025-02-17,0.3446
2025-02-18,0.3433
2025-02-19,0.3406
2025-02-20,0.3665
2025-02-21,0.3504
2025-02-24,0.3481
2025-02-25,0.3779
2025-02-26,0.4071
2025-02-27,0.3646
2025-02-28,0.3658
2025-03-03,0.3817
2025-03-04,0.3696
2025-03-05,0.4056
2025-03-06,0.403
2025-03-07,0.3897
2025-03-10,0.3924
2025-03-11,0.3745
2025-03-12,0.3704
2025-03-13,0.3993
2025-03-14,0.3701
2025-03-17,0.3735
2025-03-18,0.3789
2025-03-19,0.3741
2025-03-20,0.3531
2025-03-21,0.3951
2025-03-24,0.3381
2025-03-25,0.3332
2025-03-26,0.3546
2025-03-27,0.3243
2025-03-28,0.3304
2025-03-31,0.3373
2025-04-01,0.3142
2025-04-02,0.3183
2025-04-03,0.3127
2025-04-04,0.3342
2025-04-07,0.3252
2025-04-08,0.2723
2025-04-09,0.2752
2025-04-10,0.2538
2025-04-11,0.2584
2025-04-14,0.2583
2025-04-15,0.2406
2025-04-16,0.2569
2025-04-17,0.2394
2025-04-18,0.223
2025-04-21,0.2276
2025-04-22,0.2038
2025-04-23,0.2218
2025-04-24,0.2055
2025-04-25,0.2301
2025-04-28,0.211
2025-04-29,0.221
2025-04-30,0.1862
2025-05-01,0.2098
2025-05-02,0.1776
2025-05-05,0.1736
2025-05-06,0.2127
2025-05-07,0.2009
2025-05-08,0.1702
2025-05-09,0.1622
2025-05-12,0.1734
2025-05-13,0.1897
2025-05-14,0.1885
2025-05-15,0.1943
2025-05-16,0.1921
2025-05-19,0.2251
2025-05-20,0.2325
2025-05-21,0.2051
2025-05-22,0.209
2025-05-23,0.2427
2025-05-26,0.2249
2025-05-27,0.2353
2025-05-28,0.2235
2025-05-29,0.2375
2025-05-30,0.2446
2025-06-02,0.263
2025-06-03,0.2678
2025-06-04,0.2797
2025-06-05,0.2788
2025-06-06,0.2765
2025-06-09,0.2891
2025-06-10,0.2755
2025-06-11,0.2915
2025-06-12,0.3173
2025-06-13,0.3219
2025-06-16,0.3156
2025-06-17,0.3469
2025-06-18,0.3501
2025-06-19,0.3705
2025-06-20,0.3856
2025-06-23,0.3649
2025-06-24,0.3614
2025-06-25,0.3765
2025-06-26,0.3563
2025-06-27,0.3729
2025-06-30,0.3758
2025-07-01,0.3844
2025-07-02,0.3918
2025-07-03,0.4054
2025-07-04,0.3988
2025-07-07,0.3979
2025-07-08,0.4132
2025-07-09,0.3784
2025-07-10,0.3792
2025-07-11,0.3838
2025-07-14,0.3967
2025-07-15,0.3912
2025-07-16,0.3575
2025-07-17,0.3786
2025-07-18,0.3846
2025-07-21,0.3599
2025-07-22,0.3657
2025-07-23,0.3779
2025-07-24,0.3671
2025-07-25,0.3514
2025-07-28,0.3425
2025-07-29,0.3346
2025-07-30,0.3285
2025-07-31,0.3207
2025-08-01,0.3285
2025-08-04,0.3146
2025-08-05,0.3199
2025-08-06,0.3176
2025-08-07,0.2754
2025-08-08,0.3146
2025-08-11,0.273
2025-08-12,0.2723
2025-08-13,0.2629
2025-08-14,0.2351
2025-08-15,0.2528
2025-08-18,0.256
2025-08-19,0.239
2025-08-20,0.2329
2025-08-21,0.2237
2025-08-22,0.2043
2025-08-25,0.223
2025-08-26,0.1967
2025-08-27,0.2013
2025-08-28,0.1968
2025-08-29,0.2054
2025-09-01,0.1733
2025-09-02,0.2307
2025-09-03,0.1864
2025-09-04,0.1784
2025-09-05,0.2016
2025-09-08,0.1831
2025-09-09,0.1665
2025-09-10,0.2071
2025-09-11,0.1884
2025-09-12,0.1785
2025-09-15,0.2001
2025-09-16,0.2079
2025-09-17,0.1879
2025-09-18,0.1987
2025-09-19,0.2254
2025-09-22,0.2141
2025-09-23,0.2444
2025-09-24,0.209
2025-09-25,0.2357
2025-09-26,0.2472
2025-09-29,0.2547
2025-09-30,0.2482
2025-10-01,0.2596
2025-10-02,0.2477
2025-10-03,0.2606
2025-10-06,0.2707
2025-10-07,0.2931
2025-10-08,0.2963
2025-10-09,0.3018
2025-10-10,0.2901
2025-10-13,0.3086
2025-10-14,0.3073
2025-10-15,0.3418
2025-10-16,0.317
2025-10-17,0.3233
2025-10-20,0.35
2025-10-21,0.3584
2025-10-22,0.3573
2025-10-23,0.3702
2025-10-24,0.351
2025-10-27,0.3621
2025-10-28,0.3987
2025-10-29,0.4029
2025-10-30,0.3725
2025-10-31,0.3702
2025-11-03,0.3614
2025-11-04,0.3851
2025-11-05,0.4005
2025-11-06,0.3814
2025-11-07,0.3889
2025-11-10,0.3769
2025-11-11,0.4042
2025-11-12,0.3962
2025-11-13,0.4013
2025-11-14,0.3871
2025-11-17,0.3551
2025-11-18,0.3614
2025-11-19,0.3828
2025-11-20,0.3669
2025-11-21,0.3695
2025-11-24,0.3474
2025-11-25,0.3449
2025-11-26,0.3481
2025-11-27,0.3349
2025-11-28,0.3035
2025-12-01,0.3366
2025-12-02,0.3155
2025-12-03,0.3138
2025-12-04,0.2881
2025-12-05,0.3016
2025-12-08,0.3127
2025-12-09,0.2762
2025-12-10,0.2456
2025-12-11,0.2867
2025-12-12,0.2866
2025-12-15,0.2358
2025-12-16,0.2523
2025-12-17,0.214
2025-12-18,0.189
2025-12-19,0.1875
2025-12-22,0.2293
2025-12-23,0.2076
2025-12-24,0.2273
2025-12-25,0.2001
2025-12-26,0.2226
2025-12-29,0.2066
2025-12-30,0.1834
2025-12-31,0.1871
2026-01-01,0.1898
2026-01-02,0.2037
2026-01-05,0.1704
2026-01-06,0.2016
2026-01-07,0.1963
2026-01-08,0.2175
2026-01-09,0.1727
2026-01-12,0.1909
2026-01-13,0.193
2026-01-14,0.1849
2026-01-15,0.2088
2026-01-16,0.1877
2026-01-19,0.2122
2026-01-20,0.2183
2026-01-21,0.1976
2026-01-22,0.2106
2026-01-23,0.2238
2026-01-26,0.2248
2026-01-27,0.2488
2026-01-28,0.2453
2026-01-29,0.258
2026-01-30,0.2368
2026-02-02,0.2569
2026-02-03,0.2782
2026-02-04,0.3128
2026-02-05,0.2907
2026-02-06,0.2839
2026-02-09,0.3053
2026-02-10,0.3188
2026-02-11,0.2989
2026-02-12,0.3132
2026-02-13,0.3279
2026-02-16,0.34
2026-02-17,0.3272
2026-02-18,0.3763
2026-02-19,0.373
2026-02-20,0.3557
2026-02-23,0.3647
2026-02-24,0.3757
2026-02-25,0.3722
2026-02-26,0.4082
2026-02-27,0.3594
2026-03-02,0.3724
2026-03-03,0.3749
2026-03-04,0.3818
2026-03-05,0.3936
2026-03-06,0.3855
2026-03-09,0.3839
2026-03-10,0.3897
2026-03-11,0.3995
2026-03-12,0.4156
2026-03-13,0.3672
2026-03-16,0.384
2026-03-17,0.3966
2026-03-18,0.3892
2026-03-19,0.36
2026-03-20,0.3601
2026-03-23,0.3702
2026-03-24,0.3891
2026-03-25,0.332
2026-03-26,0.3563
2026-03-27,0.3632
2026-03-30,0.3297
2026-03-31,0.3459
2026-04-01,0.3116
2026-04-02,0.3078
2026-04-03,0.2926
2026-04-06,0.3065
2026-04-07,0.2726
2026-04-08,0.2939
2026-04-09,0.2671
2026-04-10,0.2565
2026-04-13,0.2738
2026-04-14,0.2451
