date,iv_atm
2025-01-09,0.3553
2025-01-10,0.3634
2025-01-13,0.3605
2025-01-14,0.3561
2025-01-15,0.3472
2025-01-16,0.3587
2025-01-17,0.3624
2025-01-20,0.3493
2025-01-21,0.3539
2025-01-22,0.3512
2025-01-23,0.3481
2025-01-24,0.3389
2025-01-27,0.3407
2025-01-28,0.328
2025-01-29,0.3325
2025-01-30,0.3062
2025-01-31,0.3133
2025-02-03,0.3195
2025-02-04,0.2674
2025-02-05,0.3004
2025-02-06,0.2814
2025-02-07,0.2621
2025-02-10,0.262
2025-02-11,0.2625
2025-02-12,0.2475
2025-02-13,0.2512
2025-02-14,0.239
2025-02-17,0.2213
2025-02-18,0.2179
2025-02-19,0.21
2025-02-20,0.2085
2025-02-21,0.1997
2025-02-24,0.1878
2025-02-25,0.1949
2025-02-26,0.1807
2025-02-27,0.2174
2025-02-28,0.1729
2025-03-03,0.187
2025-03-04,0.1917
2025-03-05,0.1615
2025-03-06,0.1643
2025-03-07,0.1605
2025-03-10,0.1568
2025-03-11,0.1806
2025-03-12,0.1883
2025-03-13,0.2008
2025-03-14,0.2001
2025-03-17,0.2137
2025-03-18,0.2159
2025-03-19,0.2099
2025-03-20,0.221
2025-03-21,0.2427
2025-03-24,0.2413
2025-03-25,0.2621
2025-03-26,0.2774
2025-03-27,0.29
2025-03-28,0.2516
2025-03-31,0.2915
2025-04-01,0.3055
2025-04-02,0.3207
2025-04-03,0.3203
2025-04-04,0.3085
2025-04-07,0.3372
2025-04-08,0.3277
2025-04-09,0.3443
2025-04-10,0.3462
2025-04-11,0.3441
2025-04-14,0.3617
2025-04-15,0.3556
2025-04-16,0.3475
2025-04-17,0.3618
2025-04-18,0.3838
2025-04-21,0.3956
2025-04-22,0.3835
2025-04-23,0.3717
2025-04-24,0.3952
2025-04-25,0.3319
2025-04-28,0.3319
2025-04-29,0.3537
2025-04-30,0.3566
2025-05-01,0.3232
2025-05-02,0.3543
2025-05-05,0.3203
2025-05-06,0.3259
2025-05-07,0.3363
2025-05-08,0.302
2025-05-09,0.3012
2025-05-12,0.2854
2025-05-13,0.293
2025-05-14,0.298
2025-05-15,0.2848
2025-05-16,0.2577
2025-05-19,0.2699
2025-05-20,0.2532
2025-05-21,0.2405
2025-05-22,0.2347
2025-05-23,0.2228
2025-05-26,0.197
2025-05-27,0.2208
2025-05-28,0.2106
2025-05-29,0.2043
2025-05-30,0.2117
2025-06-02,0.2001
2025-06-03,0.1949
2025-06-04,0.1652
2025-06-05,0.1668
2025-06-06,0.1917
2025-06-09,0.1656
2025-06-10,0.188
2025-06-11,0.1776
2025-06-12,0.1898
2025-06-13,0.1996
2025-06-16,0.1729
2025-06-17,0.1688
2025-06-18,0.1863
2025-06-19,0.2107
2025-06-20,0.2245
2025-06-23,0.2234
2025-06-24,0.213
2025-06-25,0.2389
2025-06-26,0.2483
2025-06-27,0.2286
2025-06-30,0.2377
2025-07-01,0.2575
2025-07-02,0.2571
2025-07-03,0.2892
2025-07-04,0.2531
2025-07-07,0.271
2025-07-08,0.3007
2025-07-09,0.295
2025-07-10,0.2782
2025-07-11,0.3377
2025-07-14,0.3321
2025-07-15,0.3453
2025-07-16,0.3436
2025-07-17,0.3678
2025-07-18,0.3631
2025-07-21,0.3484
2025-07-22,0.3623
2025-07-23,0.3735
2025-07-24,0.366
2025-07-25,0.3595
2025-07-28,0.3803
2025-07-29,0.3642
2025-07-30,0.3716
2025-07-31,0.3699
2025-08-01,0.3876
2025-08-04,0.355
2025-08-05,0.3471
2025-08-06,0.3468
2025-08-07,0.3436
2025-08-08,0.3396
2025-08-11,0.3308
2025-08-12,0.3323
2025-08-13,0.3306
2025-08-14,0.3184
2025-08-15,0.3151
2025-08-18,0.304
2025-08-19,0.2888
2025-08-20,0.2527
2025-08-21,0.2931
2025-08-22,0.2559
2025-08-25,0.26
2025-08-26,0.2316
2025-08-27,0.2472
2025-08-28,0.2406
2025-08-29,0.2228
2025-09-01,0.2209
2025-09-02,0.191
2025-09-03,0.1862
2025-09-04,0.1929
2025-09-05,0.1941
2025-09-08,0.1808
2025-09-09,0.2092
2025-09-10,0.1725
2025-09-11,0.1844
2025-09-12,0.2019
2025-09-15,0.1971
2025-09-16,0.1555
2025-09-17,0.1817
2025-09-18,0.2047
2025-09-19,0.1813
2025-09-22,0.2153
2025-09-23,0.1736
2025-09-24,0.2036
2025-09-25,0.1875
2025-09-26,0.1733
2025-09-29,0.1905
2025-09-30,0.1977
2025-10-01,0.2297
2025-10-02,0.2376
2025-10-03,0.2348
2025-10-06,0.2429
2025-10-07,0.2581
2025-10-08,0.2436
2025-10-09,0.2764
2025-10-10,0.285
2025-10-13,0.284
2025-10-14,0.2985
2025-10-15,0.3261
2025-10-16,0.3188
2025-10-17,0.3334
2025-10-20,0.3333
2025-10-21,0.3224
2025-10-22,0.3406
2025-10-23,0.3308
2025-10-24,0.3528
2025-10-27,0.3605
2025-10-28,0.3606
2025-10-29,0.3643
2025-10-30,0.3713
2025-10-31,0.3553
2025-11-03,0.3455
2025-11-04,0.3782
2025-11-05,0.3368
2025-11-06,0.3457
2025-11-07,0.3739
2025-11-10,0.3678
2025-11-11,0.3823
2025-11-12,0.3575
2025-11-13,0.3385
2025-11-14,0.3557
2025-11-17,0.3365
2025-11-18,0.3175
2025-11-19,0.3327
2025-11-20,0.3173
2025-11-21,0.2991
2025-11-24,0.2801
2025-11-25,0.2717
2025-11-26,0.2817
2025-11-27,0.2655
2025-11-28,0.2658
2025-12-01,0.2558
2025-12-02,0.2443
2025-12-03,0.2339
2025-12-04,0.2415
2025-12-05,0.2135
2025-12-08,0.2286
2025-12-09,0.198
2025-12-10,0.2418
2025-12-11,0.1829
2025-12-12,0.1869
2025-12-15,0.2074
2025-12-16,0.1837
2025-12-17,0.1812
2025-12-18,0.1913
2025-12-19,0.1947
2025-12-22,0.1804
2025-12-23,0.1731
2025-12-24,0.1783
2025-12-25,0.168
2025-12-26,0.1881
2025-12-29,0.1905
2025-12-30,0.1902
2025-12-31,0.2004
2026-01-01,0.1781
2026-01-02,0.2057
2026-01-05,0.2099
2026-01-06,0.2207
2026-01-07,0.2209
2026-01-08,0.2257
2026-01-09,0.2346
2026-01-12,0.2518
2026-01-13,0.2553
2026-01-14,0.2577
2026-01-15,0.2694
2026-01-16,0.2819
2026-01-19,0.3009
2026-01-20,0.2968
2026-01-21,0.2907
2026-01-22,0.3205
2026-01-23,0.33
2026-01-26,0.3277
2026-01-27,0.3442
2026-01-28,0.337
2026-01-29,0.3491
2026-01-30,0.3514
2026-02-02,0.3619
2026-02-03,0.3437
2026-02-04,0.3517
2026-02-05,0.3623
2026-02-06,0.361
2026-02-09,0.3532
2026-02-10,0.3378
2026-02-11,0.3673
2026-02-12,0.3683
2026-02-13,0.3533
2026-02-16,0.3293
2026-02-17,0.3783
2026-02-18,0.3563
2026-02-19,0.3291
2026-02-20,0.3506
2026-02-23,0.3353
2026-02-24,0.3336
2026-02-25,0.3135
2026-02-26,0.2953
2026-02-27,0.3277
2026-03-02,0.3167
2026-03-03,0.2893
2026-03-04,0.2626
2026-03-05,0.2913
2026-03-06,0.2985
2026-03-09,0.2964
2026-03-10,0.2431
2026-03-11,0.2228
2026-03-12,0.2248
2026-03-13,0.2392
2026-03-16,0.2173
2026-03-17,0.2058
2026-03-18,0.1967
2026-03-19,0.1858
2026-03-20,0.177
2026-03-23,0.2074
2026-03-24,0.1828
2026-03-25,0.1594
2026-03-26,0.176
2026-03-27,0.1706
2026-03-30,0.1632
2026-03-31,0.1743
2026-04-01,0.1468
2026-04-02,0.1886
2026-04-03,0.1922
2026-04-06,0.1798
2026-04-07,0.1952
2026-04-08,0.198
2026-04-09,0.1595
2026-04-10,0.2149
2026-04-13,0.1935
2026-04-14,0.2167
2026-04-15,0.2282
2026-04-16,0.2458
2026-04-17,0.2103
2026-04-20,0.2248
2026-04-21,0.2432
2026-04-22,0.2603
2026-04-23,0.2815
2026-04-24,0.2774
2026-04-27,0.2822
2026-04-28,0.3218
2026-04-29,0.3001
2026-04-30,0.3064
2026-05-01,0.2966
2026-05-04,0.3254
2026-05-05,0.3198
2026-05-06,0.3636
2026-05-07,0.3493
2026-05-08,0.373
2026-05-11,0.3668
2026-05-12,0.3672
2026-05-13,0.3796
2026-05-14,0.3536
2026-05-15,0.3629
2026-05-18,0.3912
2026-05-19,0.3839
2026-05-20,0.3624
2026-05-21,0.368
2026-05-22,0.3514
2026-05-25,0.3402
2026-05-26,0.3564
2026-05-27,0.334
2026-05-28,0.3495
2026-05-29,0.3451
2026-06-01,0.3448
2026-06-02,0.3268
2026-06-03,0.334
2026-06-04,0.2999
2026-06-05,0.3243
2026-06-08,0.2811
2026-06-09,0.2883
2026-06-10,0.2688
2026-06-11,0.2611
2026-06-12,0.2556
2026-06-15,0.2494
2026-06-16,0.2182
2026-06-17,0.2355
2026-06-18,0.2046
2026-06-19,0.2392
2026-06-22,0.2123
2026-06-23,0.2157
2026-06-24,0.2117
2026-06-25,0.1739
2026-06-26,0.1928
2026-06-29,0.1638
2026-06-30,0.1889
2026-07-01,0.1605
2026-07-02,0.1591
2026-07-03,0.1585
2026-07-06,0.1627
2026-07-07,0.1807
2026-07-08,0.178
2026-07-09,0.1735
2026-07-10,0.1738
2026-07-13,0.192
2026-07-14,0.1926
2026-07-15,0.189
2026-07-16,0.2102
2026-07-17,0.179
2026-07-20,0.2197
2026-07-21,0.2229
2026-07-22,0.2109
