date,iv_atm
2025-01-09,0.1939
2025-01-10,0.1984
2025-01-13,0.1684
2025-01-14,0.1633
2025-01-15,0.1811
2025-01-16,0.1597
2025-01-17,0.1652
2025-01-20,0.1831
2025-01-21,0.165
2025-01-22,0.1498
2025-01-23,0.1415
2025-01-24,0.1385
2025-01-27,0.1503
2025-01-28,0.1377
2025-01-29,0.1363
2025-01-30,0.1468
2025-01-31,0.1399
2025-02-03,0.1495
2025-02-04,0.146
2025-02-05,0.1465
2025-02-06,0.1544
2025-02-07,0.1368
2025-02-10,0.1347
2025-02-11,0.1516
2025-02-12,0.1378
2025-02-13,0.1596
2025-02-14,0.1316
2025-02-17,0.1672
2025-02-18,0.1533
2025-02-19,0.1726
2025-02-20,0.1856
2025-02-21,0.1475
2025-02-24,0.1592
2025-02-25,0.1762
2025-02-26,0.1656
2025-02-27,0.1541
2025-02-28,0.1844
2025-03-03,0.1811
2025-03-04,0.2084
2025-03-05,0.1986
2025-03-06,0.2054
2025-03-07,0.2021
2025-03-10,0.2017
2025-03-11,0.2104
2025-03-12,0.2041
2025-03-13,0.2372
2025-03-14,0.2231
2025-03-17,0.2105
2025-03-18,0.2113
2025-03-19,0.2385
2025-03-20,0.2437
2025-03-21,0.2649
2025-03-24,0.237
2025-03-25,0.2799
2025-03-26,0.2703
2025-03-27,0.2482
2025-03-28,0.27
2025-03-31,0.2532
2025-04-01,0.2646
2025-04-02,0.2739
2025-04-03,0.2707
2025-04-04,0.2743
2025-04-07,0.2852
2025-04-08,0.2875
2025-04-09,0.2784
2025-04-10,0.2906
2025-04-11,0.2807
2025-04-14,0.2806
2025-04-15,0.2901
2025-04-16,0.2986
2025-04-17,0.2914
2025-04-18,0.3102
2025-04-21,0.2651
2025-04-22,0.2918
2025-04-23,0.2947
2025-04-24,0.2931
2025-04-25,0.2921
2025-04-28,0.2919
2025-04-29,0.29
2025-04-30,0.265
2025-05-01,0.2799
2025-05-02,0.2854
2025-05-05,0.286
2025-05-06,0.2767
2025-05-07,0.275
2025-05-08,0.2758
2025-05-09,0.2586
2025-05-12,0.2683
2025-05-13,0.2496
2025-05-14,0.2477
2025-05-15,0.2598
2025-05-16,0.2451
2025-05-19,0.2399
2025-05-20,0.24
2025-05-21,0.2383
2025-05-22,0.2409
2025-05-23,0.2162
2025-05-26,0.2145
2025-05-27,0.2041
2025-05-28,0.2169
2025-05-29,0.1864
2025-05-30,0.218
2025-06-02,0.1671
2025-06-03,0.2124
2025-06-04,0.1944
2025-06-05,0.1762
2025-06-06,0.1594
2025-06-09,0.1598
2025-06-10,0.1688
2025-06-11,0.1586
2025-06-12,0.1754
2025-06-13,0.1718
2025-06-16,0.168
2025-06-17,0.1471
2025-06-18,0.1338
2025-06-19,0.149
2025-06-20,0.1557
2025-06-23,0.1566
2025-06-24,0.1521
2025-06-25,0.1551
2025-06-26,0.1402
2025-06-27,0.1425
2025-06-30,0.1477
2025-07-01,0.1528
2025-07-02,0.1423
2025-07-03,0.145
2025-07-04,0.1331
2025-07-07,0.157
2025-07-08,0.1462
2025-07-09,0.1389
2025-07-10,0.1468
2025-07-11,0.1572
2025-07-14,0.1591
2025-07-15,0.1458
2025-07-16,0.1588
2025-07-17,0.1556
2025-07-18,0.1457
2025-07-21,0.1653
2025-07-22,0.1749
2025-07-23,0.1664
2025-07-24,0.2001
2025-07-25,0.1756
2025-07-28,0.1911
2025-07-29,0.1996
2025-07-30,0.1937
2025-07-31,0.2056
2025-08-01,0.19
2025-08-04,0.208
2025-08-05,0.2181
2025-08-06,0.2096
2025-08-07,0.2262
2025-08-08,0.2272
2025-08-11,0.244
2025-08-12,0.2331
2025-08-13,0.2416
2025-08-14,0.2636
2025-08-15,0.269
2025-08-18,0.2672
2025-08-19,0.2656
2025-08-20,0.2749
2025-08-21,0.254
2025-08-22,0.2589
2025-08-25,0.2769
2025-08-26,0.2846
2025-08-27,0.2749
2025-08-28,0.2999
2025-08-29,0.2788
2025-09-01,0.3027
2025-09-02,0.2929
2025-09-03,0.2996
2025-09-04,0.289
2025-09-05,0.3056
2025-09-08,0.3143
2025-09-09,0.3037
2025-09-10,0.2969
2025-09-11,0.3065
2025-09-12,0.3172
2025-09-15,0.2855
2025-09-16,0.2985
2025-09-17,0.3003
2025-09-18,0.289
2025-09-19,0.3016
2025-09-22,0.2862
2025-09-23,0.2721
2025-09-24,0.2759
2025-09-25,0.2706
2025-09-26,0.2758
2025-09-29,0.2613
2025-09-30,0.2829
2025-10-01,0.2756
2025-10-02,0.2542
2025-10-03,0.2581
2025-10-06,0.2543
2025-10-07,0.25
2025-10-08,0.2426
2025-10-09,0.2354
2025-10-10,0.2367
2025-10-13,0.2435
2025-10-14,0.2372
2025-10-15,0.2547
2025-10-16,0.2099
2025-10-17,0.2104
2025-10-20,0.2091
2025-10-21,0.21
2025-10-22,0.2181
2025-10-23,0.1849
2025-10-24,0.188
2025-10-27,0.2056
2025-10-28,0.1789
2025-10-29,0.1774
2025-10-30,0.1735
2025-10-31,0.1573
2025-11-03,0.1768
2025-11-04,0.1754
2025-11-05,0.1687
2025-11-06,0.1644
2025-11-07,0.1576
2025-11-10,0.16
2025-11-11,0.1617
2025-11-12,0.1442
2025-11-13,0.1461
2025-11-14,0.1424
2025-11-17,0.1444
2025-11-18,0.1426
2025-11-19,0.1505
2025-11-20,0.142
2025-11-21,0.1253
2025-11-24,0.1551
2025-11-25,0.1471
2025-11-26,0.1383
2025-11-27,0.1427
2025-11-28,0.1509
2025-12-01,0.144
2025-12-02,0.131
2025-12-03,0.1584
2025-12-04,0.1398
2025-12-05,0.1723
2025-12-08,0.1669
2025-12-09,0.1635
2025-12-10,0.1651
2025-12-11,0.1566
2025-12-12,0.1633
2025-12-15,0.1876
