date,iv_atm
2025-01-09,0.1858
2025-01-10,0.1885
2025-01-13,0.2032
2025-01-14,0.1876
2025-01-15,0.1995
2025-01-16,0.2183
2025-01-17,0.2178
2025-01-20,0.2198
2025-01-21,0.2022
2025-01-22,0.2182
2025-01-23,0.2175
2025-01-24,0.2073
2025-01-27,0.2177
2025-01-28,0.2283
2025-01-29,0.2118
2025-01-30,0.2138
2025-01-31,0.2275
2025-02-03,0.2044
2025-02-04,0.2262
2025-02-05,0.2088
2025-02-06,0.2083
2025-02-07,0.1993
2025-02-10,0.2094
2025-02-11,0.2027
2025-02-12,0.2073
2025-02-13,0.203
2025-02-14,0.1856
2025-02-17,0.1944
2025-02-18,0.1899
2025-02-19,0.1923
2025-02-20,0.1856
2025-02-21,0.1711
2025-02-24,0.1843
2025-02-25,0.1752
2025-02-26,0.1657
2025-02-27,0.1659
2025-02-28,0.1615
2025-03-03,0.1498
2025-03-04,0.1511
2025-03-05,0.1401
2025-03-06,0.1509
2025-03-07,0.1393
2025-03-10,0.1319
2025-03-11,0.1353
2025-03-12,0.1237
2025-03-13,0.1258
2025-03-14,0.1334
2025-03-17,0.1209
2025-03-18,0.1115
2025-03-19,0.1144
2025-03-20,0.13
2025-03-21,0.1008
2025-03-24,0.1077
2025-03-25,0.1039
2025-03-26,0.1069
2025-03-27,0.0963
2025-03-28,0.1047
2025-03-31,0.1156
2025-04-01,0.1002
2025-04-02,0.1103
2025-04-03,0.0942
2025-04-04,0.1214
2025-04-07,0.1016
2025-04-08,0.1071
2025-04-09,0.1159
2025-04-10,0.1168
2025-04-11,0.1038
2025-04-14,0.1192
2025-04-15,0.1063
2025-04-16,0.115
2025-04-17,0.1182
2025-04-18,0.121
2025-04-21,0.1316
2025-04-22,0.1292
2025-04-23,0.1497
2025-04-24,0.1388
2025-04-25,0.1587
2025-04-28,0.141
2025-04-29,0.1482
2025-04-30,0.1438
2025-05-01,0.1567
2025-05-02,0.17
2025-05-05,0.162
2025-05-06,0.1611
2025-05-07,0.1788
2025-05-08,0.1797
2025-05-09,0.18
2025-05-12,0.2014
2025-05-13,0.1871
2025-05-14,0.1992
2025-05-15,0.2096
2025-05-16,0.1917
2025-05-19,0.185
2025-05-20,0.2053
2025-05-21,0.2011
2025-05-22,0.2049
2025-05-23,0.2097
2025-05-26,0.2007
2025-05-27,0.2056
2025-05-28,0.2106
2025-05-29,0.2182
2025-05-30,0.2245
2025-06-02,0.2146
2025-06-03,0.2189
2025-06-04,0.219
2025-06-05,0.2098
2025-06-06,0.2078
2025-06-09,0.2111
2025-06-10,0.1983
2025-06-11,0.205
2025-06-12,0.213
2025-06-13,0.2044
2025-06-16,0.1993
2025-06-17,0.2015
2025-06-18,0.1932
2025-06-19,0.1893
2025-06-20,0.2078
2025-06-23,0.1899
2025-06-24,0.2059
2025-06-25,0.1883
2025-06-26,0.1702
2025-06-27,0.1663
2025-06-30,0.1768
2025-07-01,0.1721
2025-07-02,0.1663
2025-07-03,0.1623
2025-07-04,0.1685
2025-07-07,0.1444
2025-07-08,0.1353
2025-07-09,0.1502
2025-07-10,0.1335
2025-07-11,0.128
2025-07-14,0.1425
2025-07-15,0.123
2025-07-16,0.1488
2025-07-17,0.1138
2025-07-18,0.111
2025-07-21,0.118
2025-07-22,0.1142
2025-07-23,0.1255
2025-07-24,0.1099
2025-07-25,0.1124
2025-07-28,0.1057
2025-07-29,0.1125
2025-07-30,0.103
2025-07-31,0.1094
2025-08-01,0.1057
2025-08-04,0.1088
2025-08-05,0.0921
2025-08-06,0.0974
2025-08-07,0.0891
2025-08-08,0.1016
2025-08-11,0.1052
2025-08-12,0.1098
2025-08-13,0.1053
2025-08-14,0.1127
2025-08-15,0.1133
2025-08-18,0.1061
2025-08-19,0.1267
2025-08-20,0.1236
2025-08-21,0.1137
2025-08-22,0.1226
2025-08-25,0.1234
2025-08-26,0.1311
2025-08-27,0.1403
2025-08-28,0.1543
2025-08-29,0.1466
2025-09-01,0.1348
2025-09-02,0.1644
2025-09-03,0.1576
2025-09-04,0.1637
2025-09-05,0.1779
2025-09-08,0.1583
2025-09-09,0.1823
2025-09-10,0.1762
2025-09-11,0.177
2025-09-12,0.1817
2025-09-15,0.1811
2025-09-16,0.194
2025-09-17,0.2072
2025-09-18,0.1977
2025-09-19,0.2014
2025-09-22,0.2165
2025-09-23,0.2003
2025-09-24,0.2197
2025-09-25,0.2103
2025-09-26,0.2073
2025-09-29,0.21
2025-09-30,0.2132
2025-10-01,0.2159
2025-10-02,0.2138
2025-10-03,0.2202
2025-10-06,0.2164
2025-10-07,0.2147
2025-10-08,0.2165
2025-10-09,0.1988
2025-10-10,0.2105
2025-10-13,0.2151
2025-10-14,0.2181
2025-10-15,0.2122
2025-10-16,0.2109
2025-10-17,0.2238
2025-10-20,0.2115
2025-10-21,0.2036
2025-10-22,0.2033
2025-10-23,0.191
2025-10-24,0.1798
2025-10-27,0.1903
2025-10-28,0.1848
2025-10-29,0.1693
2025-10-30,0.1695
2025-10-31,0.1806
2025-11-03,0.167
2025-11-04,0.1717
2025-11-05,0.1772
2025-11-06,0.1558
2025-11-07,0.1529
2025-11-10,0.1453
2025-11-11,0.136
2025-11-12,0.1267
2025-11-13,0.1307
2025-11-14,0.1364
2025-11-17,0.1173
2025-11-18,0.128
2025-11-19,0.1266
2025-11-20,0.1319
2025-11-21,0.1074
2025-11-24,0.1074
2025-11-25,0.1202
2025-11-26,0.1133
2025-11-27,0.1122
2025-11-28,0.1089
2025-12-01,0.1036
2025-12-02,0.1106
2025-12-03,0.0992
2025-12-04,0.0975
2025-12-05,0.1053
2025-12-08,0.0983
2025-12-09,0.1096
2025-12-10,0.1073
2025-12-11,0.1029
2025-12-12,0.1071
2025-12-15,0.1032
2025-12-16,0.1171
2025-12-17,0.1071
2025-12-18,0.117
2025-12-19,0.1174
2025-12-22,0.1139
2025-12-23,0.1266
2025-12-24,0.1218
2025-12-25,0.1231
2025-12-26,0.1308
2025-12-29,0.1335
2025-12-30,0.1483
2025-12-31,0.1438
2026-01-01,0.1228
2026-01-02,0.1407
2026-01-05,0.1353
2026-01-06,0.1597
2026-01-07,0.1657
2026-01-08,0.1651
2026-01-09,0.1635
2026-01-12,0.1676
2026-01-13,0.1656
2026-01-14,0.1893
2026-01-15,0.1862
2026-01-16,0.1722
2026-01-19,0.1827
2026-01-20,0.196
2026-01-21,0.1966
2026-01-22,0.2099
2026-01-23,0.1774
2026-01-26,0.201
2026-01-27,0.2055
2026-01-28,0.2104
2026-01-29,0.197
2026-01-30,0.2037
2026-02-02,0.2092
2026-02-03,0.2133
2026-02-04,0.2081
2026-02-05,0.2246
2026-02-06,0.2147
2026-02-09,0.2164
2026-02-10,0.2074
2026-02-11,0.2178
2026-02-12,0.2165
2026-02-13,0.2176
2026-02-16,0.2151
2026-02-17,0.2095
2026-02-18,0.2129
2026-02-19,0.2084
2026-02-20,0.2032
2026-02-23,0.1983
2026-02-24,0.2026
2026-02-25,0.2
2026-02-26,0.1883
2026-02-27,0.2064
2026-03-02,0.1831
2026-03-03,0.1756
2026-03-04,0.1918
2026-03-05,0.1775
2026-03-06,0.178
2026-03-09,0.1811
2026-03-10,0.1523
2026-03-11,0.1677
2026-03-12,0.1482
2026-03-13,0.1541
2026-03-16,0.1511
2026-03-17,0.1449
2026-03-18,0.1357
2026-03-19,0.1404
2026-03-20,0.1281
2026-03-23,0.1495
2026-03-24,0.1395
2026-03-25,0.1258
2026-03-26,0.1092
2026-03-27,0.1266
2026-03-30,0.1111
2026-03-31,0.1108
2026-04-01,0.1204
2026-04-02,0.1145
2026-04-03,0.1104
2026-04-06,0.0928
2026-04-07,0.1085
2026-04-08,0.1128
2026-04-09,0.0993
2026-04-10,0.1179
2026-04-13,0.1097
2026-04-14,0.1012
2026-04-15,0.1125
2026-04-16,0.1083
2026-04-17,0.1087
2026-04-20,0.1157
2026-04-21,0.1193
2026-04-22,0.1219
2026-04-23,0.1107
2026-04-24,0.1188
2026-04-27,0.1213
2026-04-28,0.1242
2026-04-29,0.1336
2026-04-30,0.1414
2026-05-01,0.1362
2026-05-04,0.1287
2026-05-05,0.1391
2026-05-06,0.1383
2026-05-07,0.1458
2026-05-08,0.1451
2026-05-11,0.1533
2026-05-12,0.1628
2026-05-13,0.1568
2026-05-14,0.1667
2026-05-15,0.1616
2026-05-18,0.1735
2026-05-19,0.1757
2026-05-20,0.1888
2026-05-21,0.1902
2026-05-22,0.1877
2026-05-25,0.191
2026-05-26,0.1965
2026-05-27,0.1992
2026-05-28,0.1971
2026-05-29,0.1949
2026-06-01,0.1895
2026-06-02,0.2067
2026-06-03,0.2027
2026-06-04,0.2121
2026-06-05,0.2274
2026-06-08,0.202
2026-06-09,0.2121
2026-06-10,0.2109
2026-06-11,0.2238
2026-06-12,0.2262
2026-06-15,0.2158
2026-06-16,0.2234
2026-06-17,0.2125
2026-06-18,0.2012
2026-06-19,0.2117
2026-06-22,0.2016
2026-06-23,0.2079
2026-06-24,0.2062
2026-06-25,0.2102
2026-06-26,0.2089
2026-06-29,0.1928
2026-06-30,0.2049
2026-07-01,0.1775
2026-07-02,0.1959
2026-07-03,0.1858
2026-07-06,0.1712
2026-07-07,0.1785
2026-07-08,0.1856
2026-07-09,0.1664
2026-07-10,0.1775
2026-07-13,0.1578
2026-07-14,0.1649
2026-07-15,0.1512
2026-07-16,0.1615
2026-07-17,0.1429
2026-07-20,0.1392
2026-07-21,0.1342
2026-07-22,0.1377
