date,iv_atm
2025-01-09,0.2805
2025-01-10,0.2625
2025-01-13,0.2775
2025-01-14,0.2849
2025-01-15,0.2873
2025-01-16,0.2721
2025-01-17,0.2939
2025-01-20,0.2821
2025-01-21,0.281
2025-01-22,0.2667
2025-01-23,0.2859
2025-01-24,0.2794
2025-01-27,0.2803
2025-01-28,0.2977
2025-01-29,0.2582
2025-01-30,0.2641
2025-01-31,0.2947
2025-02-03,0.2865
2025-02-04,0.279
2025-02-05,0.2896
2025-02-06,0.2688
2025-02-07,0.2687
2025-02-10,0.2511
2025-02-11,0.2605
2025-02-12,0.2636
2025-02-13,0.2553
2025-02-14,0.2582
2025-02-17,0.2456
2025-02-18,0.2609
2025-02-19,0.2544
2025-02-20,0.2223
2025-02-21,0.2312
2025-02-24,0.2305
2025-02-25,0.2269
2025-02-26,0.2267
2025-02-27,0.2099
2025-02-28,0.2068
2025-03-03,0.194
2025-03-04,0.2223
2025-03-05,0.1861
2025-03-06,0.1833
2025-03-07,0.1832
2025-03-10,0.1757
2025-03-11,0.1644
2025-03-12,0.1785
2025-03-13,0.1911
2025-03-14,0.1702
2025-03-17,0.1673
2025-03-18,0.1721
2025-03-19,0.1723
2025-03-20,0.147
2025-03-21,0.1657
2025-03-24,0.1475
2025-03-25,0.1526
2025-03-26,0.1604
2025-03-27,0.1218
2025-03-28,0.1618
2025-03-31,0.1361
2025-04-01,0.1367
2025-04-02,0.1295
2025-04-03,0.1439
2025-04-04,0.116
2025-04-07,0.1495
2025-04-08,0.1265
2025-04-09,0.1366
2025-04-10,0.1625
2025-04-11,0.1092
2025-04-14,0.1368
2025-04-15,0.1363
2025-04-16,0.1514
2025-04-17,0.1225
2025-04-18,0.1467
2025-04-21,0.1331
2025-04-22,0.129
2025-04-23,0.1495
2025-04-24,0.1549
2025-04-25,0.1479
2025-04-28,0.1626
2025-04-29,0.1619
2025-04-30,0.1468
2025-05-01,0.1613
2025-05-02,0.1713
2025-05-05,0.183
2025-05-06,0.1922
2025-05-07,0.1885
2025-05-08,0.1934
2025-05-09,0.1816
2025-05-12,0.197
2025-05-13,0.2122
2025-05-14,0.1917
2025-05-15,0.1975
2025-05-16,0.1916
2025-05-19,0.2133
2025-05-20,0.2393
2025-05-21,0.2337
2025-05-22,0.2216
2025-05-23,0.2397
2025-05-26,0.2161
2025-05-27,0.2571
2025-05-28,0.2633
2025-05-29,0.2725
2025-05-30,0.2541
2025-06-02,0.2563
2025-06-03,0.2647
2025-06-04,0.2748
2025-06-05,0.2645
2025-06-06,0.2604
2025-06-09,0.2577
2025-06-10,0.2924
2025-06-11,0.2669
2025-06-12,0.278
2025-06-13,0.3105
2025-06-16,0.2948
2025-06-17,0.2893
2025-06-18,0.2673
2025-06-19,0.2796
2025-06-20,0.2873
2025-06-23,0.2907
2025-06-24,0.2812
2025-06-25,0.2786
2025-06-26,0.2879
2025-06-27,0.2752
2025-06-30,0.2717
2025-07-01,0.2704
2025-07-02,0.2616
2025-07-03,0.2815
2025-07-04,0.2737
2025-07-07,0.2496
2025-07-08,0.2676
2025-07-09,0.247
2025-07-10,0.2648
2025-07-11,0.2568
2025-07-14,0.2571
2025-07-15,0.2561
2025-07-16,0.2392
2025-07-17,0.2276
2025-07-18,0.2375
2025-07-21,0.2239
2025-07-22,0.2031
2025-07-23,0.245
2025-07-24,0.2113
2025-07-25,0.2044
2025-07-28,0.1993
2025-07-29,0.2175
2025-07-30,0.1971
2025-07-31,0.2113
2025-08-01,0.1879
2025-08-04,0.1904
2025-08-05,0.1878
2025-08-06,0.1732
2025-08-07,0.1749
2025-08-08,0.1688
2025-08-11,0.1853
2025-08-12,0.1688
2025-08-13,0.1668
2025-08-14,0.1708
2025-08-15,0.1579
2025-08-18,0.1477
2025-08-19,0.1542
2025-08-20,0.1516
2025-08-21,0.1379
2025-08-22,0.1493
2025-08-25,0.1203
2025-08-26,0.1443
2025-08-27,0.1336
2025-08-28,0.1475
2025-08-29,0.1436
2025-09-01,0.1116
2025-09-02,0.1507
2025-09-03,0.1374
2025-09-04,0.1478
2025-09-05,0.1476
2025-09-08,0.1639
2025-09-09,0.141
2025-09-10,0.1403
2025-09-11,0.1352
2025-09-12,0.1678
2025-09-15,0.1561
2025-09-16,0.1306
2025-09-17,0.1527
2025-09-18,0.1486
2025-09-19,0.1569
2025-09-22,0.1593
2025-09-23,0.1514
2025-09-24,0.1634
2025-09-25,0.1687
2025-09-26,0.1874
2025-09-29,0.1786
2025-09-30,0.1759
2025-10-01,0.1862
2025-10-02,0.1929
2025-10-03,0.1799
2025-10-06,0.1993
2025-10-07,0.2116
2025-10-08,0.1916
2025-10-09,0.2115
2025-10-10,0.208
2025-10-13,0.2045
2025-10-14,0.2193
2025-10-15,0.2337
2025-10-16,0.245
2025-10-17,0.2356
2025-10-20,0.2456
2025-10-21,0.2377
2025-10-22,0.2368
2025-10-23,0.253
2025-10-24,0.253
2025-10-27,0.258
2025-10-28,0.2762
2025-10-29,0.2768
2025-10-30,0.248
2025-10-31,0.2715
2025-11-03,0.2798
2025-11-04,0.251
2025-11-05,0.273
2025-11-06,0.2903
2025-11-07,0.2732
2025-11-10,0.2773
2025-11-11,0.2639
2025-11-12,0.2806
2025-11-13,0.2718
2025-11-14,0.3005
2025-11-17,0.2871
2025-11-18,0.2679
2025-11-19,0.2853
2025-11-20,0.2709
2025-11-21,0.2722
2025-11-24,0.2917
2025-11-25,0.2723
2025-11-26,0.2845
2025-11-27,0.2654
2025-11-28,0.2726
2025-12-01,0.2497
2025-12-02,0.2643
2025-12-03,0.2764
2025-12-04,0.2466
2025-12-05,0.2482
2025-12-08,0.258
2025-12-09,0.2452
