date,iv_atm
2025-01-09,0.1359
2025-01-10,0.1655
2025-01-13,0.1568
2025-01-14,0.162
2025-01-15,0.1781
2025-01-16,0.1671
2025-01-17,0.1661
2025-01-20,0.1732
2025-01-21,0.1767
2025-01-22,0.1733
2025-01-23,0.1835
2025-01-24,0.1849
2025-01-27,0.1902
2025-01-28,0.197
2025-01-29,0.2011
2025-01-30,0.1966
2025-01-31,0.1825
2025-02-03,0.188
2025-02-04,0.2041
2025-02-05,0.2032
2025-02-06,0.1971
2025-02-07,0.2109
2025-02-10,0.2002
2025-02-11,0.2036
2025-02-12,0.1942
2025-02-13,0.1989
2025-02-14,0.2026
2025-02-17,0.1945
2025-02-18,0.1954
2025-02-19,0.1963
2025-02-20,0.2057
2025-02-21,0.1931
2025-02-24,0.191
2025-02-25,0.1951
2025-02-26,0.1871
2025-02-27,0.1952
2025-02-28,0.1888
2025-03-03,0.196
2025-03-04,0.1881
2025-03-05,0.1799
2025-03-06,0.177
2025-03-07,0.1812
2025-03-10,0.1794
2025-03-11,0.1721
2025-03-12,0.1683
2025-03-13,0.1772
2025-03-14,0.1765
2025-03-17,0.1733
2025-03-18,0.1848
2025-03-19,0.1505
2025-03-20,0.1578
2025-03-21,0.1487
2025-03-24,0.1538
2025-03-25,0.1392
2025-03-26,0.1347
2025-03-27,0.1337
2025-03-28,0.1315
2025-03-31,0.1281
2025-04-01,0.1316
2025-04-02,0.1251
2025-04-03,0.109
2025-04-04,0.107
2025-04-07,0.1082
2025-04-08,0.1017
2025-04-09,0.1223
2025-04-10,0.1034
2025-04-11,0.0934
2025-04-14,0.1048
2025-04-15,0.0914
2025-04-16,0.0931
2025-04-17,0.1072
2025-04-18,0.0939
2025-04-21,0.1112
2025-04-22,0.0838
2025-04-23,0.0973
2025-04-24,0.0913
2025-04-25,0.0967
2025-04-28,0.0928
2025-04-29,0.0892
2025-04-30,0.0827
2025-05-01,0.0922
2025-05-02,0.0922
2025-05-05,0.1019
2025-05-06,0.1012
2025-05-07,0.1139
2025-05-08,0.0881
2025-05-09,0.1158
2025-05-12,0.1021
2025-05-13,0.1165
2025-05-14,0.1069
2025-05-15,0.1103
2025-05-16,0.1108
2025-05-19,0.119
2025-05-20,0.1273
2025-05-21,0.13
2025-05-22,0.1394
2025-05-23,0.131
2025-05-26,0.1372
2025-05-27,0.1459
2025-05-28,0.1392
2025-05-29,0.1471
2025-05-30,0.1334
2025-06-02,0.1475
2025-06-03,0.1557
2025-06-04,0.1676
2025-06-05,0.1612
2025-06-06,0.1564
2025-06-09,0.1623
2025-06-10,0.1775
2025-06-11,0.1767
2025-06-12,0.1723
2025-06-13,0.1872
2025-06-16,0.1815
2025-06-17,0.1648
2025-06-18,0.1855
2025-06-19,0.1952
2025-06-20,0.176
2025-06-23,0.1855
2025-06-24,0.1765
2025-06-25,0.1892
2025-06-26,0.199
2025-06-27,0.2021
2025-06-30,0.2017
2025-07-01,0.1959
2025-07-02,0.2151
2025-07-03,0.1953
2025-07-04,0.2047
2025-07-07,0.1949
2025-07-08,0.2046
2025-07-09,0.2139
2025-07-10,0.2043
2025-07-11,0.2018
2025-07-14,0.1977
2025-07-15,0.2037
2025-07-16,0.1914
2025-07-17,0.178
2025-07-18,0.1893
2025-07-21,0.1998
2025-07-22,0.2004
2025-07-23,0.1803
