date,iv_atm
2025-01-09,0.3055
2025-01-10,0.2791
2025-01-13,0.2963
2025-01-14,0.2837
2025-01-15,0.2644
2025-01-16,0.2506
2025-01-17,0.2582
2025-01-20,0.2538
2025-01-21,0.243
2025-01-22,0.2674
2025-01-23,0.2343
2025-01-24,0.2072
2025-01-27,0.2311
2025-01-28,0.2145
2025-01-29,0.2252
2025-01-30,0.2145
2025-01-31,0.2334
2025-02-03,0.2087
2025-02-04,0.2057
2025-02-05,0.2217
2025-02-06,0.212
2025-02-07,0.2226
2025-02-10,0.2218
2025-02-11,0.2377
2025-02-12,0.2047
2025-02-13,0.2259
2025-02-14,0.2542
2025-02-17,0.209
2025-02-18,0.2435
2025-02-19,0.2381
2025-02-20,0.2316
2025-02-21,0.2749
2025-02-24,0.2364
2025-02-25,0.2697
2025-02-26,0.225
2025-02-27,0.2738
2025-02-28,0.242
2025-03-03,0.2801
2025-03-04,0.2909
2025-03-05,0.3032
2025-03-06,0.2948
2025-03-07,0.3209
2025-03-10,0.3106
2025-03-11,0.3012
2025-03-12,0.319
2025-03-13,0.349
2025-03-14,0.3373
2025-03-17,0.363
2025-03-18,0.3901
2025-03-19,0.3883
2025-03-20,0.3905
2025-03-21,0.3898
2025-03-24,0.3998
2025-03-25,0.3971
2025-03-26,0.4213
2025-03-27,0.3902
2025-03-28,0.4093
2025-03-31,0.4263
2025-04-01,0.4248
2025-04-02,0.4345
2025-04-03,0.4162
2025-04-04,0.4423
2025-04-07,0.4293
2025-04-08,0.4124
2025-04-09,0.4672
2025-04-10,0.4724
2025-04-11,0.4706
2025-04-14,0.4841
2025-04-15,0.4675
2025-04-16,0.4436
2025-04-17,0.4497
2025-04-18,0.4404
2025-04-21,0.4197
2025-04-22,0.4204
2025-04-23,0.42
2025-04-24,0.4109
2025-04-25,0.4296
2025-04-28,0.4539
2025-04-29,0.4003
2025-04-30,0.4169
2025-05-01,0.3962
2025-05-02,0.393
2025-05-05,0.4367
2025-05-06,0.3839
2025-05-07,0.3796
2025-05-08,0.3685
2025-05-09,0.3779
2025-05-12,0.401
2025-05-13,0.3651
2025-05-14,0.3348
2025-05-15,0.3407
2025-05-16,0.3456
2025-05-19,0.3384
2025-05-20,0.3348
2025-05-21,0.3285
2025-05-22,0.32
2025-05-23,0.2946
2025-05-26,0.2931
2025-05-27,0.2965
2025-05-28,0.3104
2025-05-29,0.2688
2025-05-30,0.2802
2025-06-02,0.24
2025-06-03,0.2666
2025-06-04,0.26
2025-06-05,0.2436
2025-06-06,0.2521
2025-06-09,0.2562
2025-06-10,0.2335
2025-06-11,0.2147
2025-06-12,0.2217
2025-06-13,0.2167
2025-06-16,0.2095
2025-06-17,0.2279
2025-06-18,0.2277
2025-06-19,0.2306
2025-06-20,0.2184
2025-06-23,0.2056
2025-06-24,0.2353
2025-06-25,0.1728
2025-06-26,0.2502
2025-06-27,0.2062
2025-06-30,0.2263
2025-07-01,0.2233
2025-07-02,0.2224
2025-07-03,0.2147
2025-07-04,0.22
2025-07-07,0.2381
2025-07-08,0.2487
2025-07-09,0.2488
2025-07-10,0.2447
2025-07-11,0.2472
2025-07-14,0.2492
2025-07-15,0.2557
2025-07-16,0.3081
2025-07-17,0.3077
2025-07-18,0.285
2025-07-21,0.2796
2025-07-22,0.3055
2025-07-23,0.3101
2025-07-24,0.3517
2025-07-25,0.3052
2025-07-28,0.3474
2025-07-29,0.3735
2025-07-30,0.325
2025-07-31,0.3616
2025-08-01,0.3765
2025-08-04,0.3563
2025-08-05,0.371
2025-08-06,0.3823
2025-08-07,0.3951
2025-08-08,0.4018
2025-08-11,0.4049
2025-08-12,0.3943
2025-08-13,0.3988
2025-08-14,0.4336
2025-08-15,0.418
2025-08-18,0.4154
2025-08-19,0.45
2025-08-20,0.4191
2025-08-21,0.4431
2025-08-22,0.4595
2025-08-25,0.4381
2025-08-26,0.4619
2025-08-27,0.4591
2025-08-28,0.442
2025-08-29,0.4528
2025-09-01,0.465
2025-09-02,0.4299
2025-09-03,0.4359
2025-09-04,0.4311
2025-09-05,0.4197
2025-09-08,0.439
2025-09-09,0.4163
2025-09-10,0.4252
2025-09-11,0.4233
2025-09-12,0.4179
2025-09-15,0.4101
2025-09-16,0.4332
2025-09-17,0.4222
2025-09-18,0.403
2025-09-19,0.3776
2025-09-22,0.4298
2025-09-23,0.3648
2025-09-24,0.3502
2025-09-25,0.3776
2025-09-26,0.3578
2025-09-29,0.3621
2025-09-30,0.3408
2025-10-01,0.3586
2025-10-02,0.3244
2025-10-03,0.3001
2025-10-06,0.3123
2025-10-07,0.3211
2025-10-08,0.2903
2025-10-09,0.2848
2025-10-10,0.2616
2025-10-13,0.2759
2025-10-14,0.2725
2025-10-15,0.2689
2025-10-16,0.2668
2025-10-17,0.2639
2025-10-20,0.2159
2025-10-21,0.2728
2025-10-22,0.2453
2025-10-23,0.2583
2025-10-24,0.2475
2025-10-27,0.2103
2025-10-28,0.2194
2025-10-29,0.235
2025-10-30,0.2022
2025-10-31,0.2246
2025-11-03,0.2217
2025-11-04,0.2095
2025-11-05,0.2214
2025-11-06,0.234
2025-11-07,0.1956
2025-11-10,0.2012
2025-11-11,0.2293
2025-11-12,0.2309
2025-11-13,0.2027
2025-11-14,0.2062
2025-11-17,0.2309
2025-11-18,0.2494
2025-11-19,0.2269
2025-11-20,0.2553
2025-11-21,0.2686
2025-11-24,0.2434
2025-11-25,0.2468
2025-11-26,0.2528
2025-11-27,0.2704
2025-11-28,0.2697
2025-12-01,0.2884
2025-12-02,0.2563
2025-12-03,0.3044
2025-12-04,0.2816
2025-12-05,0.3135
2025-12-08,0.3339
2025-12-09,0.279
2025-12-10,0.335
2025-12-11,0.3429
2025-12-12,0.3307
2025-12-15,0.3626
2025-12-16,0.3511
2025-12-17,0.3539
2025-12-18,0.3656
2025-12-19,0.3948
2025-12-22,0.3813
2025-12-23,0.3879
2025-12-24,0.3796
2025-12-25,0.4039
2025-12-26,0.4313
2025-12-29,0.4316
2025-12-30,0.4085
2025-12-31,0.399
2026-01-01,0.4198
2026-01-02,0.4385
2026-01-05,0.4333
2026-01-06,0.4461
2026-01-07,0.4091
2026-01-08,0.4953
2026-01-09,0.4306
2026-01-12,0.4348
2026-01-13,0.4643
2026-01-14,0.4365
2026-01-15,0.4304
2026-01-16,0.42
2026-01-19,0.4286
2026-01-20,0.4546
2026-01-21,0.4593
2026-01-22,0.4476
2026-01-23,0.3858
2026-01-26,0.4247
2026-01-27,0.4111
2026-01-28,0.4042
2026-01-29,0.3846
2026-01-30,0.4046
2026-02-02,0.3946
2026-02-03,0.3935
2026-02-04,0.3938
2026-02-05,0.3774
2026-02-06,0.3798
