date,iv_atm
2025-01-09,0.2741
2025-01-10,0.2514
2025-01-13,0.241
2025-01-14,0.239
2025-01-15,0.2587
2025-01-16,0.2145
2025-01-17,0.2353
2025-01-20,0.225
2025-01-21,0.2249
2025-01-22,0.2258
2025-01-23,0.1979
2025-01-24,0.2134
2025-01-27,0.2058
2025-01-28,0.1652
2025-01-29,0.183
2025-01-30,0.1724
2025-01-31,0.1624
2025-02-03,0.1734
2025-02-04,0.1749
2025-02-05,0.1833
2025-02-06,0.1521
2025-02-07,0.176
2025-02-10,0.1742
2025-02-11,0.1643
2025-02-12,0.1643
2025-02-13,0.1704
2025-02-14,0.1594
2025-02-17,0.1326
2025-02-18,0.1556
2025-02-19,0.1553
2025-02-20,0.1413
2025-02-21,0.1507
2025-02-24,0.1581
2025-02-25,0.1632
2025-02-26,0.1298
2025-02-27,0.1386
2025-02-28,0.1503
2025-03-03,0.1694
2025-03-04,0.1585
2025-03-05,0.192
2025-03-06,0.1542
2025-03-07,0.1798
2025-03-10,0.1601
2025-03-11,0.1662
2025-03-12,0.1854
2025-03-13,0.17
2025-03-14,0.1772
2025-03-17,0.1816
2025-03-18,0.1895
2025-03-19,0.197
2025-03-20,0.2099
2025-03-21,0.2175
2025-03-24,0.2005
2025-03-25,0.2067
2025-03-26,0.2125
2025-03-27,0.21
2025-03-28,0.2208
2025-03-31,0.2395
2025-04-01,0.2509
2025-04-02,0.2704
2025-04-03,0.2324
2025-04-04,0.2541
2025-04-07,0.2492
2025-04-08,0.2535
2025-04-09,0.2787
2025-04-10,0.2629
2025-04-11,0.2817
2025-04-14,0.2939
2025-04-15,0.3078
2025-04-16,0.2789
2025-04-17,0.2853
2025-04-18,0.2981
2025-04-21,0.2909
2025-04-22,0.2935
2025-04-23,0.2997
2025-04-24,0.3168
2025-04-25,0.2967
2025-04-28,0.3025
2025-04-29,0.3154
2025-04-30,0.3145
2025-05-01,0.3229
2025-05-02,0.3134
2025-05-05,0.2992
2025-05-06,0.2979
2025-05-07,0.3089
2025-05-08,0.3104
2025-05-09,0.3162
2025-05-12,0.3115
2025-05-13,0.3118
2025-05-14,0.3171
2025-05-15,0.3067
2025-05-16,0.2957
2025-05-19,0.2875
2025-05-20,0.313
2025-05-21,0.294
2025-05-22,0.2907
2025-05-23,0.2836
2025-05-26,0.2773
2025-05-27,0.2632
2025-05-28,0.272
2025-05-29,0.2671
2025-05-30,0.2667
2025-06-02,0.2643
2025-06-03,0.2564
2025-06-04,0.2286
2025-06-05,0.2373
2025-06-06,0.2529
2025-06-09,0.2397
2025-06-10,0.2422
2025-06-11,0.2245
2025-06-12,0.225
2025-06-13,0.2132
2025-06-16,0.2105
2025-06-17,0.2158
2025-06-18,0.1924
2025-06-19,0.18
2025-06-20,0.2206
2025-06-23,0.186
2025-06-24,0.1757
2025-06-25,0.1783
2025-06-26,0.1796
2025-06-27,0.1613
2025-06-30,0.1598
2025-07-01,0.1708
2025-07-02,0.1618
2025-07-03,0.1521
2025-07-04,0.1472
2025-07-07,0.1643
2025-07-08,0.1573
2025-07-09,0.1567
2025-07-10,0.1558
2025-07-11,0.1263
2025-07-14,0.1309
2025-07-15,0.1473
2025-07-16,0.1536
2025-07-17,0.1668
2025-07-18,0.1414
2025-07-21,0.153
2025-07-22,0.1739
2025-07-23,0.1573
2025-07-24,0.1565
2025-07-25,0.1635
2025-07-28,0.1416
2025-07-29,0.173
2025-07-30,0.1774
2025-07-31,0.1913
2025-08-01,0.1923
2025-08-04,0.1816
2025-08-05,0.2028
2025-08-06,0.1834
2025-08-07,0.18
2025-08-08,0.1736
2025-08-11,0.1976
2025-08-12,0.201
2025-08-13,0.2061
2025-08-14,0.2089
2025-08-15,0.2028
2025-08-18,0.2258
2025-08-19,0.2357
2025-08-20,0.2042
2025-08-21,0.229
2025-08-22,0.2488
2025-08-25,0.2428
2025-08-26,0.2594
2025-08-27,0.2401
2025-08-28,0.2572
2025-08-29,0.2554
2025-09-01,0.2833
2025-09-02,0.2686
2025-09-03,0.2705
2025-09-04,0.2936
2025-09-05,0.2897
2025-09-08,0.2967
2025-09-09,0.306
2025-09-10,0.2976
2025-09-11,0.3021
2025-09-12,0.2764
2025-09-15,0.3091
2025-09-16,0.3011
2025-09-17,0.2987
2025-09-18,0.3123
2025-09-19,0.31
2025-09-22,0.3014
2025-09-23,0.3061
2025-09-24,0.3148
2025-09-25,0.3286
2025-09-26,0.3072
2025-09-29,0.3289
2025-09-30,0.3049
2025-10-01,0.2996
2025-10-02,0.3063
2025-10-03,0.3205
2025-10-06,0.3018
2025-10-07,0.3181
2025-10-08,0.2877
2025-10-09,0.3093
2025-10-10,0.2959
2025-10-13,0.2641
2025-10-14,0.2908
2025-10-15,0.2649
2025-10-16,0.2742
2025-10-17,0.2697
2025-10-20,0.2795
2025-10-21,0.2569
2025-10-22,0.2743
2025-10-23,0.2567
2025-10-24,0.2507
2025-10-27,0.2361
2025-10-28,0.247
2025-10-29,0.2276
2025-10-30,0.2199
2025-10-31,0.2228
2025-11-03,0.2442
2025-11-04,0.2172
2025-11-05,0.2343
2025-11-06,0.2169
2025-11-07,0.2066
2025-11-10,0.1764
2025-11-11,0.1935
2025-11-12,0.1763
2025-11-13,0.2023
2025-11-14,0.176
2025-11-17,0.1624
2025-11-18,0.173
2025-11-19,0.1587
2025-11-20,0.1553
2025-11-21,0.1559
2025-11-24,0.1404
2025-11-25,0.1619
2025-11-26,0.1481
2025-11-27,0.1502
2025-11-28,0.1728
2025-12-01,0.1621
2025-12-02,0.1535
2025-12-03,0.1815
2025-12-04,0.1474
2025-12-05,0.1414
2025-12-08,0.1393
2025-12-09,0.1592
2025-12-10,0.1373
2025-12-11,0.1811
2025-12-12,0.1474
2025-12-15,0.155
2025-12-16,0.1544
2025-12-17,0.1476
2025-12-18,0.1654
2025-12-19,0.1548
2025-12-22,0.157
2025-12-23,0.1686
2025-12-24,0.1764
2025-12-25,0.1791
2025-12-26,0.1898
2025-12-29,0.2043
2025-12-30,0.1819
2025-12-31,0.1684
2026-01-01,0.1989
2026-01-02,0.1949
2026-01-05,0.2172
2026-01-06,0.2176
2026-01-07,0.229
2026-01-08,0.2342
2026-01-09,0.2087
2026-01-12,0.2285
2026-01-13,0.2293
2026-01-14,0.2432
2026-01-15,0.228
2026-01-16,0.2485
2026-01-19,0.2626
2026-01-20,0.2464
2026-01-21,0.2497
2026-01-22,0.2533
2026-01-23,0.2696
2026-01-26,0.2801
2026-01-27,0.2868
2026-01-28,0.2879
2026-01-29,0.2894
2026-01-30,0.2765
2026-02-02,0.2891
2026-02-03,0.2997
2026-02-04,0.2839
2026-02-05,0.3048
2026-02-06,0.306
2026-02-09,0.2739
2026-02-10,0.3263
2026-02-11,0.3033
2026-02-12,0.3103
2026-02-13,0.3081
2026-02-16,0.3344
2026-02-17,0.305
2026-02-18,0.3188
2026-02-19,0.3156
2026-02-20,0.3172
2026-02-23,0.3226
2026-02-24,0.3237
2026-02-25,0.2998
2026-02-26,0.3064
2026-02-27,0.3035
2026-03-02,0.2935
2026-03-03,0.2996
2026-03-04,0.2981
2026-03-05,0.311
2026-03-06,0.2747
2026-03-09,0.2988
2026-03-10,0.2891
2026-03-11,0.2716
2026-03-12,0.2569
2026-03-13,0.2379
2026-03-16,0.2487
2026-03-17,0.2444
2026-03-18,0.2705
2026-03-19,0.245
2026-03-20,0.2408
2026-03-23,0.2306
2026-03-24,0.2352
2026-03-25,0.2236
2026-03-26,0.2051
2026-03-27,0.2383
2026-03-30,0.2079
2026-03-31,0.2065
2026-04-01,0.1831
2026-04-02,0.2041
2026-04-03,0.1951
2026-04-06,0.2041
2026-04-07,0.1903
2026-04-08,0.195
2026-04-09,0.1664
2026-04-10,0.1713
2026-04-13,0.1646
2026-04-14,0.1596
2026-04-15,0.1617
2026-04-16,0.17
2026-04-17,0.171
2026-04-20,0.1608
2026-04-21,0.173
2026-04-22,0.1596
2026-04-23,0.1552
2026-04-24,0.1546
2026-04-27,0.1456
2026-04-28,0.1508
2026-04-29,0.1544
2026-04-30,0.1532
2026-05-01,0.1517
2026-05-04,0.148
2026-05-05,0.1395
2026-05-06,0.1485
2026-05-07,0.1511
2026-05-08,0.1552
2026-05-11,0.1621
2026-05-12,0.1618
2026-05-13,0.1596
2026-05-14,0.1839
2026-05-15,0.1577
2026-05-18,0.1837
2026-05-19,0.1572
2026-05-20,0.1863
2026-05-21,0.1806
2026-05-22,0.1749
2026-05-25,0.1917
2026-05-26,0.1949
2026-05-27,0.1999
2026-05-28,0.1978
2026-05-29,0.2008
2026-06-01,0.2218
2026-06-02,0.2044
2026-06-03,0.2138
2026-06-04,0.2403
2026-06-05,0.2573
2026-06-08,0.2474
2026-06-09,0.2488
2026-06-10,0.2606
2026-06-11,0.2566
2026-06-12,0.2621
2026-06-15,0.2522
2026-06-16,0.2824
2026-06-17,0.2628
2026-06-18,0.269
2026-06-19,0.2702
2026-06-22,0.2894
2026-06-23,0.2989
2026-06-24,0.2958
2026-06-25,0.2952
2026-06-26,0.3122
2026-06-29,0.3039
2026-06-30,0.3115
2026-07-01,0.3017
2026-07-02,0.3147
2026-07-03,0.3177
2026-07-06,0.2953
2026-07-07,0.3043
2026-07-08,0.3246
2026-07-09,0.3082
2026-07-10,0.3127
2026-07-13,0.3218
2026-07-14,0.297
2026-07-15,0.2857
2026-07-16,0.3177
2026-07-17,0.2994
2026-07-20,0.2972
2026-07-21,0.3299
2026-07-22,0.3116
