date,iv_atm
2025-01-09,0.4971
2025-01-10,0.4977
2025-01-13,0.5142
2025-01-14,0.5125
2025-01-15,0.5701
2025-01-16,0.5172
2025-01-17,0.5716
2025-01-20,0.5762
2025-01-21,0.5931
2025-01-22,0.6047
2025-01-23,0.6161
2025-01-24,0.6123
2025-01-27,0.6698
2025-01-28,0.6025
2025-01-29,0.6627
2025-01-30,0.5934
2025-01-31,0.6088
2025-02-03,0.6437
2025-02-04,0.6385
2025-02-05,0.6379
2025-02-06,0.6571
2025-02-07,0.6854
2025-02-10,0.5681
2025-02-11,0.6538
2025-02-12,0.6037
2025-02-13,0.6363
2025-02-14,0.6752
2025-02-17,0.6739
2025-02-18,0.6221
2025-02-19,0.6513
2025-02-20,0.6293
2025-02-21,0.6405
2025-02-24,0.6159
2025-02-25,0.6164
2025-02-26,0.6608
2025-02-27,0.6287
2025-02-28,0.558
2025-03-03,0.6215
2025-03-04,0.6088
2025-03-05,0.5545
2025-03-06,0.5494
2025-03-07,0.5423
2025-03-10,0.5688
2025-03-11,0.5679
2025-03-12,0.5473
2025-03-13,0.5053
2025-03-14,0.5458
2025-03-17,0.5219
2025-03-18,0.4895
2025-03-19,0.4986
2025-03-20,0.5132
2025-03-21,0.4908
2025-03-24,0.4697
2025-03-25,0.465
2025-03-26,0.4685
2025-03-27,0.4787
2025-03-28,0.4792
2025-03-31,0.3982
2025-04-01,0.3698
2025-04-02,0.4232
2025-04-03,0.4065
2025-04-04,0.3681
2025-04-07,0.3838
2025-04-08,0.3387
2025-04-09,0.3929
2025-04-10,0.3697
2025-04-11,0.3858
2025-04-14,0.3114
2025-04-15,0.3259
2025-04-16,0.3522
2025-04-17,0.3098
2025-04-18,0.3323
2025-04-21,0.2983
2025-04-22,0.2972
2025-04-23,0.3122
2025-04-24,0.2945
2025-04-25,0.3322
2025-04-28,0.3197
2025-04-29,0.3301
2025-04-30,0.3248
2025-05-01,0.3455
2025-05-02,0.2996
2025-05-05,0.2914
2025-05-06,0.3051
2025-05-07,0.3046
2025-05-08,0.3128
2025-05-09,0.3466
2025-05-12,0.2947
2025-05-13,0.3332
2025-05-14,0.3777
2025-05-15,0.3737
2025-05-16,0.3476
2025-05-19,0.3899
2025-05-20,0.3654
2025-05-21,0.3872
2025-05-22,0.3631
2025-05-23,0.3805
2025-05-26,0.3993
2025-05-27,0.3941
2025-05-28,0.4271
2025-05-29,0.3876
2025-05-30,0.4209
2025-06-02,0.4444
2025-06-03,0.4908
2025-06-04,0.4471
2025-06-05,0.4988
2025-06-06,0.4741
2025-06-09,0.4803
2025-06-10,0.4427
2025-06-11,0.5183
2025-06-12,0.5296
2025-06-13,0.5283
2025-06-16,0.5285
2025-06-17,0.5802
2025-06-18,0.5755
2025-06-19,0.5297
2025-06-20,0.6019
2025-06-23,0.583
2025-06-24,0.6187
2025-06-25,0.6032
2025-06-26,0.6082
2025-06-27,0.6513
2025-06-30,0.6694
2025-07-01,0.6591
2025-07-02,0.6119
2025-07-03,0.6315
2025-07-04,0.6411
2025-07-07,0.641
2025-07-08,0.6393
2025-07-09,0.6264
2025-07-10,0.6237
2025-07-11,0.6161
2025-07-14,0.6296
2025-07-15,0.6304
2025-07-16,0.6448
2025-07-17,0.6358
2025-07-18,0.6564
2025-07-21,0.6457
2025-07-22,0.6071
2025-07-23,0.6398
2025-07-24,0.6298
2025-07-25,0.6018
2025-07-28,0.6189
2025-07-29,0.6317
2025-07-30,0.6378
2025-07-31,0.6451
2025-08-01,0.6564
2025-08-04,0.6192
2025-08-05,0.5893
2025-08-06,0.5742
2025-08-07,0.5555
2025-08-08,0.5342
2025-08-11,0.6131
2025-08-12,0.5679
2025-08-13,0.5469
2025-08-14,0.567
2025-08-15,0.5389
2025-08-18,0.5504
2025-08-19,0.5149
2025-08-20,0.4794
2025-08-21,0.4931
2025-08-22,0.4804
2025-08-25,0.4463
2025-08-26,0.5141
2025-08-27,0.436
2025-08-28,0.4748
2025-08-29,0.4386
2025-09-01,0.4087
2025-09-02,0.4508
2025-09-03,0.3972
2025-09-04,0.385
2025-09-05,0.3609
2025-09-08,0.3426
2025-09-09,0.3804
2025-09-10,0.4107
2025-09-11,0.3794
2025-09-12,0.3403
2025-09-15,0.301
2025-09-16,0.3169
2025-09-17,0.3149
2025-09-18,0.3648
2025-09-19,0.326
2025-09-22,0.3602
2025-09-23,0.314
2025-09-24,0.3491
2025-09-25,0.329
2025-09-26,0.303
2025-09-29,0.2987
2025-09-30,0.3067
2025-10-01,0.2843
2025-10-02,0.3266
2025-10-03,0.3198
2025-10-06,0.2919
2025-10-07,0.3224
2025-10-08,0.3601
2025-10-09,0.3429
2025-10-10,0.3235
2025-10-13,0.3633
2025-10-14,0.3267
2025-10-15,0.328
2025-10-16,0.337
2025-10-17,0.3664
2025-10-20,0.3508
2025-10-21,0.3423
2025-10-22,0.3859
2025-10-23,0.3712
2025-10-24,0.4189
2025-10-27,0.3765
2025-10-28,0.3688
2025-10-29,0.4226
2025-10-30,0.4234
2025-10-31,0.4307
2025-11-03,0.4495
2025-11-04,0.4648
2025-11-05,0.4402
2025-11-06,0.4862
2025-11-07,0.4914
2025-11-10,0.4837
2025-11-11,0.4747
2025-11-12,0.528
2025-11-13,0.5241
2025-11-14,0.5386
2025-11-17,0.5084
2025-11-18,0.5519
2025-11-19,0.5714
2025-11-20,0.5746
2025-11-21,0.545
2025-11-24,0.5902
2025-11-25,0.5384
2025-11-26,0.6001
2025-11-27,0.6173
2025-11-28,0.6007
2025-12-01,0.6155
2025-12-02,0.6641
2025-12-03,0.6333
2025-12-04,0.6026
2025-12-05,0.6427
2025-12-08,0.6128
2025-12-09,0.6329
2025-12-10,0.6851
2025-12-11,0.6516
2025-12-12,0.6496
2025-12-15,0.6644
2025-12-16,0.6318
2025-12-17,0.6507
2025-12-18,0.6546
2025-12-19,0.6708
2025-12-22,0.6398
2025-12-23,0.653
2025-12-24,0.604
2025-12-25,0.6703
2025-12-26,0.6125
2025-12-29,0.6361
2025-12-30,0.5968
2025-12-31,0.6474
2026-01-01,0.6592
2026-01-02,0.5658
2026-01-05,0.6165
2026-01-06,0.6257
2026-01-07,0.5619
2026-01-08,0.5876
2026-01-09,0.5723
2026-01-12,0.6101
2026-01-13,0.5061
2026-01-14,0.5378
2026-01-15,0.5382
2026-01-16,0.5447
2026-01-19,0.506
2026-01-20,0.4949
2026-01-21,0.5171
2026-01-22,0.5218
2026-01-23,0.4629
2026-01-26,0.5149
2026-01-27,0.4797
2026-01-28,0.445
2026-01-29,0.4033
2026-01-30,0.4078
2026-02-02,0.423
2026-02-03,0.4368
2026-02-04,0.4356
2026-02-05,0.3934
2026-02-06,0.4023
2026-02-09,0.3987
2026-02-10,0.4279
2026-02-11,0.4023
2026-02-12,0.3525
2026-02-13,0.3587
2026-02-16,0.3406
2026-02-17,0.3252
2026-02-18,0.3369
2026-02-19,0.3247
2026-02-20,0.3367
2026-02-23,0.3467
2026-02-24,0.35
2026-02-25,0.2896
2026-02-26,0.314
2026-02-27,0.2948
2026-03-02,0.2905
2026-03-03,0.3275
2026-03-04,0.3326
2026-03-05,0.3293
2026-03-06,0.2964
2026-03-09,0.3207
2026-03-10,0.3294
2026-03-11,0.3179
2026-03-12,0.3431
2026-03-13,0.3215
2026-03-16,0.3501
2026-03-17,0.3223
2026-03-18,0.3694
2026-03-19,0.3246
2026-03-20,0.3196
2026-03-23,0.3432
2026-03-24,0.3702
2026-03-25,0.3563
2026-03-26,0.3505
2026-03-27,0.413
2026-03-30,0.3801
2026-03-31,0.4278
2026-04-01,0.4346
2026-04-02,0.429
2026-04-03,0.4153
2026-04-06,0.4308
2026-04-07,0.443
2026-04-08,0.4614
2026-04-09,0.4434
2026-04-10,0.4714
2026-04-13,0.4836
2026-04-14,0.5247
2026-04-15,0.5201
2026-04-16,0.4454
2026-04-17,0.5246
2026-04-20,0.5268
2026-04-21,0.5189
2026-04-22,0.5378
2026-04-23,0.5584
2026-04-24,0.5833
2026-04-27,0.5684
2026-04-28,0.563
2026-04-29,0.5476
2026-04-30,0.5888
2026-05-01,0.6215
2026-05-04,0.6357
2026-05-05,0.5825
2026-05-06,0.6356
2026-05-07,0.6493
2026-05-08,0.6043
2026-05-11,0.6224
2026-05-12,0.612
2026-05-13,0.6702
2026-05-14,0.6566
2026-05-15,0.686
2026-05-18,0.6328
2026-05-19,0.667
2026-05-20,0.6542
2026-05-21,0.6412
2026-05-22,0.6658
2026-05-25,0.6392
2026-05-26,0.6642
2026-05-27,0.6424
2026-05-28,0.6531
2026-05-29,0.6091
2026-06-01,0.6109
2026-06-02,0.6453
