date,iv_atm
2025-01-09,0.207
2025-01-10,0.2196
2025-01-13,0.2037
2025-01-14,0.1928
2025-01-15,0.1886
2025-01-16,0.1944
2025-01-17,0.1872
2025-01-20,0.1783
2025-01-21,0.177
2025-01-22,0.1653
2025-01-23,0.1712
2025-01-24,0.1626
2025-01-27,0.1681
2025-01-28,0.163
2025-01-29,0.1434
2025-01-30,0.1499
2025-01-31,0.1345
2025-02-03,0.1312
2025-02-04,0.1173
2025-02-05,0.1138
2025-02-06,0.1183
2025-02-07,0.1281
2025-02-10,0.1195
2025-02-11,0.1014
2025-02-12,0.1096
2025-02-13,0.1186
2025-02-14,0.1181
2025-02-17,0.106
2025-02-18,0.1075
2025-02-19,0.0864
2025-02-20,0.1087
2025-02-21,0.1107
2025-02-24,0.1086
2025-02-25,0.1036
2025-02-26,0.1048
2025-02-27,0.1149
2025-02-28,0.1281
2025-03-03,0.1218
2025-03-04,0.1372
2025-03-05,0.1395
2025-03-06,0.136
2025-03-07,0.1328
2025-03-10,0.1502
2025-03-11,0.1664
2025-03-12,0.1577
2025-03-13,0.1773
2025-03-14,0.1852
2025-03-17,0.1775
2025-03-18,0.1895
2025-03-19,0.2017
2025-03-20,0.1955
2025-03-21,0.1905
2025-03-24,0.1693
2025-03-25,0.207
2025-03-26,0.2203
2025-03-27,0.222
2025-03-28,0.2112
2025-03-31,0.2183
2025-04-01,0.2109
2025-04-02,0.2137
2025-04-03,0.2046
2025-04-04,0.2098
2025-04-07,0.2196
2025-04-08,0.2159
2025-04-09,0.2066
2025-04-10,0.2074
2025-04-11,0.2141
2025-04-14,0.191
2025-04-15,0.1934
2025-04-16,0.1895
2025-04-17,0.1878
2025-04-18,0.1819
2025-04-21,0.1761
2025-04-22,0.1671
2025-04-23,0.1719
2025-04-24,0.1563
2025-04-25,0.16
2025-04-28,0.1386
2025-04-29,0.1478
2025-04-30,0.1287
2025-05-01,0.1259
2025-05-02,0.1216
2025-05-05,0.1283
2025-05-06,0.1201
2025-05-07,0.1136
2025-05-08,0.1151
2025-05-09,0.1061
2025-05-12,0.1046
2025-05-13,0.0994
2025-05-14,0.1099
2025-05-15,0.1005
2025-05-16,0.1005
2025-05-19,0.1119
2025-05-20,0.1064
2025-05-21,0.1167
2025-05-22,0.112
2025-05-23,0.1209
2025-05-26,0.1229
2025-05-27,0.1185
2025-05-28,0.1328
2025-05-29,0.1225
2025-05-30,0.1279
2025-06-02,0.1288
2025-06-03,0.1418
2025-06-04,0.137
2025-06-05,0.1246
2025-06-06,0.1544
2025-06-09,0.1584
2025-06-10,0.1675
2025-06-11,0.1597
2025-06-12,0.1806
2025-06-13,0.1759
2025-06-16,0.1783
2025-06-17,0.1958
2025-06-18,0.1884
2025-06-19,0.1963
2025-06-20,0.2006
2025-06-23,0.2119
2025-06-24,0.2011
2025-06-25,0.2198
2025-06-26,0.2167
2025-06-27,0.2149
2025-06-30,0.2138
2025-07-01,0.2266
2025-07-02,0.2256
2025-07-03,0.2095
2025-07-04,0.2254
2025-07-07,0.2182
2025-07-08,0.2035
2025-07-09,0.2117
2025-07-10,0.2019
2025-07-11,0.1903
2025-07-14,0.1875
2025-07-15,0.1969
2025-07-16,0.1982
2025-07-17,0.1926
2025-07-18,0.1801
2025-07-21,0.15
2025-07-22,0.1596
2025-07-23,0.1765
2025-07-24,0.1635
2025-07-25,0.1422
2025-07-28,0.1223
2025-07-29,0.1426
2025-07-30,0.1321
2025-07-31,0.1225
2025-08-01,0.1188
2025-08-04,0.1136
2025-08-05,0.1189
2025-08-06,0.1174
2025-08-07,0.1162
2025-08-08,0.1111
2025-08-11,0.108
2025-08-12,0.1052
2025-08-13,0.1167
2025-08-14,0.1088
2025-08-15,0.098
