date,iv_atm
2025-01-09,0.1223
2025-01-10,0.1342
2025-01-13,0.1257
2025-01-14,0.1429
2025-01-15,0.1339
2025-01-16,0.127
2025-01-17,0.1369
2025-01-20,0.1358
2025-01-21,0.1329
2025-01-22,0.141
2025-01-23,0.1459
2025-01-24,0.1517
2025-01-27,0.146
2025-01-28,0.1414
2025-01-29,0.1524
2025-01-30,0.1487
2025-01-31,0.1473
2025-02-03,0.1696
2025-02-04,0.1697
2025-02-05,0.1587
2025-02-06,0.1705
2025-02-07,0.1922
2025-02-10,0.2067
2025-02-11,0.1912
2025-02-12,0.1849
2025-02-13,0.2008
2025-02-14,0.2083
2025-02-17,0.2001
2025-02-18,0.2165
2025-02-19,0.2023
2025-02-20,0.2137
2025-02-21,0.2226
2025-02-24,0.2145
2025-02-25,0.2265
2025-02-26,0.2205
2025-02-27,0.2318
2025-02-28,0.2217
2025-03-03,0.2492
2025-03-04,0.2501
2025-03-05,0.227
2025-03-06,0.2577
2025-03-07,0.2523
2025-03-10,0.2549
2025-03-11,0.2421
2025-03-12,0.2535
2025-03-13,0.2572
2025-03-14,0.2641
2025-03-17,0.2533
2025-03-18,0.2561
2025-03-19,0.2435
2025-03-20,0.263
2025-03-21,0.2556
2025-03-24,0.2504
2025-03-25,0.2575
2025-03-26,0.2575
2025-03-27,0.2535
2025-03-28,0.2417
2025-03-31,0.2536
2025-04-01,0.2559
2025-04-02,0.2382
2025-04-03,0.2282
2025-04-04,0.2529
2025-04-07,0.242
2025-04-08,0.2179
2025-04-09,0.2186
2025-04-10,0.2301
2025-04-11,0.2098
2025-04-14,0.1939
2025-04-15,0.2108
2025-04-16,0.196
2025-04-17,0.1878
2025-04-18,0.1945
2025-04-21,0.1933
2025-04-22,0.1856
2025-04-23,0.1809
2025-04-24,0.1911
2025-04-25,0.1761
2025-04-28,0.1688
2025-04-29,0.1623
2025-04-30,0.1589
2025-05-01,0.1719
2025-05-02,0.1705
2025-05-05,0.161
2025-05-06,0.1592
2025-05-07,0.1342
2025-05-08,0.1254
2025-05-09,0.1302
2025-05-12,0.1448
2025-05-13,0.134
2025-05-14,0.1388
2025-05-15,0.1329
2025-05-16,0.1233
2025-05-19,0.133
2025-05-20,0.1279
2025-05-21,0.117
2025-05-22,0.11
2025-05-23,0.1209
2025-05-26,0.1482
2025-05-27,0.1162
2025-05-28,0.1225
2025-05-29,0.1362
2025-05-30,0.1201
2025-06-02,0.1086
2025-06-03,0.1272
2025-06-04,0.1262
2025-06-05,0.132
2025-06-06,0.1194
2025-06-09,0.1506
2025-06-10,0.1439
2025-06-11,0.1526
2025-06-12,0.1564
2025-06-13,0.1409
2025-06-16,0.1644
2025-06-17,0.1461
2025-06-18,0.1669
2025-06-19,0.1596
2025-06-20,0.1859
2025-06-23,0.1858
2025-06-24,0.1606
2025-06-25,0.1882
2025-06-26,0.1868
2025-06-27,0.1828
2025-06-30,0.2032
2025-07-01,0.1847
2025-07-02,0.1906
2025-07-03,0.2145
2025-07-04,0.2134
2025-07-07,0.213
2025-07-08,0.2297
2025-07-09,0.2262
2025-07-10,0.2252
2025-07-11,0.2277
2025-07-14,0.2344
2025-07-15,0.2501
2025-07-16,0.2214
2025-07-17,0.233
2025-07-18,0.2407
2025-07-21,0.2532
2025-07-22,0.2492
2025-07-23,0.2424
2025-07-24,0.2546
2025-07-25,0.2613
2025-07-28,0.2606
2025-07-29,0.2584
2025-07-30,0.2595
2025-07-31,0.2549
2025-08-01,0.2654
2025-08-04,0.2371
2025-08-05,0.2498
2025-08-06,0.2587
2025-08-07,0.2499
2025-08-08,0.2479
2025-08-11,0.2456
2025-08-12,0.2288
2025-08-13,0.2373
2025-08-14,0.237
2025-08-15,0.2562
2025-08-18,0.2483
2025-08-19,0.2376
2025-08-20,0.2312
2025-08-21,0.2267
2025-08-22,0.2264
2025-08-25,0.2219
2025-08-26,0.2074
2025-08-27,0.2086
2025-08-28,0.2091
2025-08-29,0.1901
2025-09-01,0.2112
2025-09-02,0.2222
2025-09-03,0.2118
2025-09-04,0.1957
2025-09-05,0.1702
2025-09-08,0.1732
2025-09-09,0.1555
2025-09-10,0.1678
2025-09-11,0.1734
2025-09-12,0.1428
2025-09-15,0.1663
2025-09-16,0.1587
2025-09-17,0.1564
2025-09-18,0.1411
2025-09-19,0.1361
2025-09-22,0.1358
2025-09-23,0.1446
2025-09-24,0.1412
2025-09-25,0.1275
2025-09-26,0.1312
2025-09-29,0.1158
2025-09-30,0.1159
2025-10-01,0.1246
2025-10-02,0.1197
2025-10-03,0.1367
2025-10-06,0.1238
2025-10-07,0.131
2025-10-08,0.1009
2025-10-09,0.1117
2025-10-10,0.1206
2025-10-13,0.1399
2025-10-14,0.1263
2025-10-15,0.1178
2025-10-16,0.1346
2025-10-17,0.1208
2025-10-20,0.1343
2025-10-21,0.1304
2025-10-22,0.138
2025-10-23,0.1351
2025-10-24,0.1475
2025-10-27,0.1481
2025-10-28,0.1521
2025-10-29,0.1496
2025-10-30,0.1559
2025-10-31,0.1564
2025-11-03,0.1688
2025-11-04,0.1592
2025-11-05,0.1836
2025-11-06,0.1925
2025-11-07,0.1817
2025-11-10,0.1698
2025-11-11,0.1846
2025-11-12,0.1773
2025-11-13,0.1869
2025-11-14,0.1984
2025-11-17,0.2062
2025-11-18,0.2097
2025-11-19,0.2232
2025-11-20,0.2218
2025-11-21,0.2256
2025-11-24,0.2222
