date,iv_atm
2025-01-09,0.1756
2025-01-10,0.1557
2025-01-13,0.1662
2025-01-14,0.1576
2025-01-15,0.1501
2025-01-16,0.1458
2025-01-17,0.1466
2025-01-20,0.1568
2025-01-21,0.145
2025-01-22,0.1386
2025-01-23,0.1424
2025-01-24,0.1335
2025-01-27,0.1325
2025-01-28,0.1211
2025-01-29,0.1166
2025-01-30,0.1108
2025-01-31,0.1009
2025-02-03,0.1027
2025-02-04,0.1034
2025-02-05,0.1018
2025-02-06,0.102
2025-02-07,0.0975
2025-02-10,0.0966
2025-02-11,0.0935
2025-02-12,0.0716
2025-02-13,0.0872
2025-02-14,0.0776
2025-02-17,0.0766
2025-02-18,0.0817
2025-02-19,0.0846
2025-02-20,0.0903
2025-02-21,0.0922
2025-02-24,0.0763
2025-02-25,0.0903
2025-02-26,0.0825
2025-02-27,0.0978
2025-02-28,0.0951
2025-03-03,0.091
2025-03-04,0.1023
2025-03-05,0.1099
2025-03-06,0.1148
2025-03-07,0.116
2025-03-10,0.1119
2025-03-11,0.1181
2025-03-12,0.1173
2025-03-13,0.1421
2025-03-14,0.1303
2025-03-17,0.1475
2025-03-18,0.1461
2025-03-19,0.1453
2025-03-20,0.1606
2025-03-21,0.1559
2025-03-24,0.1607
2025-03-25,0.1511
2025-03-26,0.1648
2025-03-27,0.1675
2025-03-28,0.1672
2025-03-31,0.1676
2025-04-01,0.167
2025-04-02,0.1793
2025-04-03,0.1859
2025-04-04,0.1689
2025-04-07,0.1813
2025-04-08,0.1731
2025-04-09,0.1833
2025-04-10,0.1742
2025-04-11,0.176
2025-04-14,0.1739
2025-04-15,0.1675
2025-04-16,0.1639
2025-04-17,0.1683
2025-04-18,0.1547
2025-04-21,0.1463
2025-04-22,0.1467
2025-04-23,0.1512
2025-04-24,0.139
2025-04-25,0.1312
2025-04-28,0.1285
2025-04-29,0.1185
2025-04-30,0.1237
2025-05-01,0.108
2025-05-02,0.1198
2025-05-05,0.1088
2025-05-06,0.1095
2025-05-07,0.1004
2025-05-08,0.1037
2025-05-09,0.1013
2025-05-12,0.0895
2025-05-13,0.1084
2025-05-14,0.0821
2025-05-15,0.0941
2025-05-16,0.0852
2025-05-19,0.0779
2025-05-20,0.0827
2025-05-21,0.0765
2025-05-22,0.0773
2025-05-23,0.0951
2025-05-26,0.0826
2025-05-27,0.0957
2025-05-28,0.0981
2025-05-29,0.1022
2025-05-30,0.0844
2025-06-02,0.1039
2025-06-03,0.0909
2025-06-04,0.1065
2025-06-05,0.1032
2025-06-06,0.113
2025-06-09,0.1145
2025-06-10,0.122
2025-06-11,0.1259
2025-06-12,0.1301
2025-06-13,0.1381
2025-06-16,0.1484
2025-06-17,0.1361
2025-06-18,0.145
2025-06-19,0.1583
2025-06-20,0.1535
2025-06-23,0.1575
2025-06-24,0.1619
2025-06-25,0.1591
2025-06-26,0.1746
2025-06-27,0.1758
2025-06-30,0.1633
2025-07-01,0.1806
2025-07-02,0.1748
2025-07-03,0.1702
2025-07-04,0.1685
2025-07-07,0.1742
2025-07-08,0.1882
2025-07-09,0.17
2025-07-10,0.1608
2025-07-11,0.1798
2025-07-14,0.1605
2025-07-15,0.1622
2025-07-16,0.1681
2025-07-17,0.1582
2025-07-18,0.1451
2025-07-21,0.1485
2025-07-22,0.1526
2025-07-23,0.146
2025-07-24,0.1413
2025-07-25,0.1371
2025-07-28,0.1317
2025-07-29,0.1282
2025-07-30,0.1187
2025-07-31,0.1126
2025-08-01,0.1139
2025-08-04,0.105
2025-08-05,0.1118
2025-08-06,0.1015
2025-08-07,0.1021
2025-08-08,0.0842
2025-08-11,0.0918
2025-08-12,0.1001
2025-08-13,0.097
2025-08-14,0.082
2025-08-15,0.0901
2025-08-18,0.0849
2025-08-19,0.0765
2025-08-20,0.0697
2025-08-21,0.0831
2025-08-22,0.0777
2025-08-25,0.0857
2025-08-26,0.088
2025-08-27,0.0833
2025-08-28,0.0883
2025-08-29,0.0973
2025-09-01,0.0908
2025-09-02,0.1092
2025-09-03,0.105
2025-09-04,0.1043
2025-09-05,0.1039
2025-09-08,0.1147
2025-09-09,0.1244
2025-09-10,0.1259
2025-09-11,0.1322
2025-09-12,0.126
2025-09-15,0.1388
2025-09-16,0.1423
2025-09-17,0.1399
2025-09-18,0.1485
2025-09-19,0.1578
2025-09-22,0.1529
2025-09-23,0.1546
2025-09-24,0.1539
2025-09-25,0.1734
2025-09-26,0.1694
2025-09-29,0.1784
2025-09-30,0.1625
2025-10-01,0.1625
2025-10-02,0.1582
2025-10-03,0.1791
2025-10-06,0.1702
2025-10-07,0.1705
2025-10-08,0.1786
2025-10-09,0.1731
2025-10-10,0.1666
2025-10-13,0.1583
2025-10-14,0.1728
2025-10-15,0.1648
2025-10-16,0.1409
2025-10-17,0.1628
2025-10-20,0.1442
2025-10-21,0.1494
2025-10-22,0.1541
2025-10-23,0.1347
2025-10-24,0.1347
2025-10-27,0.1334
2025-10-28,0.1413
2025-10-29,0.1417
2025-10-30,0.1205
2025-10-31,0.1242
2025-11-03,0.1019
2025-11-04,0.1136
2025-11-05,0.106
2025-11-06,0.0978
2025-11-07,0.0994
2025-11-10,0.0967
2025-11-11,0.0924
2025-11-12,0.0891
2025-11-13,0.081
2025-11-14,0.0942
2025-11-17,0.0778
2025-11-18,0.0917
2025-11-19,0.0826
2025-11-20,0.0908
2025-11-21,0.0905
2025-11-24,0.0907
2025-11-25,0.0821
2025-11-26,0.0826
2025-11-27,0.0901
2025-11-28,0.0791
2025-12-01,0.102
2025-12-02,0.0962
2025-12-03,0.0941
2025-12-04,0.1156
2025-12-05,0.1066
2025-12-08,0.1085
2025-12-09,0.1209
2025-12-10,0.1275
2025-12-11,0.1233
2025-12-12,0.1369
2025-12-15,0.1324
2025-12-16,0.1356
2025-12-17,0.1455
2025-12-18,0.1536
2025-12-19,0.1517
2025-12-22,0.1521
2025-12-23,0.159
2025-12-24,0.1567
2025-12-25,0.1662
2025-12-26,0.1653
2025-12-29,0.1647
2025-12-30,0.1639
2025-12-31,0.1741
2026-01-01,0.1796
2026-01-02,0.1806
2026-01-05,0.1878
2026-01-06,0.1815
2026-01-07,0.1827
2026-01-08,0.1643
2026-01-09,0.1625
2026-01-12,0.1763
2026-01-13,0.1708
2026-01-14,0.1623
2026-01-15,0.1776
2026-01-16,0.1561
2026-01-19,0.1581
2026-01-20,0.1443
2026-01-21,0.1543
2026-01-22,0.1391
2026-01-23,0.1372
2026-01-26,0.1292
2026-01-27,0.148
2026-01-28,0.1165
2026-01-29,0.1194
2026-01-30,0.1182
2026-02-02,0.1088
2026-02-03,0.1132
2026-02-04,0.1166
2026-02-05,0.1085
2026-02-06,0.0969
2026-02-09,0.1016
2026-02-10,0.0963
2026-02-11,0.0919
2026-02-12,0.1007
2026-02-13,0.0961
2026-02-16,0.0857
2026-02-17,0.0951
2026-02-18,0.081
2026-02-19,0.092
2026-02-20,0.0862
2026-02-23,0.082
2026-02-24,0.0819
2026-02-25,0.073
2026-02-26,0.0794
2026-02-27,0.0931
2026-03-02,0.0949
2026-03-03,0.1147
2026-03-04,0.1028
2026-03-05,0.0992
2026-03-06,0.101
2026-03-09,0.1155
2026-03-10,0.1172
2026-03-11,0.1191
2026-03-12,0.1228
2026-03-13,0.1243
2026-03-16,0.1237
2026-03-17,0.1345
2026-03-18,0.1374
2026-03-19,0.1463
2026-03-20,0.1581
2026-03-23,0.1607
