date,open,high,low,close,volume
2025-01-09,233.86,234.17,232.64,233.31,4334952
2025-01-10,226.58,227.22,225.53,226.67,2581937
2025-01-13,227.11,227.79,226.83,226.93,2924212
2025-01-14,227.55,227.95,226.91,227.6,2962531
2025-01-15,222.84,224.13,222.79,223.16,2958601
2025-01-16,226.65,227.83,226.19,227.06,4150100
2025-01-17,227.4,228.99,227.29,227.75,2216358
2025-01-20,226.43,226.97,225.94,226.33,4062030
2025-01-21,225.78,226.25,225.33,225.69,2065054
2025-01-22,222.69,223.99,222.43,223.23,2421550
2025-01-23,214.95,216.19,214.49,215.49,2596395
2025-01-24,217.05,218.3,216.06,217.01,2853976
2025-01-27,218.49,219.93,217.3,219.09,1702379
2025-01-28,223.39,224.63,222.08,223.1,3721785
2025-01-29,229.94,231.14,229.33,229.84,1870184
2025-01-30,232.44,232.99,232.35,232.77,3203805
2025-01-31,234.01,235.25,233.82,234.17,4333453
2025-02-03,235.8,236.71,234.46,236.45,1295954
2025-02-04,241.15,242.38,240.18,240.81,3544723
2025-02-05,235.59,236.43,234.76,235.25,1465708
2025-02-06,239.32,240.11,238.59,239.03,1999553
2025-02-07,236.48,237.69,235.43,236.68,4195735
2025-02-10,239.66,241.16,238.84,239.87,4786005
2025-02-11,245.86,246.76,244.63,246.0,3910136
2025-02-12,239.28,240.01,238.65,239.93,4197490
2025-02-13,240.33,241.39,238.89,239.64,4408148
2025-02-14,238.98,239.34,238.95,239.13,4603982
2025-02-17,237.25,238.53,236.17,236.73,1587565
2025-02-18,235.64,237.46,234.66,236.05,4169701
2025-02-19,233.93,234.85,233.59,234.4,4882810
2025-02-20,231.47,232.79,229.94,231.06,4360766
2025-02-21,228.19,228.66,227.8,228.26,944332
2025-02-24,231.03,231.77,230.17,231.68,4901639
2025-02-25,230.9,232.05,229.6,231.43,1878304
2025-02-26,232.34,233.17,232.12,232.62,1355553
2025-02-27,236.64,237.29,235.43,236.53,3260165
2025-02-28,231.18,232.2,230.94,231.64,1632555
2025-03-03,232.09,232.52,231.81,232.46,3080654
2025-03-04,234.1,235.14,233.49,233.79,3017234
2025-03-05,241.82,243.5,241.62,242.28,1993867
2025-03-06,239.83,240.33,238.85,240.04,4002353
2025-03-07,241.75,241.85,240.11,241.21,3519134
2025-03-10,245.94,247.27,244.75,246.54,4325194
2025-03-11,248.85,250.86,247.48,249.49,3057891
2025-03-12,253.17,253.29,252.92,253.23,3208146
2025-03-13,251.32,252.35,249.87,251.76,2365571
2025-03-14,250.83,251.69,250.73,250.96,4131037
2025-03-17,249.18,249.38,247.9,249.2,2802171
2025-03-18,248.53,249.02,246.93,248.2,3244168
2025-03-19,246.31,246.68,244.89,245.82,3222427
2025-03-20,240.19,241.33,239.46,240.87,2402746
2025-03-21,240.31,241.02,240.26,240.97,2798073
2025-03-24,240.36,240.45,239.97,240.3,1075193
2025-03-25,246.26,246.41,245.93,246.18,944435
2025-03-26,249.52,250.19,247.93,249.2,4120323
2025-03-27,250.07,251.45,249.46,250.53,2778262
2025-03-28,248.19,248.73,246.78,247.54,2017969
2025-03-31,251.15,252.54,250.59,250.88,3905439
2025-04-01,250.07,251.35,249.32,249.93,1359207
2025-04-02,242.0,243.07,240.43,241.64,2503961
2025-04-03,245.05,245.16,243.04,244.48,1815681
2025-04-04,239.93,241.01,238.89,239.94,4310783
2025-04-07,240.34,240.62,239.47,240.43,1343212
2025-04-08,242.79,243.29,241.66,242.54,3904254
2025-04-09,242.51,243.11,241.22,242.23,2017644
2025-04-10,244.44,245.08,243.44,244.79,2598509
2025-04-11,245.01,246.07,244.14,244.41,3615114
2025-04-14,244.08,244.24,243.46,244.03,3015930
2025-04-15,249.98,250.89,247.92,249.24,4420561
2025-04-16,250.94,251.35,248.88,250.26,2124234
2025-04-17,258.11,258.21,257.19,258.14,1056812
2025-04-18,256.82,258.12,255.05,256.41,3292053
2025-04-21,260.03,260.44,259.01,259.77,3749732
2025-04-22,260.63,262.05,259.37,260.49,4161757
2025-04-23,261.47,262.28,261.38,261.76,4439605
2025-04-24,261.07,262.4,259.59,261.04,4496434
2025-04-25,257.87,259.17,256.6,258.12,2280890
2025-04-28,261.05,261.72,259.27,260.77,3301679
2025-04-29,257.95,258.94,256.92,257.85,2150578
2025-04-30,252.27,252.58,251.14,251.78,3038294
2025-05-01,253.42,253.81,252.83,253.39,1907164
2025-05-02,247.94,248.5,246.72,247.91,2214199
2025-05-05,246.21,247.66,245.23,245.59,2780227
2025-05-06,246.32,247.27,245.34,246.06,3226585
2025-05-07,241.85,242.98,240.89,241.94,808707
2025-05-08,246.1,247.76,245.28,246.41,939871
2025-05-09,252.2,253.71,250.51,251.91,3280096
2025-05-12,254.88,256.62,254.22,255.26,1315090
2025-05-13,257.65,259.02,256.88,258.15,2802218
2025-05-14,254.5,256.3,254.06,254.83,3019470
2025-05-15,255.98,256.82,254.77,255.32,4667982
2025-05-16,259.99,261.27,258.81,260.08,2142843
2025-05-19,268.45,270.37,267.15,269.1,832033
2025-05-20,273.27,274.45,271.2,272.67,4365845
2025-05-21,278.8,279.58,278.1,278.83,3349676
2025-05-22,283.87,285.59,283.46,284.01,944573
2025-05-23,281.59,282.28,280.92,282.07,2484365
2025-05-26,283.52,285.53,283.33,284.0,2478749
2025-05-27,287.41,287.96,285.83,287.58,1471517
2025-05-28,288.04,288.92,285.74,287.18,4921171
2025-05-29,283.21,285.4,282.93,283.94,2182546
2025-05-30,279.74,280.63,279.49,279.64,3157343
2025-06-02,280.98,281.65,280.51,281.54,2406875
2025-06-03,273.68,274.51,272.55,274.46,2638206
2025-06-04,276.73,278.12,275.44,277.36,2534453
2025-06-05,286.71,288.11,285.25,286.16,1364177
2025-06-06,291.11,292.26,290.51,290.71,2260565
2025-06-09,284.15,284.69,283.93,284.27,3871223
2025-06-10,279.65,280.96,278.92,279.86,3220972
2025-06-11,275.49,276.04,274.53,275.01,4917035
2025-06-12,270.83,271.12,270.38,271.09,4464468
2025-06-13,275.44,276.7,274.24,275.66,4708957
2025-06-16,276.21,276.9,274.84,276.49,2446517
2025-06-17,266.25,267.64,264.6,265.95,1025297
2025-06-18,264.88,265.58,264.66,264.94,2021067
2025-06-19,261.62,262.85,260.25,261.52,3291657
2025-06-20,265.32,266.86,264.27,265.94,4270064
2025-06-23,263.56,265.14,262.26,264.26,4248192
2025-06-24,271.07,272.55,270.09,271.43,2170258
2025-06-25,269.37,270.88,268.68,269.07,2232461
2025-06-26,272.98,273.57,272.1,273.23,1817740
2025-06-27,277.42,278.41,275.36,276.7,3547590
2025-06-30,271.76,273.06,271.0,272.53,2844159
2025-07-01,277.38,278.84,275.74,276.64,2087884
2025-07-02,278.58,279.67,277.9,278.32,4145731
2025-07-03,278.18,279.3,276.49,278.06,1109199
2025-07-04,280.96,282.69,280.15,281.75,3533334
2025-07-07,273.02,274.59,271.63,272.46,910361
2025-07-08,275.56,276.1,274.0,275.73,3864264
2025-07-09,274.96,277.03,273.45,275.45,3968938
2025-07-10,275.71,276.18,274.06,275.42,3573044
2025-07-11,272.53,274.6,271.35,273.35,2312452
2025-07-14,271.47,272.43,270.08,271.77,4351321
2025-07-15,276.94,277.18,275.77,276.35,2814713
2025-07-16,281.05,281.96,279.31,280.4,1142839
2025-07-17,275.76,277.6,274.75,276.05,4186526
2025-07-18,277.65,278.75,276.74,278.37,2766605
2025-07-21,275.36,276.88,273.72,275.31,1642845
2025-07-22,269.41,270.12,267.83,269.69,3899154
2025-07-23,265.65,266.92,265.57,265.95,4176921
2025-07-24,264.66,265.93,263.99,265.03,4952256
2025-07-25,261.76,262.6,259.73,261.24,3426994
2025-07-28,262.13,264.28,260.99,262.78,4315682
2025-07-29,263.0,264.23,262.42,263.2,4512270
2025-07-30,265.78,267.35,264.24,265.75,3536067
2025-07-31,266.04,266.8,265.48,266.78,3148816
2025-08-01,267.83,269.55,266.97,268.16,1440011
2025-08-04,269.21,269.47,269.11,269.36,4865423
2025-08-05,280.37,280.54,279.42,279.55,4956708
2025-08-06,282.88,284.76,282.22,283.72,4649539
2025-08-07,280.92,281.17,279.21,280.39,1133615
2025-08-08,283.19,285.11,281.95,283.66,4859981
2025-08-11,276.35,276.87,274.9,276.09,1804886
2025-08-12,276.44,277.82,276.42,277.18,939448
2025-08-13,277.85,278.83,277.8,278.05,4026402
2025-08-14,276.34,278.13,274.78,276.8,4447996
2025-08-15,275.66,276.73,274.14,276.19,3202976
2025-08-18,280.91,281.69,280.12,280.5,2360405
2025-08-19,274.53,276.29,274.24,275.35,4425279
2025-08-20,275.1,276.35,274.03,274.61,1493722
2025-08-21,276.77,277.32,275.63,276.02,3333876
2025-08-22,272.86,273.69,272.37,272.42,4609344
2025-08-25,266.32,267.0,265.13,265.63,4903317
2025-08-26,262.39,262.97,260.96,261.86,3355015
