date,open,high,low,close,volume
2025-01-09,205.92,207.36,204.75,206.17,1625697
2025-01-10,203.85,204.64,203.63,204.39,2942223
2025-01-13,201.9,203.47,201.85,202.41,4079624
2025-01-14,208.46,208.62,207.71,208.08,3894696
2025-01-15,213.25,214.54,213.01,213.83,4216995
2025-01-16,205.73,206.17,204.47,205.29,4237540
2025-01-17,210.98,211.6,210.93,211.0,3009714
2025-01-20,210.04,210.97,209.79,210.4,4783463
2025-01-21,209.93,210.15,209.35,209.73,1525709
2025-01-22,214.96,216.07,214.23,215.6,3213472
2025-01-23,220.14,221.29,218.9,220.11,2008161
2025-01-24,217.12,218.17,216.05,217.06,4219956
2025-01-27,220.19,221.21,219.34,220.45,2083307
2025-01-28,225.35,225.52,224.15,224.92,2906424
2025-01-29,227.47,228.13,225.76,227.09,1728493
2025-01-30,228.76,230.04,227.66,228.19,1043355
2025-01-31,224.1,224.19,223.97,224.05,4507663
2025-02-03,228.67,228.81,228.43,228.61,3526223
2025-02-04,229.92,230.03,229.78,229.91,4009253
2025-02-05,230.57,231.27,229.78,231.23,4853371
2025-02-06,232.52,233.04,232.02,232.75,4201339
2025-02-07,231.0,231.11,230.91,230.98,4143937
2025-02-10,231.73,232.58,231.1,231.99,3865998
2025-02-11,235.21,236.21,234.08,235.25,2850323
2025-02-12,231.4,232.24,229.98,230.75,1962295
2025-02-13,235.8,236.03,234.01,235.19,4963110
2025-02-14,235.91,236.37,234.56,235.22,1530480
2025-02-17,233.66,234.4,232.45,234.3,4194150
2025-02-18,237.99,238.17,237.18,237.9,1843895
2025-02-19,243.49,245.12,242.15,243.67,837950
2025-02-20,247.89,248.24,246.04,247.37,4324023
2025-02-21,243.26,244.22,242.31,243.43,2622680
2025-02-24,240.13,241.42,238.87,240.13,4054151
2025-02-25,237.24,238.74,236.17,237.37,4266331
2025-02-26,243.95,245.26,242.51,243.81,3162411
2025-02-27,241.4,241.42,239.62,240.93,1769601
2025-02-28,239.26,240.4,238.65,239.95,4242228
2025-03-03,248.22,249.65,247.72,248.12,4395536
2025-03-04,247.28,248.5,246.22,246.64,3992450
2025-03-05,249.51,250.85,249.08,249.5,4703681
2025-03-06,247.64,248.04,246.93,247.1,2858188
2025-03-07,247.61,248.27,246.47,247.64,2563119
2025-03-10,254.81,256.17,254.17,254.59,1224379
2025-03-11,252.16,253.57,251.51,252.35,989719
2025-03-12,253.1,253.97,251.25,252.46,2874812
2025-03-13,251.88,254.01,250.91,252.55,1666300
2025-03-14,250.02,250.65,249.15,249.43,1104836
2025-03-17,253.64,255.7,253.23,254.28,4482412
2025-03-18,252.07,253.98,251.13,252.68,3833977
2025-03-19,250.73,250.93,250.56,250.75,3576418
2025-03-20,246.29,247.84,245.01,246.63,1872044
2025-03-21,246.04,247.31,245.04,246.64,2313629
2025-03-24,250.55,251.64,250.04,251.28,2736333
2025-03-25,247.38,249.28,246.26,247.92,3828504
2025-03-26,247.39,247.97,247.31,247.58,3037924
2025-03-27,244.71,245.82,242.83,244.02,2392240
2025-03-28,241.83,243.1,240.29,241.4,1065811
2025-03-31,245.49,246.81,244.83,245.89,3796523
2025-04-01,249.0,250.17,247.78,249.6,1824746
2025-04-02,252.2,252.99,251.19,251.97,4635410
2025-04-03,254.49,254.86,252.82,254.34,4201952
2025-04-04,250.28,251.08,248.69,249.83,822161
2025-04-07,248.73,250.86,247.77,249.39,4219495
2025-04-08,245.23,246.45,244.69,245.95,3003118
2025-04-09,248.98,250.24,247.66,249.34,4251660
2025-04-10,255.7,256.4,254.38,256.1,1432173
2025-04-11,252.59,252.76,251.69,251.97,2080466
2025-04-14,257.86,259.06,257.07,258.01,1166173
2025-04-15,253.85,255.58,253.77,254.5,3760358
2025-04-16,255.08,255.96,254.73,255.77,2899520
2025-04-17,251.04,251.97,249.62,250.67,870428
2025-04-18,249.1,250.58,249.04,249.05,3477537
2025-04-21,250.47,250.8,250.17,250.32,4209984
2025-04-22,245.8,246.67,244.63,245.83,3481646
2025-04-23,245.53,247.14,244.09,246.02,1390706
2025-04-24,251.34,252.71,249.95,250.64,4289066
2025-04-25,250.48,252.31,249.02,251.23,4933747
2025-04-28,255.27,256.38,254.8,255.51,1684607
