date,open,high,low,close,volume
2025-01-09,196.16,197.03,194.92,196.05,4191562
2025-01-10,193.96,194.81,192.97,194.34,4464578
2025-01-13,192.16,193.1,190.72,191.75,2522668
2025-01-14,191.96,192.48,191.09,192.26,1362234
2025-01-15,192.49,192.99,191.87,192.12,2497896
2025-01-16,189.93,190.73,189.55,189.92,990013
2025-01-17,189.36,190.49,188.38,189.69,2258423
2025-01-20,193.5,193.57,192.19,193.14,3832050
2025-01-21,196.22,197.54,195.92,196.37,1792897
2025-01-22,198.71,199.32,197.64,199.07,3497450
2025-01-23,199.35,200.11,198.85,199.63,3964815
2025-01-24,201.74,203.34,200.81,202.28,3214158
2025-01-27,199.82,200.2,198.47,199.32,3198471
2025-01-28,199.51,199.62,198.65,199.28,3096090
2025-01-29,198.14,198.85,197.81,198.33,3824865
2025-01-30,198.21,198.7,198.04,198.53,4336570
2025-01-31,205.38,206.63,204.28,205.42,1709171
2025-02-03,204.01,204.68,202.81,204.13,4366480
2025-02-04,206.62,207.69,205.42,206.36,3825883
2025-02-05,210.18,210.74,210.04,210.25,3158781
2025-02-06,208.23,208.32,207.35,207.87,3815541
2025-02-07,212.55,212.57,211.86,212.13,2764918
2025-02-10,212.55,212.74,211.71,212.09,4902184
2025-02-11,213.31,214.21,212.03,213.9,2610757
2025-02-12,214.27,215.04,212.7,213.75,1662426
2025-02-13,214.58,215.74,213.17,214.32,943010
2025-02-14,214.61,215.23,213.75,214.19,4849768
2025-02-17,217.46,218.66,217.43,218.05,4723567
2025-02-18,223.19,223.6,222.73,223.16,1951132
2025-02-19,222.71,223.59,221.55,222.05,3676195
2025-02-20,228.63,229.67,227.51,228.23,3466813
2025-02-21,228.31,229.59,227.44,228.34,3390413
2025-02-24,232.63,232.86,231.69,232.47,1272577
2025-02-25,229.59,230.84,228.75,229.02,3476517
2025-02-26,237.22,238.52,236.87,237.86,3078684
2025-02-27,234.81,235.52,234.07,234.67,2017655
2025-02-28,229.07,230.61,228.61,229.75,1329276
2025-03-03,229.78,230.29,229.63,230.21,838023
2025-03-04,236.54,237.37,235.78,237.01,3002347
2025-03-05,239.65,241.06,238.01,239.18,1628618
2025-03-06,239.07,240.15,238.54,239.53,4933456
2025-03-07,235.34,236.62,234.81,235.05,1793374
2025-03-10,243.48,243.51,242.58,243.03,4584341
2025-03-11,248.0,249.02,246.4,247.76,4603032
2025-03-12,247.33,248.54,247.3,247.56,4334597
2025-03-13,248.79,249.97,247.5,248.43,3357508
2025-03-14,247.59,248.22,247.26,247.92,4616030
2025-03-17,246.91,247.39,246.0,246.75,4836303
2025-03-18,243.88,243.98,243.13,243.78,2190434
2025-03-19,239.88,240.4,238.78,239.71,3884335
2025-03-20,238.27,238.95,236.76,237.67,2963782
2025-03-21,236.42,236.64,235.25,235.71,1543357
2025-03-24,240.55,241.9,239.16,240.04,3084907
2025-03-25,246.29,247.73,245.3,245.6,4658949
2025-03-26,246.94,247.99,245.64,247.1,3075681
2025-03-27,243.35,245.11,242.92,244.07,2343530
2025-03-28,243.88,244.18,242.51,244.16,4064101
2025-03-31,243.38,243.87,241.9,243.22,3467796
2025-04-01,239.05,239.56,237.65,238.77,2571607
2025-04-02,242.19,242.95,240.88,242.91,981446
2025-04-03,236.48,237.06,235.17,236.97,3334595
2025-04-04,233.06,234.32,232.84,233.07,878739
2025-04-07,235.27,235.9,234.78,235.69,3736496
2025-04-08,236.68,237.2,234.93,236.21,4469736
2025-04-09,232.94,234.02,232.16,232.44,3018875
2025-04-10,240.38,240.54,239.7,240.14,1896899
2025-04-11,241.1,241.64,240.49,240.66,4656138
2025-04-14,242.54,242.88,241.56,242.7,2009919
2025-04-15,242.77,243.54,242.0,242.7,2762748
2025-04-16,244.12,245.07,243.82,244.72,1269027
2025-04-17,249.86,251.64,248.71,250.41,4029073
2025-04-18,249.82,250.18,247.97,249.13,2217274
2025-04-21,258.48,259.25,256.75,257.71,3860045
2025-04-22,251.55,253.68,251.33,252.26,4553033
2025-04-23,243.58,244.33,242.97,243.7,1196803
2025-04-24,245.31,247.06,244.86,245.81,4797046
2025-04-25,246.2,247.84,246.08,246.77,1472675
2025-04-28,252.34,252.79,250.84,251.83,1330423
2025-04-29,260.82,261.49,259.26,260.24,4658609
2025-04-30,257.37,258.52,256.25,256.82,3465970
2025-05-01,254.02,255.19,253.46,254.18,2052131
2025-05-02,251.83,252.24,251.42,252.12,4045099
2025-05-05,255.94,256.17,255.05,255.95,2194802
2025-05-06,253.85,255.17,252.25,253.63,2900109
2025-05-07,255.57,256.31,254.76,255.46,2722759
2025-05-08,250.37,251.33,249.14,251.1,2782534
2025-05-09,254.6,254.6,253.03,254.27,1646075
2025-05-12,254.15,254.29,252.94,253.67,2070147
2025-05-13,253.88,254.91,252.63,253.62,4687959
2025-05-14,253.67,255.04,253.53,254.29,2220489
2025-05-15,257.86,258.75,256.65,258.59,2753023
2025-05-16,256.47,258.27,255.52,256.99,1789496
2025-05-19,254.94,255.54,254.88,254.91,3245558
2025-05-20,249.06,249.6,248.18,249.08,4253943
2025-05-21,252.08,252.56,250.9,252.03,1277952
2025-05-22,252.16,252.83,251.11,251.98,3913382
2025-05-23,257.1,257.4,256.04,256.76,1140170
2025-05-26,255.26,256.14,255.17,255.82,934636
2025-05-27,262.08,263.07,260.52,261.3,1046340
2025-05-28,268.56,270.45,268.08,269.19,3196281
2025-05-29,271.49,272.11,271.45,271.81,1738339
2025-05-30,270.2,271.72,270.17,270.81,1540124
2025-06-02,279.01,279.38,277.66,278.29,1022714
2025-06-03,272.54,273.92,271.76,271.77,1310979
2025-06-04,268.57,268.78,267.3,267.84,2389773
2025-06-05,274.28,276.14,273.83,274.6,2727404
2025-06-06,271.78,273.25,271.25,271.7,4498043
2025-06-09,269.93,271.47,269.0,270.18,4899954
2025-06-10,268.63,269.8,267.24,269.22,2451205
2025-06-11,276.85,278.17,276.48,277.67,1373433
2025-06-12,284.22,284.35,282.39,283.79,1606810
