date,open,high,low,close,volume
2025-01-09,215.17,216.36,214.7,215.81,8438580
2025-01-10,211.63,212.62,210.92,212.08,3442375
2025-01-13,215.58,216.14,214.37,215.4,6661381
2025-01-14,213.86,214.13,212.51,213.24,7534957
2025-01-15,220.15,221.45,218.45,219.49,7596747
2025-01-16,216.93,217.94,216.65,217.57,3711761
2025-01-17,216.64,217.72,216.2,216.81,3796258
2025-01-20,215.05,215.13,213.9,215.02,4924492
2025-01-21,211.99,212.65,211.93,212.09,6345663
2025-01-22,214.84,216.02,213.63,215.06,3248039
2025-01-23,214.22,214.32,213.37,213.86,7446784
2025-01-24,210.58,211.4,210.06,210.63,3076399
2025-01-27,208.91,209.07,208.53,208.99,6156359
2025-01-28,211.07,211.78,210.08,210.82,5555674
2025-01-29,209.17,210.27,209.08,209.28,6191468
2025-01-30,211.17,212.2,209.96,211.38,3751481
2025-01-31,208.33,209.1,207.09,207.97,5847055
2025-02-03,211.89,212.91,211.2,212.06,6049718
2025-02-04,215.8,216.87,215.43,215.8,7917125
2025-02-05,213.22,213.76,211.78,213.05,6463440
2025-02-06,210.9,211.81,209.59,210.69,5212034
2025-02-07,207.37,208.09,206.37,207.49,4999540
2025-02-10,206.43,207.47,205.97,207.05,5662485
2025-02-11,207.97,209.19,207.46,208.06,7646020
2025-02-12,204.12,204.4,202.69,203.89,6192104
2025-02-13,202.47,203.78,201.57,202.64,3205930
2025-02-14,199.5,200.03,198.31,199.92,7488380
2025-02-17,203.15,203.17,202.13,202.69,7590812
2025-02-18,202.61,203.99,201.77,202.94,5857170
2025-02-19,200.51,201.25,199.46,200.26,4746110
2025-02-20,203.72,205.16,202.98,203.94,3249905
2025-02-21,201.58,202.35,200.38,201.05,3255149
2025-02-24,194.0,194.11,193.08,193.56,4742249
2025-02-25,190.5,190.84,189.74,190.21,4762596
2025-02-26,190.08,191.11,189.35,189.77,4264773
2025-02-27,190.56,190.87,190.43,190.5,7137263
2025-02-28,190.06,190.8,189.71,189.74,5856154
2025-03-03,190.56,191.41,189.83,190.63,8570927
2025-03-04,184.84,186.27,184.33,185.32,4335974
2025-03-05,188.25,189.1,187.79,188.09,7625721
2025-03-06,185.33,186.0,184.58,185.19,5838074
2025-03-07,186.34,186.97,185.82,186.04,3187596
2025-03-10,189.53,190.07,189.14,189.67,5143023
2025-03-11,189.71,190.65,188.78,189.29,3100763
2025-03-12,190.04,190.51,189.37,189.99,4413917
2025-03-13,192.28,193.31,191.96,192.35,5147837
2025-03-14,193.37,194.49,192.68,193.4,3810804
2025-03-17,193.12,193.41,192.54,192.59,6395867
2025-03-18,189.89,191.14,189.64,190.32,3509409
2025-03-19,186.28,187.36,185.05,185.73,8660762
2025-03-20,184.7,184.86,183.81,184.24,8084122
2025-03-21,181.04,181.5,180.78,181.48,3333656
2025-03-24,184.03,184.66,182.74,183.6,8033207
2025-03-25,182.7,183.52,182.1,183.19,6994124
2025-03-26,182.59,183.43,182.01,182.94,4873182
2025-03-27,187.88,188.23,187.27,188.02,3215963
2025-03-28,187.79,189.13,187.36,188.19,4705831
2025-03-31,191.84,192.06,190.72,192.02,8160708
2025-04-01,191.74,192.02,190.75,191.87,8936191
2025-04-02,190.42,190.51,189.64,190.1,4455964
2025-04-03,191.45,192.33,190.18,191.23,5987669
2025-04-04,191.4,192.03,190.55,191.14,7422576
2025-04-07,191.03,192.2,190.59,191.18,5254184
2025-04-08,193.67,193.96,192.86,193.88,5680435
2025-04-09,197.25,198.13,196.35,196.85,5111500
2025-04-10,198.68,199.38,198.1,198.78,7376595
2025-04-11,199.77,200.88,198.78,200.2,3671220
2025-04-14,203.54,203.78,202.53,203.49,3979206
2025-04-15,201.62,202.81,201.62,202.01,6380767
2025-04-16,204.31,205.3,203.08,203.84,8265806
2025-04-17,208.09,209.08,207.21,208.12,8256755
2025-04-18,207.44,208.83,207.31,207.71,7064070
2025-04-21,208.97,209.67,207.73,209.6,4428374
2025-04-22,212.72,213.95,212.08,212.23,7622262
2025-04-23,211.52,212.69,211.26,211.54,8891410
2025-04-24,217.07,217.69,217.01,217.2,6106625
2025-04-25,218.5,220.21,217.69,219.03,7363219
2025-04-28,219.15,219.99,217.97,219.2,7840982
2025-04-29,222.0,222.57,221.38,221.97,5889414
2025-04-30,224.01,224.51,222.43,223.45,3663683
2025-05-01,220.02,221.12,219.38,219.91,8898230
2025-05-02,221.02,221.59,220.45,220.7,6866149
2025-05-05,226.56,226.66,225.68,226.38,8592767
2025-05-06,221.66,222.92,220.08,221.17,7546429
2025-05-07,221.69,222.52,220.72,221.87,7642640
2025-05-08,221.74,223.32,221.52,222.01,7240056
2025-05-09,216.97,217.83,216.9,217.35,6697256
2025-05-12,218.17,218.78,217.28,218.73,5025630
2025-05-13,217.16,217.57,215.59,216.64,8247051
2025-05-14,218.39,219.37,217.53,218.16,3911878
2025-05-15,218.49,219.66,217.06,218.16,7848981
2025-05-16,220.26,220.76,219.56,219.74,8919274
2025-05-19,220.11,220.66,219.12,220.12,5648384
2025-05-20,217.62,218.49,216.71,217.2,4465094
2025-05-21,220.86,221.77,219.97,220.27,8692761
2025-05-22,222.93,223.99,222.32,223.41,4877127
2025-05-23,227.5,228.81,226.4,227.88,6654452
2025-05-26,224.13,224.63,223.37,223.77,4025468
2025-05-27,222.5,223.57,222.29,222.52,5751570
2025-05-28,223.53,224.1,222.81,223.89,5707674
2025-05-29,229.05,229.09,228.01,228.62,6693498
2025-05-30,229.03,229.57,227.28,228.46,5990124
2025-06-02,230.81,232.0,229.33,230.64,8669673
2025-06-03,228.93,230.34,228.8,229.5,4496046
2025-06-04,226.76,228.17,226.37,227.08,7229503
2025-06-05,226.76,227.1,225.69,226.48,6555626
2025-06-06,221.51,221.79,220.03,220.98,4242256
2025-06-09,219.48,220.65,218.87,219.2,6921284
2025-06-10,218.03,218.22,216.94,217.59,8840722
2025-06-11,216.46,217.11,216.12,216.98,5974571
2025-06-12,215.55,216.82,215.27,215.71,6187440
2025-06-13,217.64,218.06,216.88,217.32,6312928
2025-06-16,218.62,220.04,218.55,219.08,7019952
2025-06-17,220.33,221.02,219.49,219.82,5319114
2025-06-18,218.35,219.28,218.07,218.5,6596966
2025-06-19,218.49,219.93,217.31,218.65,5242444
2025-06-20,218.36,218.84,218.08,218.57,3253914
2025-06-23,219.89,220.95,219.56,219.74,6492867
2025-06-24,218.84,220.25,218.07,219.25,6743153
2025-06-25,220.08,221.48,219.4,220.33,4166685
2025-06-26,221.89,222.68,220.49,221.73,3968604
2025-06-27,220.86,220.92,220.11,220.33,3842674
