date,open,high,low,close,volume
2025-01-09,155.21,156.35,154.3,155.65,1104930
2025-01-10,154.73,155.62,154.27,154.58,1006418
2025-01-13,154.75,154.82,154.45,154.49,3872063
2025-01-14,156.89,157.88,156.67,157.25,3786762
2025-01-15,160.53,160.9,159.3,160.25,4785063
2025-01-16,162.32,162.43,161.68,162.06,3166567
2025-01-17,161.75,162.64,161.7,161.94,3008023
2025-01-20,160.83,161.5,160.35,161.25,2661375
2025-01-21,162.75,163.65,161.63,162.39,4906030
2025-01-22,162.43,163.46,162.42,162.59,2728279
2025-01-23,162.42,162.64,161.76,162.22,4718527
2025-01-24,161.21,162.52,160.98,161.69,2537850
2025-01-27,159.8,160.13,159.33,160.04,855938
2025-01-28,162.95,164.18,162.56,163.42,3294354
2025-01-29,161.28,161.86,160.89,161.65,3695427
2025-01-30,164.7,165.43,163.75,164.32,1363058
2025-01-31,164.95,165.83,164.23,164.5,4916694
2025-02-03,163.78,164.74,163.47,163.53,4747284
2025-02-04,164.06,164.29,163.51,164.17,853427
2025-02-05,164.19,164.94,163.85,164.63,3815162
2025-02-06,164.94,165.47,163.96,164.95,2134716
2025-02-07,166.35,166.75,165.66,166.58,3808926
2025-02-10,168.63,169.16,168.06,168.6,1095068
2025-02-11,169.89,170.89,168.95,169.49,1883647
2025-02-12,167.56,168.75,167.51,167.98,3919335
2025-02-13,166.23,167.23,165.49,166.24,4495585
2025-02-14,167.45,167.64,166.88,167.11,4472986
2025-02-17,166.47,167.54,166.27,166.84,1341808
2025-02-18,166.13,167.07,165.13,166.08,2171673
2025-02-19,167.56,168.62,167.25,167.72,1004645
2025-02-20,167.32,168.42,167.11,167.46,2338639
2025-02-21,167.77,168.56,167.2,167.62,3415077
2025-02-24,170.84,171.27,169.7,170.44,3870553
2025-02-25,167.84,168.75,166.96,168.17,4236784
2025-02-26,169.39,170.22,169.09,169.81,1929673
2025-02-27,168.54,169.67,167.7,168.99,2853570
2025-02-28,170.83,171.44,170.17,170.87,3473394
2025-03-03,170.04,170.34,169.6,169.78,1274650
2025-03-04,171.91,172.05,170.94,171.43,4986541
2025-03-05,169.75,170.12,169.03,169.98,3084046
2025-03-06,171.65,171.87,171.58,171.58,2457857
2025-03-07,169.05,169.85,168.15,169.19,2209908
2025-03-10,170.49,170.65,169.12,170.06,2730163
2025-03-11,170.66,171.03,169.72,170.55,2852940
2025-03-12,169.74,170.46,168.88,169.72,1795227
2025-03-13,170.18,170.77,169.33,170.45,1863462
2025-03-14,169.74,170.33,169.57,170.21,922299
2025-03-17,169.69,170.18,168.41,169.31,2785009
2025-03-18,167.78,168.0,167.41,167.65,1378747
2025-03-19,167.55,168.39,166.68,167.89,1394266
2025-03-20,168.09,168.27,167.5,168.0,857059
2025-03-21,166.32,167.07,165.93,166.32,2799379
2025-03-24,168.8,169.63,168.24,168.36,1208991
2025-03-25,168.91,168.97,167.97,168.74,2351116
2025-03-26,167.66,168.44,166.38,167.26,3640589
2025-03-27,165.38,166.32,164.5,165.38,973514
2025-03-28,161.72,161.98,161.12,161.97,1989755
2025-03-31,161.13,161.65,160.65,160.9,4908515
2025-04-01,160.15,160.54,159.42,160.03,1984619
2025-04-02,156.92,157.75,156.3,157.16,3756067
2025-04-03,156.38,157.19,155.65,156.72,2443621
2025-04-04,156.62,157.4,155.88,156.5,4838490
2025-04-07,156.07,156.39,155.55,156.28,1887550
2025-04-08,159.32,159.94,158.32,158.9,1883722
2025-04-09,159.68,160.7,158.91,159.94,1444097
2025-04-10,159.63,160.31,159.15,160.1,1168301
2025-04-11,160.65,161.06,159.78,161.01,3361421
2025-04-14,159.47,159.77,158.76,159.22,2309391
2025-04-15,160.55,160.64,160.15,160.32,3736153
2025-04-16,158.59,159.15,157.79,159.05,4503528
2025-04-17,156.91,157.07,156.02,156.68,3591381
2025-04-18,157.24,158.45,156.34,157.6,1033168
2025-04-21,158.48,158.72,158.27,158.38,2435839
2025-04-22,161.34,162.07,161.04,161.06,1694360
2025-04-23,160.54,161.14,160.32,160.55,3109454
2025-04-24,162.5,162.99,161.62,162.05,1617934
2025-04-25,158.63,159.47,158.2,158.22,2264572
2025-04-28,158.08,159.24,157.2,158.54,3453760
2025-04-29,159.38,159.89,159.22,159.76,2224891
2025-04-30,158.66,159.74,158.38,158.82,3367519
2025-05-01,159.1,160.02,158.2,159.58,2884443
2025-05-02,162.85,163.83,161.84,162.56,4601232
2025-05-05,162.2,162.52,162.11,162.21,1246912
2025-05-06,162.76,162.95,162.02,162.59,1458102
2025-05-07,164.18,165.16,163.72,163.93,3776787
2025-05-08,165.93,166.87,165.67,166.34,3597354
