date,open,high,low,close,volume
2025-01-09,262.26,263.48,261.05,262.54,4435716
2025-01-10,261.53,262.93,260.24,261.69,1861470
2025-01-13,264.9,265.31,264.14,264.81,1346164
2025-01-14,265.44,267.05,264.17,265.75,1647981
2025-01-15,269.82,271.06,268.27,270.43,1128095
2025-01-16,265.55,266.51,264.82,265.8,958529
2025-01-17,266.32,266.96,265.67,266.81,3628358
2025-01-20,265.59,267.26,264.11,265.88,3742527
2025-01-21,262.82,264.07,261.51,263.36,4979001
2025-01-22,261.6,262.43,260.11,261.95,3867582
2025-01-23,265.77,266.44,264.71,266.36,3077541
2025-01-24,270.32,272.36,269.78,270.93,1811340
2025-01-27,277.44,277.63,277.22,277.45,1375480
2025-01-28,274.08,274.95,273.49,273.78,2208555
2025-01-29,276.78,277.9,275.05,276.23,3193245
2025-01-30,274.48,276.03,273.51,274.36,2131301
2025-01-31,274.5,274.9,272.86,274.84,3316788
2025-02-03,281.4,283.38,281.03,281.78,3005050
2025-02-04,283.57,283.92,283.19,283.88,922403
2025-02-05,284.88,285.41,284.25,284.72,1546005
2025-02-06,285.82,287.59,284.77,286.0,3838889
2025-02-07,288.42,289.83,287.4,288.52,4427764
2025-02-10,293.62,294.82,292.54,294.41,1090033
2025-02-11,294.65,294.91,293.53,293.82,3216491
2025-02-12,301.13,302.76,300.9,301.74,2786305
2025-02-13,300.96,301.79,300.75,301.25,3439540
2025-02-14,294.26,295.57,292.98,294.49,4789382
2025-02-17,293.55,293.86,291.54,293.0,1217799
2025-02-18,290.41,291.55,288.86,290.79,2166562
2025-02-19,289.19,289.49,287.79,288.38,4864524
2025-02-20,280.37,281.87,278.82,281.21,3897792
2025-02-21,288.8,290.42,287.44,288.68,1313433
2025-02-24,286.13,287.06,285.58,285.95,3087230
2025-02-25,284.82,285.13,284.13,284.35,4317996
2025-02-26,280.44,280.93,279.61,280.61,2712703
2025-02-27,281.92,283.52,281.45,281.45,3711661
2025-02-28,281.33,282.04,279.86,280.97,4061800
2025-03-03,281.91,283.07,280.44,282.55,2641472
2025-03-04,280.93,282.28,279.34,280.41,1877236
2025-03-05,278.59,278.7,277.03,278.55,3193235
2025-03-06,274.95,276.07,274.43,274.51,3527463
2025-03-07,268.82,269.36,267.33,268.76,1595312
2025-03-10,274.81,275.37,273.77,274.4,4285969
2025-03-11,274.6,275.51,273.87,275.09,3158660
2025-03-12,278.09,278.57,276.2,277.27,3263237
2025-03-13,277.86,278.85,276.68,277.41,4448242
2025-03-14,277.46,278.77,276.13,276.95,3770671
2025-03-17,272.0,272.54,271.48,272.4,3246715
2025-03-18,271.21,272.42,270.13,271.33,2667940
2025-03-19,274.0,275.16,273.09,273.6,3995555
2025-03-20,276.28,278.26,274.75,276.78,3418649
2025-03-21,285.16,285.53,283.93,285.07,2473175
2025-03-24,284.34,285.87,282.75,285.11,4483729
2025-03-25,282.19,282.51,280.72,281.69,4364902
2025-03-26,287.72,287.88,287.7,287.81,2749181
2025-03-27,289.12,289.41,287.21,288.32,4494133
2025-03-28,285.55,286.08,284.46,284.85,1380539
2025-03-31,287.21,288.84,285.78,286.67,4392276
2025-04-01,291.47,293.3,290.44,292.25,4633676
2025-04-02,291.88,293.29,289.98,291.59,2603864
2025-04-03,292.21,293.1,291.17,292.18,4450779
2025-04-04,291.81,292.97,289.84,291.49,3592287
2025-04-07,291.15,293.16,290.64,291.96,4883995
2025-04-08,293.9,295.9,293.06,294.34,2843918
2025-04-09,295.94,297.26,293.51,295.27,2996400
2025-04-10,303.01,303.35,301.13,302.83,2581371
2025-04-11,302.0,302.51,300.24,302.3,3209689
2025-04-14,303.75,304.23,303.51,303.74,4174419
2025-04-15,303.7,304.91,303.69,303.96,1940484
2025-04-16,308.25,308.48,307.73,308.27,3311079
2025-04-17,308.64,309.34,307.57,308.38,1783347
2025-04-18,304.17,305.53,303.83,304.89,4085774
2025-04-21,303.96,305.27,301.82,303.11,2438482
2025-04-22,297.81,299.65,297.43,298.5,1828278
2025-04-23,294.29,296.56,292.76,295.09,1611599
2025-04-24,296.18,298.02,294.93,297.04,4641138
2025-04-25,294.76,296.17,294.71,294.96,2292173
2025-04-28,297.97,298.18,295.66,297.19,1855012
2025-04-29,291.62,291.78,290.56,291.74,2133124
2025-04-30,293.53,294.72,292.26,293.96,879443
2025-05-01,294.67,296.05,294.02,294.5,4534249
2025-05-02,296.12,296.75,295.54,295.64,4861356
2025-05-05,294.98,296.05,294.6,295.81,922653
2025-05-06,301.66,302.73,300.32,301.84,3634469
2025-05-07,304.88,305.98,303.76,304.64,961618
2025-05-08,304.73,306.11,303.11,304.71,2974987
2025-05-09,305.34,305.55,304.23,304.86,1946721
2025-05-12,298.33,299.24,297.97,298.15,4462273
2025-05-13,304.07,305.01,302.91,304.53,2282976
2025-05-14,303.19,303.8,301.9,303.08,1971954
2025-05-15,305.28,306.43,304.25,304.94,1794348
2025-05-16,300.26,301.66,299.81,300.65,3805776
2025-05-19,303.18,304.64,301.18,302.31,1046070
2025-05-20,300.49,300.94,299.39,300.35,2904409
2025-05-21,299.49,301.04,298.29,300.27,3423972
2025-05-22,303.91,304.96,303.15,304.54,4608349
2025-05-23,306.99,308.34,306.57,307.73,2770871
2025-05-26,303.33,304.49,301.88,303.32,1976499
2025-05-27,303.68,305.67,301.86,304.12,3591446
2025-05-28,305.51,306.37,303.78,306.18,4394304
2025-05-29,301.62,303.19,300.91,302.16,2678669
2025-05-30,300.29,301.26,299.02,300.26,3550031
2025-06-02,303.34,305.89,302.09,304.09,4988944
2025-06-03,306.55,307.87,306.0,306.3,1678643
2025-06-04,314.64,314.94,313.47,314.21,3308896
2025-06-05,308.94,310.12,307.75,308.23,3328961
2025-06-06,307.01,307.75,305.66,307.26,3558404
2025-06-09,303.93,305.32,303.33,303.81,2132557
2025-06-10,301.98,303.66,301.24,301.45,2687356
2025-06-11,296.16,297.75,294.01,295.41,3272589
2025-06-12,293.66,293.69,291.68,293.2,1862653
2025-06-13,294.0,295.24,292.33,293.23,3422593
2025-06-16,292.21,292.91,290.62,291.69,3579400
2025-06-17,294.05,295.17,292.32,294.24,3053286
2025-06-18,291.79,292.5,289.99,291.35,893461
2025-06-19,288.83,289.2,288.04,288.08,4395936
2025-06-20,289.08,289.28,287.3,288.32,1357981
