date,open,high,low,close,volume
2025-01-09,69.07,69.66,69.01,69.27,3100736
2025-01-10,69.36,69.47,69.14,69.43,3954189
2025-01-13,69.52,69.55,69.15,69.34,2847923
2025-01-14,69.25,69.66,68.99,69.34,1976894
2025-01-15,69.02,69.32,68.69,69.14,1165831
2025-01-16,69.33,69.87,69.21,69.52,1009578
2025-01-17,69.55,69.93,69.48,69.72,4168442
2025-01-20,69.71,70.06,69.47,69.83,1102779
2025-01-21,70.27,70.6,69.84,70.17,2110068
2025-01-22,69.09,69.45,68.93,69.16,4950618
2025-01-23,68.41,68.69,68.12,68.51,3888681
2025-01-24,69.64,69.86,69.55,69.65,4227011
2025-01-27,68.86,68.88,68.77,68.87,1775559
2025-01-28,67.79,68.0,67.55,67.92,1979650
2025-01-29,67.49,67.99,67.4,67.59,2949132
2025-01-30,67.15,67.51,66.87,67.22,4467529
2025-01-31,66.71,67.24,66.63,66.84,4036610
2025-02-03,67.41,67.48,67.1,67.34,1245524
2025-02-04,68.03,68.2,67.69,67.87,2067431
2025-02-05,67.54,67.84,67.11,67.43,1057475
2025-02-06,66.93,67.38,66.56,67.09,3910443
2025-02-07,66.66,66.76,66.48,66.65,2662527
2025-02-10,66.12,66.51,65.79,65.94,4988389
2025-02-11,65.75,66.03,65.59,65.78,2631075
2025-02-12,65.18,65.47,65.02,65.37,3157309
2025-02-13,64.7,65.04,64.56,64.79,3966972
2025-02-14,65.34,65.49,65.32,65.45,4886336
2025-02-17,65.35,65.6,64.93,65.28,3219121
2025-02-18,64.41,64.77,64.2,64.43,4219227
2025-02-19,64.18,64.37,63.98,64.22,943005
2025-02-20,64.3,64.7,64.09,64.34,1703745
2025-02-21,65.18,65.45,65.03,65.22,4871617
2025-02-24,66.49,66.77,66.25,66.42,3655836
2025-02-25,65.7,65.97,65.4,65.72,1581046
2025-02-26,66.29,66.39,65.72,66.1,2421470
2025-02-27,67.38,67.62,67.09,67.19,1321497
2025-02-28,65.74,66.26,65.69,65.9,1400004
2025-03-03,64.64,65.09,64.51,64.82,2059563
2025-03-04,64.91,64.92,64.69,64.85,4283355
2025-03-05,65.55,65.72,65.42,65.72,3096985
2025-03-06,65.73,66.18,65.62,65.82,4012682
2025-03-07,65.78,66.03,65.61,65.78,2645685
2025-03-10,65.14,65.34,64.81,65.27,1913067
2025-03-11,65.38,65.48,65.05,65.48,4834403
2025-03-12,64.63,64.75,64.62,64.67,4365773
2025-03-13,64.63,64.92,64.21,64.46,4789365
2025-03-14,64.7,64.87,64.54,64.64,3741204
2025-03-17,65.28,65.32,64.8,65.18,1183214
2025-03-18,65.62,65.82,65.62,65.72,1822558
2025-03-19,65.04,65.43,65.01,65.12,2655565
2025-03-20,65.92,66.03,65.74,65.8,1856475
2025-03-21,65.36,65.84,65.12,65.48,4322797
2025-03-24,65.14,65.32,64.83,65.2,2141482
2025-03-25,64.8,65.31,64.47,64.95,4999148
2025-03-26,64.96,65.05,64.92,64.98,4874282
2025-03-27,65.16,65.38,65.01,65.16,3722258
2025-03-28,66.05,66.15,65.74,65.92,1871715
2025-03-31,65.98,66.38,65.63,66.08,1404498
2025-04-01,65.25,65.78,65.24,65.42,1783892
2025-04-02,65.19,65.26,65.05,65.09,1885273
2025-04-03,65.44,65.48,65.06,65.26,2137505
2025-04-04,65.1,65.47,64.92,65.26,4522774
2025-04-07,64.27,64.4,64.16,64.17,1436862
2025-04-08,63.89,64.09,63.85,63.99,3497823
2025-04-09,64.73,65.07,64.55,64.6,4103089
2025-04-10,63.98,64.31,63.82,64.01,2087409
2025-04-11,64.9,65.18,64.7,65.06,2509788
2025-04-14,64.33,64.58,64.05,64.44,935495
2025-04-15,64.14,64.31,63.81,64.28,1706280
2025-04-16,63.59,63.95,63.58,63.71,4087040
2025-04-17,63.71,64.07,63.27,63.57,2143146
2025-04-18,63.16,63.53,63.13,63.3,986252
2025-04-21,63.29,63.49,63.12,63.41,1442744
2025-04-22,62.37,62.72,62.04,62.54,1886702
2025-04-23,62.36,62.61,62.01,62.44,1299891
2025-04-24,63.28,63.79,63.22,63.42,3384061
2025-04-25,63.69,63.7,63.4,63.65,2521273
2025-04-28,63.73,64.09,63.65,63.86,1035787
2025-04-29,63.2,63.29,62.84,63.03,4230406
2025-04-30,62.55,62.89,62.31,62.67,2620217
2025-05-01,63.26,63.69,63.02,63.45,3243779
2025-05-02,63.97,64.13,63.87,63.96,2828155
2025-05-05,65.03,65.2,65.02,65.03,1481433
2025-05-06,65.01,65.1,64.69,64.94,4959805
2025-05-07,65.65,66.01,65.43,65.63,3621908
2025-05-08,66.01,66.11,66.01,66.06,4424270
2025-05-09,66.13,66.4,65.88,66.22,1147642
2025-05-12,65.85,65.94,65.3,65.65,4829015
2025-05-13,65.85,65.96,65.58,65.81,4674397
2025-05-14,65.23,65.63,65.09,65.39,1549694
2025-05-15,66.85,66.99,66.63,66.93,2830128
2025-05-16,67.6,67.74,67.55,67.59,3947415
2025-05-19,68.19,68.24,67.98,68.02,2316639
2025-05-20,68.13,68.27,67.94,68.21,4714181
2025-05-21,68.14,68.35,67.9,68.32,4374798
2025-05-22,67.95,68.11,67.6,67.98,2268561
2025-05-23,68.52,68.73,68.16,68.38,1968726
2025-05-26,68.66,68.78,68.26,68.58,4215187
2025-05-27,68.72,69.12,68.34,68.63,1735660
2025-05-28,68.8,69.05,68.77,68.79,4661924
2025-05-29,69.98,70.2,69.47,69.85,4269042
2025-05-30,69.85,70.27,69.57,69.92,4353605
2025-06-02,69.69,69.81,69.64,69.69,2912394
