date,open,high,low,close,volume
2025-01-09,629.45,631.05,626.88,628.91,1216729
2025-01-10,633.79,635.79,632.71,635.38,3605580
2025-01-13,624.1,628.58,621.76,625.72,4171180
2025-01-14,621.62,625.09,618.84,623.37,1690177
2025-01-15,646.51,649.06,643.92,645.56,868467
2025-01-16,654.34,656.88,652.04,654.99,1379794
2025-01-17,643.34,646.62,640.51,642.56,1402357
2025-01-20,658.68,664.0,656.72,660.17,4292834
2025-01-21,703.78,707.98,699.7,703.39,4094804
2025-01-22,701.25,701.44,698.8,700.99,4697119
2025-01-23,696.08,699.4,692.84,695.26,4012009
2025-01-24,703.05,707.25,700.62,704.73,2900245
2025-01-27,714.63,717.43,713.22,716.48,985122
2025-01-28,710.13,715.5,709.39,711.94,2711847
2025-01-29,731.87,735.76,730.32,730.4,3510292
2025-01-30,734.53,736.3,731.66,735.34,4910654
2025-01-31,728.52,730.14,728.28,728.54,1033217
2025-02-03,733.16,734.13,730.41,732.31,4478219
2025-02-04,741.91,743.15,737.76,742.33,3120016
2025-02-05,737.07,739.91,733.37,735.45,2675207
2025-02-06,746.1,747.59,744.37,745.81,2285950
2025-02-07,727.15,730.11,724.25,728.79,3541584
2025-02-10,728.91,733.79,728.75,729.52,2480427
2025-02-11,723.27,728.48,719.22,724.76,4847643
2025-02-12,702.51,703.94,702.15,703.85,3246009
2025-02-13,688.08,693.33,685.33,689.87,3548986
2025-02-14,701.27,701.77,698.92,701.12,4328879
2025-02-17,700.59,702.24,697.56,701.23,4474982
2025-02-18,718.38,719.19,716.35,717.63,3119311
2025-02-19,715.92,720.68,712.4,717.48,2026944
2025-02-20,716.53,718.96,713.69,714.79,4228187
2025-02-21,693.47,696.91,689.61,694.43,4645487
2025-02-24,710.21,712.91,710.16,710.93,3342748
2025-02-25,710.93,714.02,707.55,709.13,4167721
2025-02-26,688.3,690.3,684.19,686.91,1001259
2025-02-27,688.01,690.49,684.84,688.05,1177876
2025-02-28,691.78,692.87,690.65,691.0,3811058
2025-03-03,705.62,710.16,705.11,706.21,1223531
2025-03-04,710.05,711.56,706.74,711.45,2710606
2025-03-05,697.03,698.04,693.06,697.56,4554195
2025-03-06,710.07,711.0,706.45,708.36,4733545
2025-03-07,713.44,715.9,709.58,712.49,4309421
2025-03-10,721.41,724.05,718.0,721.1,1112575
2025-03-11,742.62,746.59,736.74,740.87,1118001
2025-03-12,729.3,730.95,728.79,730.55,1737413
2025-03-13,733.76,735.72,732.26,735.06,1714831
2025-03-14,749.86,752.99,744.31,747.95,3635167
2025-03-17,735.48,738.12,732.31,737.12,4200627
2025-03-18,737.32,739.08,733.85,737.27,2968535
2025-03-19,728.48,732.39,725.93,730.12,3600463
2025-03-20,741.02,744.14,739.68,740.05,4185404
2025-03-21,747.25,747.84,746.24,746.99,4795677
2025-03-24,731.58,734.42,726.55,730.16,4625990
2025-03-25,727.0,729.84,725.24,729.0,1977149
2025-03-26,728.48,731.63,728.09,728.37,4415292
2025-03-27,728.02,729.69,727.72,728.31,4337118
2025-03-28,743.91,745.07,741.54,744.4,2803759
2025-03-31,762.35,764.79,758.37,760.5,3782186
2025-04-01,760.47,766.33,760.05,762.63,4590604
2025-04-02,744.52,748.29,741.76,743.61,3062008
2025-04-03,734.33,735.36,732.72,733.97,2291991
2025-04-04,738.77,741.42,733.36,737.18,4812547
2025-04-07,733.34,738.12,732.41,733.81,1327545
2025-04-08,721.05,725.52,719.02,722.73,936156
2025-04-09,720.95,722.58,717.63,720.64,4367548
2025-04-10,722.06,725.07,718.61,723.82,1204815
2025-04-11,735.53,739.03,730.58,734.39,4065559
2025-04-14,754.38,758.49,753.03,756.63,3999818
2025-04-15,739.77,742.29,739.24,740.42,3026055
2025-04-16,716.62,717.67,716.54,717.15,1717105
2025-04-17,751.86,753.45,747.66,751.63,2384030
2025-04-18,758.19,760.42,753.17,756.0,2191190
2025-04-21,748.83,754.73,747.65,750.27,1323402
2025-04-22,747.42,750.35,746.68,748.78,1558806
2025-04-23,739.45,745.3,736.07,741.02,2751601
2025-04-24,761.83,764.73,759.9,759.95,3919314
2025-04-25,745.89,748.12,745.11,748.11,4088528
2025-04-28,748.37,749.58,748.25,749.56,4394414
2025-04-29,741.33,742.66,740.1,741.17,3091326
2025-04-30,791.17,793.37,789.65,790.44,2266655
2025-05-01,780.59,782.3,778.23,779.94,2982203
2025-05-02,759.91,760.1,756.35,759.91,1730316
2025-05-05,783.0,783.17,780.78,781.76,2921261
2025-05-06,803.25,806.09,798.88,803.89,1120207
2025-05-07,811.12,812.12,808.54,808.96,2398092
2025-05-08,811.46,813.83,809.13,809.72,3846572
2025-05-09,833.1,839.15,829.0,835.4,3962169
2025-05-12,854.91,855.35,851.27,852.58,823975
2025-05-13,850.75,853.55,850.72,852.99,4571631
2025-05-14,846.08,851.24,845.18,846.97,2068584
2025-05-15,849.41,854.7,845.32,850.56,4819639
2025-05-16,837.1,840.35,831.92,834.86,2056863
2025-05-19,848.59,851.52,842.52,846.21,2724753
2025-05-20,865.01,869.83,863.14,863.5,1602313
2025-05-21,845.88,848.16,843.4,844.08,4154818
2025-05-22,813.31,819.23,809.24,814.39,3833728
2025-05-23,822.93,824.29,820.03,820.55,2349837
2025-05-26,837.83,842.14,833.53,839.95,2346345
2025-05-27,809.43,810.95,804.89,809.12,3419512
2025-05-28,823.5,827.62,820.16,822.98,3334010
2025-05-29,836.42,837.96,832.88,836.12,2835082
2025-05-30,841.4,847.69,838.79,843.7,2613747
2025-06-02,861.02,863.67,856.36,860.46,4077595
2025-06-03,838.69,840.74,834.42,837.18,4444979
2025-06-04,825.59,828.32,823.0,826.36,3914259
2025-06-05,783.26,783.86,781.72,782.42,2658898
2025-06-06,778.84,783.31,775.98,781.09,914084
2025-06-09,773.06,775.0,771.98,774.76,3377242
2025-06-10,780.12,781.12,776.9,778.24,3930405
2025-06-11,827.88,831.71,822.13,826.17,1301916
2025-06-12,779.13,783.66,777.41,780.03,3177038
2025-06-13,773.72,777.15,772.85,773.99,1393816
2025-06-16,761.25,762.44,757.9,760.87,4069810
2025-06-17,770.72,773.06,768.72,772.25,4885900
2025-06-18,780.0,783.97,776.26,779.07,1157177
2025-06-19,785.91,790.25,785.75,787.84,2685328
2025-06-20,785.21,790.04,783.88,787.16,4581247
2025-06-23,814.48,821.26,810.91,816.58,3177488
2025-06-24,834.05,838.86,830.35,831.61,2974753
2025-06-25,828.76,831.68,823.96,827.85,2286480
2025-06-26,834.6,840.57,833.27,835.95,3824151
2025-06-27,805.66,810.27,801.19,804.19,4300521
2025-06-30,793.8,797.32,793.57,794.48,1436180
2025-07-01,780.76,782.36,776.19,780.14,964268
2025-07-02,784.39,787.31,782.34,782.81,3768628
2025-07-03,744.15,749.85,740.29,746.02,4460991
2025-07-04,770.55,772.31,769.02,770.34,2006519
2025-07-07,784.25,787.08,780.09,785.37,2276330
2025-07-08,765.63,770.14,765.35,767.9,2017297
2025-07-09,749.46,750.89,744.1,747.89,3375989
2025-07-10,761.46,761.71,759.23,760.06,3402721
2025-07-11,738.29,740.4,734.6,738.74,4779432
2025-07-14,756.05,760.7,752.09,757.45,2488732
2025-07-15,738.96,740.45,734.78,738.88,3785917
2025-07-16,728.82,733.17,727.77,728.81,2428221
2025-07-17,720.25,724.32,716.58,722.19,1994541
2025-07-18,720.38,721.04,715.29,719.35,1511863
2025-07-21,707.77,711.84,706.29,708.71,925681
2025-07-22,719.72,722.57,716.59,718.99,4152519
2025-07-23,733.14,733.96,730.88,733.31,3030334
2025-07-24,741.01,745.49,737.73,742.15,2687397
2025-07-25,748.56,753.4,746.33,749.05,3996899
2025-07-28,772.99,773.87,771.89,772.85,1287289
2025-07-29,767.5,770.35,763.07,769.1,4589176
2025-07-30,777.16,782.05,777.13,778.8,2992176
2025-07-31,795.79,797.19,793.27,795.38,4741027
2025-08-01,796.16,800.02,791.13,795.02,1795213
2025-08-04,808.15,812.07,804.21,810.41,1014329
2025-08-05,821.38,825.46,817.03,823.84,3802058
2025-08-06,804.88,806.53,802.71,804.88,3797043
2025-08-07,788.63,792.9,786.5,789.57,3836915
2025-08-08,793.19,796.59,791.71,794.48,1095281
2025-08-11,799.53,804.32,798.14,798.83,3583732
2025-08-12,789.53,792.47,785.69,789.88,4571117
2025-08-13,791.87,794.49,786.43,789.78,4588981
2025-08-14,785.19,787.2,781.71,787.0,1764454
2025-08-15,788.26,790.34,785.37,788.76,3708971
2025-08-18,778.01,782.6,775.64,776.15,4180492
2025-08-19,768.04,772.01,763.58,768.07,4727638
2025-08-20,775.53,778.03,771.53,777.48,3220959
2025-08-21,759.71,763.28,757.86,761.92,4434296
2025-08-22,758.16,760.15,756.4,756.81,1911187
2025-08-25,736.95,738.29,735.89,735.97,1570277
2025-08-26,730.15,730.58,726.61,728.84,3877553
2025-08-27,718.71,721.13,715.71,720.16,2939499
2025-08-28,735.76,739.51,735.42,736.49,1259639
2025-08-29,756.09,759.43,755.86,756.43,810401
2025-09-01,727.69,731.28,726.63,729.19,1243106
2025-09-02,726.03,727.01,720.76,724.39,1702067
2025-09-03,712.85,718.52,712.8,714.65,1758540
2025-09-04,703.75,707.85,700.0,704.32,2170268
2025-09-05,702.65,704.83,702.19,704.49,4419228
2025-09-08,716.22,716.97,714.26,714.95,3461514
2025-09-09,734.99,738.23,731.58,736.19,1193823
2025-09-10,734.05,737.35,729.78,732.56,4158037
2025-09-11,680.75,682.65,677.34,682.07,2392246
2025-09-12,705.42,708.14,703.82,705.27,1599821
2025-09-15,700.97,706.54,697.49,702.62,1889300
2025-09-16,743.08,743.14,738.58,741.56,3485411
2025-09-17,761.69,762.17,756.28,760.58,4923048
