date,open,high,low,close,volume
2025-01-09,479.28,481.0,476.57,478.51,1053434
2025-01-10,481.82,482.05,478.66,480.94,3946850
2025-01-13,487.01,487.64,485.73,485.98,1095127
2025-01-14,479.68,482.92,478.68,481.01,4244412
2025-01-15,482.54,486.1,481.87,483.62,2774018
2025-01-16,485.99,489.16,484.49,486.86,3855776
2025-01-17,480.37,482.88,478.78,479.99,3334174
2025-01-20,484.35,486.14,481.1,483.15,3887349
2025-01-21,492.06,495.36,490.74,493.01,4950577
2025-01-22,481.99,485.79,479.91,483.01,1435417
2025-01-23,487.51,490.16,483.28,486.11,2274812
2025-01-24,486.67,488.57,483.96,487.99,1974329
2025-01-27,484.27,485.53,482.55,483.02,4876541
2025-01-28,489.89,493.22,489.8,490.9,3841280
2025-01-29,497.05,499.64,495.29,498.49,4042109
2025-01-30,500.54,503.1,496.98,499.38,2989295
2025-01-31,487.98,489.38,486.22,488.42,4539670
2025-02-03,485.59,488.15,483.38,485.07,1128827
2025-02-04,478.3,478.47,476.08,478.13,2243477
2025-02-05,468.05,469.99,465.43,469.1,1964695
2025-02-06,465.6,468.21,464.81,465.98,4729191
2025-02-07,460.5,463.16,460.11,461.02,3933689
2025-02-10,458.75,460.97,456.31,460.0,2809034
2025-02-11,469.83,470.32,467.08,469.33,4213100
2025-02-12,476.35,479.92,473.71,477.7,4887210
2025-02-13,464.08,466.43,462.66,463.83,4924808
2025-02-14,455.07,457.73,452.98,455.57,4848366
2025-02-17,458.02,459.43,457.41,458.15,1901858
2025-02-18,452.27,452.77,451.55,452.06,4989894
2025-02-19,457.03,458.54,456.38,456.54,4905470
2025-02-20,456.45,460.3,454.82,457.82,2492769
2025-02-21,459.1,461.44,456.74,459.54,1068684
2025-02-24,449.12,450.55,446.44,449.45,4542032
2025-02-25,454.21,456.93,453.0,454.14,3667085
2025-02-26,448.66,450.11,446.5,448.22,3816147
2025-02-27,457.82,460.15,454.81,457.32,4573113
2025-02-28,453.54,454.92,450.88,454.64,2105086
2025-03-03,462.02,463.51,461.86,462.37,1470389
2025-03-04,473.13,474.51,470.96,472.29,3770336
2025-03-05,472.61,473.52,471.26,472.36,4699649
