date,open,high,low,close,volume
2025-01-09,139.69,140.02,139.12,139.47,4335474
2025-01-10,136.76,137.35,136.39,136.46,4342157
2025-01-13,133.13,133.19,132.5,133.02,2238568
2025-01-14,131.35,131.95,131.06,131.56,4597040
2025-01-15,135.28,136.03,134.99,135.09,1348473
2025-01-16,141.74,142.13,141.33,142.09,4359356
2025-01-17,140.64,140.66,140.12,140.32,1845834
2025-01-20,142.85,143.46,142.08,142.66,4987537
2025-01-21,146.01,146.8,145.86,146.35,2435032
2025-01-22,148.64,149.09,147.78,148.73,2720934
2025-01-23,149.73,150.57,149.42,149.52,3784756
2025-01-24,159.32,159.97,158.76,159.57,1773047
2025-01-27,166.23,167.02,166.22,166.52,4882795
2025-01-28,167.63,168.64,166.6,167.48,4885775
2025-01-29,167.68,167.74,167.55,167.62,3504531
2025-01-30,158.45,159.36,157.98,158.08,1150491
2025-01-31,155.46,155.84,154.85,155.46,2471085
2025-02-03,155.71,156.43,155.22,156.09,4673867
2025-02-04,154.15,155.05,153.56,153.92,2371144
2025-02-05,156.63,157.02,155.83,156.89,3201289
2025-02-06,161.63,162.49,160.51,161.38,1919652
2025-02-07,171.2,172.3,170.59,171.45,3201749
2025-02-10,170.72,171.11,170.64,171.08,1699863
2025-02-11,165.31,166.49,164.93,165.55,4063631
2025-02-12,166.36,167.31,165.75,166.21,953224
2025-02-13,168.37,169.36,168.08,168.16,2690632
2025-02-14,179.63,180.73,179.59,179.7,1783476
2025-02-17,184.36,184.76,184.24,184.35,3012282
2025-02-18,179.18,180.24,179.02,179.2,3852271
2025-02-19,180.92,181.82,180.3,181.06,3666452
2025-02-20,172.73,173.59,171.6,172.51,3600625
2025-02-21,173.47,174.46,172.92,173.6,4616048
2025-02-24,169.25,170.17,168.11,168.98,4858906
2025-02-25,179.48,180.71,178.68,179.68,4433857
2025-02-26,179.74,180.33,179.51,180.06,1563585
2025-02-27,181.61,182.62,181.22,182.16,4030437
2025-02-28,190.54,191.89,189.86,190.93,1789571
2025-03-03,195.7,196.39,194.39,195.28,3545993
2025-03-04,188.08,188.56,187.34,187.71,3616257
2025-03-05,179.37,180.33,178.6,179.41,4562193
2025-03-06,175.44,176.32,175.03,175.54,1235160
2025-03-07,178.4,179.06,177.82,178.45,1686988
2025-03-10,183.21,184.09,183.14,183.49,4865893
2025-03-11,181.03,181.82,180.48,180.88,2253013
2025-03-12,192.24,192.74,191.3,192.13,957822
2025-03-13,186.22,187.61,185.86,186.6,3484764
2025-03-14,181.69,182.32,181.12,181.45,1165314
2025-03-17,189.13,190.33,189.06,189.58,2058893
2025-03-18,192.37,193.13,191.81,192.56,4825834
2025-03-19,187.9,188.62,186.82,187.37,3727303
2025-03-20,196.52,197.43,196.0,196.6,4632656
2025-03-21,199.72,199.93,198.72,199.48,1371029
2025-03-24,203.24,203.32,202.39,202.73,2588341
2025-03-25,200.48,200.94,200.07,200.22,3019193
2025-03-26,196.67,197.79,195.61,196.19,3319725
2025-03-27,200.9,201.67,199.35,200.39,1819854
2025-03-28,211.93,213.4,211.1,212.17,1509705
2025-03-31,204.63,205.85,204.18,204.42,3921546
2025-04-01,213.16,213.65,212.72,212.89,4481612
