date,open,high,low,close,volume
2025-01-09,164.88,165.68,163.7,164.56,1718447
2025-01-10,165.69,166.07,165.63,165.88,2241582
2025-01-13,166.63,166.94,166.39,166.8,810403
2025-01-14,167.27,167.98,166.8,167.57,1953851
2025-01-15,165.34,166.01,164.36,165.18,2955871
2025-01-16,164.75,165.52,163.72,164.63,2236553
2025-01-17,164.11,164.2,163.61,163.96,4977004
2025-01-20,164.56,165.45,163.89,164.61,2403681
2025-01-21,166.38,167.29,165.88,166.14,2217444
2025-01-22,166.73,166.87,166.38,166.49,4112911
2025-01-23,163.5,164.02,162.64,163.88,4562406
2025-01-24,165.31,165.81,164.33,165.39,2353112
2025-01-27,166.68,167.58,166.65,166.78,2288487
2025-01-28,166.5,166.88,165.67,166.75,1784508
2025-01-29,165.01,165.32,164.11,164.6,3313546
2025-01-30,164.41,164.94,164.09,164.76,1508355
2025-01-31,164.8,164.96,163.88,164.7,3741789
2025-02-03,160.65,161.06,160.02,160.46,1581206
2025-02-04,159.05,159.95,159.05,159.27,4425758
2025-02-05,158.02,158.68,157.42,158.04,1623704
2025-02-06,157.5,157.88,156.58,157.36,3029315
2025-02-07,156.98,157.66,155.79,156.59,3344390
2025-02-10,156.43,157.21,155.74,156.73,2664393
2025-02-11,158.82,159.48,158.71,159.0,4483279
2025-02-12,158.63,159.4,158.05,158.76,3553926
2025-02-13,157.08,157.8,155.91,156.79,1272202
2025-02-14,156.8,157.3,156.2,157.03,2204417
2025-02-17,156.49,156.95,155.94,156.84,4055952
2025-02-18,155.1,155.6,154.94,154.97,2295338
2025-02-19,154.16,154.39,153.63,153.96,2001353
2025-02-20,153.53,153.86,153.11,153.12,3921037
2025-02-21,153.03,153.22,152.73,152.96,1146824
2025-02-24,153.86,154.18,153.57,153.69,4635024
2025-02-25,154.73,155.18,153.9,154.99,1307003
2025-02-26,154.66,155.56,154.46,154.97,4824391
2025-02-27,153.78,154.12,152.98,153.42,4107732
2025-02-28,151.22,151.26,150.83,151.16,4973135
2025-03-03,151.55,151.89,150.89,151.6,1381433
2025-03-04,152.05,152.81,151.96,151.99,4994138
2025-03-05,149.25,149.89,148.48,149.59,3421214
2025-03-06,150.74,151.74,150.61,151.13,3468574
2025-03-07,151.46,151.87,150.92,151.53,4535271
2025-03-10,149.97,150.62,149.26,150.34,4942415
2025-03-11,147.58,148.08,146.79,147.35,4603730
2025-03-12,147.04,147.59,145.9,146.66,2170355
2025-03-13,145.68,146.81,145.4,146.01,3140996
2025-03-14,145.32,145.45,144.65,145.22,1096103
2025-03-17,146.51,147.06,145.26,146.11,1442281
2025-03-18,145.39,146.01,144.76,145.38,3493295
2025-03-19,146.99,147.82,146.07,146.64,3301145
2025-03-20,145.84,146.34,144.95,145.45,4380659
2025-03-21,143.71,143.71,142.78,143.48,947931
2025-03-24,144.45,144.72,144.11,144.64,4000967
2025-03-25,144.33,145.25,143.84,144.49,1760388
2025-03-26,141.31,141.78,140.68,141.44,2271078
2025-03-27,138.88,139.03,138.49,138.76,2326859
2025-03-28,137.18,137.99,136.88,137.08,1444334
2025-03-31,134.46,135.14,134.17,134.75,4278193
2025-04-01,136.98,137.61,136.96,137.24,2302937
2025-04-02,134.82,135.94,134.22,135.14,1088752
2025-04-03,135.1,135.32,134.5,134.98,1730973
2025-04-04,134.07,135.01,133.97,134.28,3297620
2025-04-07,134.25,134.5,133.67,134.08,4212431
2025-04-08,132.02,132.31,131.41,131.7,4039330
2025-04-09,131.09,131.27,130.76,130.94,2444339
2025-04-10,129.33,129.56,129.06,129.25,2740942
2025-04-11,130.65,130.68,129.68,130.29,2894606
2025-04-14,128.86,129.41,128.45,129.14,4746952
2025-04-15,130.34,131.0,129.69,130.22,1715123
2025-04-16,128.65,129.26,127.94,128.36,2187569
2025-04-17,128.33,129.06,127.94,128.43,821529
2025-04-18,127.67,127.96,126.82,127.36,1965233
2025-04-21,124.55,124.98,124.3,124.66,4452944
2025-04-22,123.47,124.13,122.53,123.12,1329950
2025-04-23,122.5,122.97,122.29,122.81,3364879
2025-04-24,123.59,123.64,123.1,123.54,2284435
2025-04-25,122.29,122.65,121.74,122.48,3054028
2025-04-28,123.87,124.01,123.21,123.74,1876521
2025-04-29,122.49,123.0,122.3,122.85,1142189
2025-04-30,122.51,123.23,121.79,122.73,1388578
2025-05-01,123.14,123.51,122.38,123.05,3947410
2025-05-02,123.08,123.7,122.39,122.73,3073881
2025-05-05,123.3,123.35,122.9,123.29,2430628
2025-05-06,123.47,123.92,123.28,123.66,1671491
2025-05-07,122.17,122.47,122.15,122.34,4509318
2025-05-08,120.88,121.22,120.88,121.07,1244492
2025-05-09,121.17,121.34,121.14,121.21,4102682
2025-05-12,119.47,120.2,119.12,119.57,834247
2025-05-13,118.95,119.1,118.34,118.9,1947640
2025-05-14,118.36,119.04,117.87,118.59,1616703
2025-05-15,116.79,116.97,116.52,116.69,2036752
2025-05-16,117.7,118.15,117.22,117.79,3787309
2025-05-19,117.26,117.9,116.94,117.02,1962316
2025-05-20,116.23,116.91,115.36,115.98,3831800
2025-05-21,115.47,116.23,114.83,115.75,1069952
2025-05-22,116.01,116.12,115.76,115.77,875881
2025-05-23,114.07,114.33,113.93,114.14,1649739
2025-05-26,115.64,116.0,115.15,115.37,2936165
2025-05-27,115.08,115.64,114.81,115.39,2516164
2025-05-28,113.72,113.89,113.24,113.64,1117452
2025-05-29,114.25,114.54,114.18,114.41,2849885
2025-05-30,113.52,113.93,112.87,113.66,4759750
2025-06-02,111.61,112.22,111.13,111.46,3188238
2025-06-03,111.22,111.22,111.15,111.22,2388298
2025-06-04,110.27,110.6,109.69,110.23,3956941
2025-06-05,108.2,108.78,107.77,108.46,2228853
2025-06-06,106.02,106.41,105.61,106.12,1977585
2025-06-09,106.09,106.21,105.51,106.19,1639868
2025-06-10,105.99,106.44,105.14,105.72,3873594
2025-06-11,105.82,106.21,105.42,105.85,4196299
2025-06-12,105.46,106.03,105.11,105.53,3084109
2025-06-13,106.98,107.89,106.92,107.29,4349842
2025-06-16,107.47,108.21,106.89,107.75,4597765
2025-06-17,108.24,108.45,107.66,108.28,1692716
2025-06-18,108.53,108.66,108.01,108.31,4568821
2025-06-19,108.45,109.08,108.0,108.74,1721624
2025-06-20,107.4,108.3,107.07,107.67,4119058
2025-06-23,107.05,107.6,106.95,107.17,1892844
2025-06-24,106.5,107.22,106.17,106.73,3030998
2025-06-25,107.88,108.5,107.84,108.15,2554196
2025-06-26,108.78,109.25,108.04,108.66,3079978
2025-06-27,110.46,110.7,109.72,110.35,2464063
2025-06-30,111.23,111.85,110.86,111.11,4405689
2025-07-01,112.0,112.53,111.78,112.01,2900629
2025-07-02,112.11,112.64,111.85,112.04,1154513
2025-07-03,111.71,112.12,111.4,111.47,931109
2025-07-04,112.38,112.9,112.32,112.57,2278957
2025-07-07,111.76,112.14,111.35,112.08,1051457
2025-07-08,112.46,112.91,112.43,112.76,1875241
2025-07-09,111.65,112.27,110.87,111.52,3361864
2025-07-10,112.49,112.9,111.71,112.29,1565147
