date,open,high,low,close,volume
2025-01-09,541.95,544.07,540.12,541.73,5790206
2025-01-10,542.01,543.64,539.95,540.73,7302883
2025-01-13,546.61,549.33,544.76,546.94,8799142
2025-01-14,554.37,554.75,552.59,553.43,3145285
2025-01-15,551.69,556.46,550.94,553.15,5685154
2025-01-16,550.29,552.83,548.24,550.6,8554358
2025-01-17,546.35,546.84,542.59,545.27,3340668
2025-01-20,552.28,553.42,550.14,552.58,6329367
2025-01-21,556.9,559.0,556.04,556.24,4547694
2025-01-22,560.35,563.47,558.61,560.75,8695634
2025-01-23,559.12,561.89,557.12,558.29,8343306
2025-01-24,564.69,567.46,562.06,563.99,8211715
2025-01-27,566.47,566.62,564.0,566.21,8253708
2025-01-28,570.77,574.36,568.64,571.42,7527917
2025-01-29,585.97,588.83,585.25,587.26,8849837
2025-01-30,583.96,586.32,582.56,583.09,5747711
2025-01-31,589.4,592.17,588.78,590.56,7025866
2025-02-03,576.06,578.36,573.95,577.66,4701708
2025-02-04,571.28,572.48,568.52,572.37,8080008
2025-02-05,572.3,574.92,568.48,571.44,5934570
2025-02-06,575.51,576.3,573.26,575.48,3512951
2025-02-07,562.06,564.45,560.76,561.44,4527718
2025-02-10,573.87,575.56,571.11,574.35,5532163
2025-02-11,576.51,577.96,573.06,576.57,6856855
2025-02-12,573.77,577.12,572.37,574.3,3167428
2025-02-13,566.48,567.17,563.54,566.75,4852872
2025-02-14,563.04,565.38,561.92,564.33,5073967
2025-02-17,564.55,568.05,562.26,565.36,3673179
2025-02-18,568.39,572.83,568.27,569.55,3201891
2025-02-19,578.82,581.39,575.47,578.24,6601951
2025-02-20,583.26,586.48,581.15,583.71,8086649
2025-02-21,564.81,566.6,563.2,565.2,6140423
2025-02-24,571.69,574.8,568.39,571.75,8670419
2025-02-25,577.08,578.53,574.15,576.23,6622339
2025-02-26,571.44,573.21,569.87,572.31,8332505
2025-02-27,573.83,578.68,571.01,575.3,5328276
2025-02-28,571.71,572.93,571.05,572.62,4517169
2025-03-03,562.09,565.42,559.46,562.66,7179623
2025-03-04,562.15,565.23,557.36,560.55,6852575
2025-03-05,568.43,572.96,566.43,570.03,4340962
2025-03-06,565.84,569.03,561.86,564.69,3111444
2025-03-07,564.03,564.94,561.98,562.74,4545991
2025-03-10,570.3,571.73,569.52,569.74,8425184
2025-03-11,559.23,562.31,556.88,559.34,3595817
2025-03-12,557.96,561.15,555.01,558.61,6617175
2025-03-13,572.13,574.66,570.52,572.17,6463095
2025-03-14,574.58,575.09,570.52,572.87,7739857
2025-03-17,589.13,593.48,586.75,590.58,5705465
2025-03-18,591.51,593.84,590.85,592.89,7152165
2025-03-19,602.93,605.05,600.9,602.56,3585431
2025-03-20,599.54,603.64,596.86,600.48,5033987
2025-03-21,616.1,617.16,615.44,616.05,6311845
2025-03-24,628.82,631.38,628.09,629.96,8735472
2025-03-25,635.84,636.89,633.52,634.2,8984402
2025-03-26,636.16,637.15,634.64,634.7,4871592
2025-03-27,622.89,624.47,619.88,622.07,4267779
2025-03-28,624.05,627.89,621.14,625.31,8724968
2025-03-31,623.87,625.55,622.84,623.02,5499287
2025-04-01,618.06,622.42,615.85,619.64,8593582
2025-04-02,624.2,626.94,621.29,626.06,6512857
2025-04-03,616.92,618.22,613.74,615.94,7761007
2025-04-04,616.76,619.4,615.32,618.44,8500862
2025-04-07,619.98,621.96,617.02,618.84,4878974
2025-04-08,610.85,612.91,608.26,609.44,3003540
2025-04-09,601.09,603.66,600.08,602.31,3740477
2025-04-10,595.18,596.26,594.1,595.48,4018207
2025-04-11,593.89,595.34,592.07,594.11,5572549
2025-04-14,599.37,600.74,597.14,598.35,8578704
2025-04-15,604.57,606.41,601.95,606.2,5299825
2025-04-16,609.73,612.32,606.75,609.13,3657556
2025-04-17,611.26,612.22,610.99,611.66,3526748
2025-04-18,621.37,625.61,619.06,622.42,3633395
2025-04-21,614.69,618.22,612.56,614.6,6412901
2025-04-22,610.57,612.36,609.16,611.3,3425419
2025-04-23,609.04,610.79,604.45,607.81,5168704
2025-04-24,612.1,614.19,609.31,612.49,8597671
2025-04-25,619.74,620.15,616.26,617.96,3563897
2025-04-28,626.39,626.72,622.89,624.9,4939402
2025-04-29,620.99,624.29,618.76,620.76,7197543
2025-04-30,625.91,629.9,624.77,626.62,6880168
2025-05-01,629.45,632.71,626.54,629.25,7156535
2025-05-02,641.97,646.34,640.93,642.55,6199490
2025-05-05,642.09,642.98,639.71,641.54,8813597
2025-05-06,629.52,633.5,627.8,630.69,7535052
2025-05-07,637.7,640.19,632.86,636.46,3727443
2025-05-08,641.87,646.92,638.32,643.2,6827286
2025-05-09,632.15,634.24,628.85,632.55,3532493
2025-05-12,619.83,623.22,616.46,618.39,6865499
2025-05-13,610.99,614.06,610.19,611.29,5005171
2025-05-14,597.43,598.05,595.04,596.55,6716092
2025-05-15,615.89,616.79,611.25,614.49,5720617
2025-05-16,608.57,611.13,607.03,607.13,7374749
2025-05-19,614.5,616.24,612.15,615.1,4051664
2025-05-20,609.0,610.59,607.02,608.29,7924440
2025-05-21,606.43,608.59,605.39,606.28,5693965
2025-05-22,610.06,612.68,606.99,610.04,8574348
2025-05-23,601.77,605.06,600.18,603.5,5341923
2025-05-26,610.51,610.9,607.57,610.83,6123037
2025-05-27,617.19,618.54,613.39,615.66,3612935
2025-05-28,626.77,627.68,625.98,627.43,7859937
2025-05-29,615.89,617.64,612.53,615.3,5914371
2025-05-30,627.75,630.78,626.16,628.05,5461791
2025-06-02,633.89,637.05,632.54,634.29,8617920
2025-06-03,635.75,640.29,634.06,637.31,5072306
2025-06-04,641.08,643.18,639.29,642.65,4992297
2025-06-05,650.63,652.88,646.54,650.33,7777817
2025-06-06,656.13,659.54,653.99,654.63,5014818
2025-06-09,665.29,665.9,661.1,663.67,7669366
2025-06-10,666.21,667.7,665.58,666.28,5217902
2025-06-11,667.67,671.41,665.22,669.32,3116321
2025-06-12,661.13,662.44,658.12,661.18,8170225
2025-06-13,648.66,649.15,647.06,648.56,4904515
2025-06-16,656.2,658.64,653.4,657.8,4534992
2025-06-17,673.33,675.64,670.13,672.11,4718965
2025-06-18,670.91,673.0,667.18,672.34,3698004
2025-06-19,674.78,678.36,670.49,674.11,6315744
2025-06-20,682.76,686.65,680.72,682.61,8791748
2025-06-23,677.92,680.13,674.17,679.4,7805697
2025-06-24,696.24,697.19,692.72,695.38,4774148
2025-06-25,710.94,713.05,708.74,710.37,8007827
2025-06-26,702.39,706.12,699.59,700.47,7192936
2025-06-27,703.51,704.11,698.89,702.69,8464099
2025-06-30,702.85,706.79,700.34,701.3,8307763
2025-07-01,686.64,691.46,682.61,687.39,6040153
2025-07-02,671.72,672.94,668.42,672.93,7281288
2025-07-03,669.8,671.51,666.57,671.23,8408898
2025-07-04,681.8,682.78,680.15,682.21,5972986
2025-07-07,685.03,686.62,682.44,685.64,7472337
2025-07-08,675.19,679.09,674.64,677.03,7407882
2025-07-09,692.9,694.75,688.74,691.49,4722206
2025-07-10,701.2,702.36,700.82,701.86,7572386
2025-07-11,702.54,704.5,701.83,702.98,6948426
2025-07-14,691.13,691.75,685.88,689.67,5174962
2025-07-15,681.09,685.97,677.72,682.01,3039587
2025-07-16,691.0,691.8,687.61,689.62,7511067
2025-07-17,690.21,692.55,685.6,688.81,6241732
2025-07-18,684.57,686.92,679.84,682.97,4146219
2025-07-21,695.34,696.95,690.11,693.45,7794357
2025-07-22,702.76,706.33,698.4,700.86,3605065
2025-07-23,698.91,702.01,695.93,697.59,8123196
2025-07-24,695.25,695.68,693.71,694.79,4647691
2025-07-25,690.03,693.82,687.96,689.54,6465208
2025-07-28,699.49,701.5,698.06,698.78,6412639
2025-07-29,708.92,711.19,705.74,707.64,3776513
2025-07-30,702.56,705.52,699.09,700.48,8829782
2025-07-31,699.72,702.61,695.74,701.28,8734136
2025-08-01,704.51,707.49,699.52,703.61,4870426
2025-08-04,715.65,716.99,711.07,714.64,5504855
2025-08-05,733.18,735.77,727.67,731.14,7645981
2025-08-06,723.46,724.0,722.01,723.55,6654938
2025-08-07,740.12,741.82,738.68,741.23,8075670
2025-08-08,736.41,739.61,731.17,735.06,3624901
2025-08-11,739.57,743.64,736.2,741.09,6659927
2025-08-12,744.98,746.9,740.86,744.61,6209143
2025-08-13,737.68,740.8,735.27,739.12,5426837
2025-08-14,742.85,746.15,742.53,743.12,8872391
2025-08-15,740.09,745.28,738.43,742.29,4543677
2025-08-18,754.87,755.14,750.26,753.77,8086966
2025-08-19,745.45,750.4,743.83,746.84,7711224
2025-08-20,744.45,748.76,740.07,744.78,3405274
2025-08-21,743.08,746.09,739.11,742.33,7796202
2025-08-22,727.77,730.81,724.84,728.99,3680243
2025-08-25,721.63,725.89,721.17,722.37,7925180
2025-08-26,731.68,734.17,728.16,729.52,4988455
2025-08-27,732.8,735.13,728.5,734.28,3243967
2025-08-28,727.88,733.07,724.26,728.84,4568481
2025-08-29,732.56,733.55,730.11,732.94,4984004
2025-09-01,701.61,703.3,700.72,702.82,6800416
2025-09-02,694.09,695.71,691.21,693.81,7429925
2025-09-03,699.32,699.63,697.97,699.43,3608811
2025-09-04,697.04,697.8,696.28,696.76,5651889
2025-09-05,706.99,708.6,703.26,705.5,4206762
2025-09-08,705.1,707.73,702.61,704.03,3924516
2025-09-09,710.65,715.01,708.82,711.08,3716868
2025-09-10,689.6,693.73,688.51,691.15,6299961
2025-09-11,686.8,687.18,684.73,686.25,7695301
2025-09-12,683.22,687.27,678.9,682.01,4885150
2025-09-15,691.49,695.86,689.19,692.11,6722025
2025-09-16,692.78,693.94,687.32,690.78,5883257
2025-09-17,690.64,692.63,690.24,691.75,6395784
2025-09-18,691.17,691.38,688.41,691.1,6952802
2025-09-19,690.61,691.08,688.81,690.93,3166137
2025-09-22,691.77,693.36,686.8,689.87,4040700
2025-09-23,692.46,693.86,691.97,693.47,5673681
2025-09-24,695.84,700.55,694.23,696.56,4016648
2025-09-25,702.33,705.14,697.94,701.56,5770845
2025-09-26,704.92,707.79,702.89,704.28,6247869
2025-09-29,696.92,698.96,694.5,697.19,3559862
2025-09-30,686.56,689.54,685.78,687.97,8428789
2025-10-01,689.54,690.85,689.05,689.74,5221544
2025-10-02,690.25,693.08,686.69,688.83,4960325
2025-10-03,685.82,688.55,681.61,685.29,4498846
2025-10-06,695.15,698.6,692.72,696.67,4010823
2025-10-07,690.63,691.42,687.76,690.48,3172487
2025-10-08,680.95,681.74,678.7,679.79,5666758
2025-10-09,674.03,674.14,671.42,673.96,7250978
2025-10-10,665.41,669.68,664.2,665.72,3986691
