date,open,high,low,close,volume
2025-01-09,615.06,618.71,612.41,615.42,4356365
2025-01-10,617.49,619.84,615.95,616.12,7867561
2025-01-13,622.75,625.07,619.43,622.19,7279836
2025-01-14,619.43,622.75,618.98,620.37,3878070
2025-01-15,619.0,622.09,617.46,618.23,8942130
2025-01-16,620.26,622.66,616.56,620.52,5571745
2025-01-17,626.51,628.46,623.97,627.57,8057689
2025-01-20,631.7,634.97,629.0,630.29,8678187
2025-01-21,631.84,633.6,631.63,632.87,8082183
2025-01-22,631.16,636.33,627.41,632.97,5681605
2025-01-23,638.54,640.61,634.73,637.55,4496978
2025-01-24,634.38,638.11,631.09,634.68,8438514
2025-01-27,637.0,637.98,634.39,635.47,7733335
2025-01-28,631.69,634.26,630.07,632.04,5087762
2025-01-29,626.94,630.06,624.07,628.2,8346190
2025-01-30,620.78,622.3,620.12,621.69,4377939
2025-01-31,626.59,627.94,624.27,627.27,7149900
2025-02-03,637.3,640.69,634.18,637.91,6092277
2025-02-04,633.82,636.07,631.17,635.37,6653369
2025-02-05,632.45,634.31,630.74,632.39,4608630
2025-02-06,633.67,634.15,630.51,632.89,5911183
2025-02-07,645.9,648.22,644.14,647.21,3156565
2025-02-10,652.31,653.39,651.54,652.46,3614781
2025-02-11,658.61,662.47,657.76,658.27,7393506
2025-02-12,657.57,658.02,654.91,655.72,6526288
2025-02-13,652.61,654.05,650.02,652.77,4208563
2025-02-14,651.39,654.02,649.38,650.42,7492257
2025-02-17,653.29,656.58,652.73,654.0,6883200
2025-02-18,651.3,656.59,651.0,652.67,6111300
2025-02-19,651.7,655.63,648.77,652.41,6917139
2025-02-20,648.0,650.52,644.85,648.48,6965529
2025-02-21,651.46,654.63,648.4,651.83,6408253
2025-02-24,653.28,656.06,647.98,651.59,6906659
2025-02-25,652.99,653.8,652.7,653.41,3599704
2025-02-26,654.22,656.12,650.01,653.9,3594161
2025-02-27,659.34,661.88,658.14,660.48,7460680
2025-02-28,662.18,665.65,659.95,662.69,4264591
2025-03-03,673.44,677.4,670.84,674.77,8974665
2025-03-04,671.71,674.38,667.96,673.15,4102428
